kom2024,syss_total_2017,syss_akvakultur_2017
0301,471615,29
1101,6466,0
1103,79445,115
1106,21375,9
1108,35924,28
1111,1165,0
1112,1443,0
1114,1126,0
1119,8188,0
1120,8312,0
1121,7480,0
1122,3974,0
1124,21634,0
1127,3437,0
1130,4173,23
1133,1306,75
1134,2013,42
1135,1952,0
1144,339,13
1145,310,27
1146,4574,31
1149,15732,34
1151,95,0
1160,4919,44
1505,11448,96
1506,18390,44
1508,31240,19
1511,1354,50
1514,1221,15
1515,3973,18
1516,4583,9
1517,1934,0
1520,4667,46
1525,2506,20
1528,3647,0
1531,3062,0
1532,2603,19
1535,2798,35
1539,3405,24
1547,1353,19
1554,2207,51
1557,867,18
1560,1030,30
1563,3808,0
1566,2950,11
1573,1097,149
1576,1641,115
1577,4981,56
1578,1265,16
1579,4746,8
1580,4033,5
1804,28458,27
1806,0,0
1811,496,11
1812,845,0
1813,3719,29
1815,466,11
1816,184,9
1818,820,39
1820,3898,57
1822,664,9
1824,6869,14
1825,572,0
1826,647,4
1827,534,21
1828,828,50
1832,1672,6
1833,13166,23
1834,964,116
1835,234,7
1836,520,41
1837,2889,79
1838,854,111
1839,443,0
1840,2137,21
1841,4059,14
1845,896,49
1848,1165,185
1851,875,28
1853,577,0
1856,240,0
1857,366,0
1859,551,15
1860,5478,15
1865,4623,27
1866,3592,120
1867,990,0
1868,1973,29
1870,5198,50
1871,2072,0
1874,475,10
1875,0,0
3101,12705,0
3103,19749,0
3105,27471,0
3107,32485,7
3110,1264,0
3112,3063,0
3114,1353,0
3116,954,0
3118,15476,0
3120,3214,0
3122,1220,0
3124,348,0
3201,70749,3
3203,35715,0
3205,37727,0
3207,24895,0
3209,26997,54
3212,4952,0
3214,4577,0
3216,7799,0
3218,9475,0
3220,2818,0
3222,20792,0
3224,3158,0
3226,5326,0
3228,5932,0
3230,1609,0
3232,8268,0
3234,2176,0
3236,2181,0
3238,3134,0
3240,6883,0
3242,847,0
3301,45885,0
3303,15608,0
3305,14153,0
3310,2219,0
3312,13919,0
3314,6420,0
3316,5669,0
3318,1092,0
3320,463,0
3322,1448,0
3324,2952,0
3326,1090,0
3328,2444,0
3330,2282,6
3332,1583,0
3334,830,0
3336,674,0
3338,1311,0
3401,8568,0
3403,19792,0
3405,16864,0
3407,16449,0
3411,14560,0
3412,1874,0
3413,7243,0
3414,1668,0
3415,2482,0
3416,1930,0
3417,1892,0
3418,2804,0
3419,1414,0
3420,10017,0
3421,2921,0
3422,1867,0
3423,980,0
3424,652,3
3425,536,0
3426,635,0
3427,3188,0
3428,1356,0
3429,625,0
3430,747,0
3431,1257,0
3432,827,0
3433,1004,0
3434,1152,0
3435,1518,0
3436,2478,0
3437,3032,0
3438,1126,0
3439,2166,0
3440,1821,0
3441,2314,0
3442,5326,0
3443,6795,0
3446,5999,0
3447,1633,0
3448,2979,3
3449,1330,0
3450,533,0
3451,4101,0
3452,896,18
3453,1411,0
3454,752,0
3901,10969,3
3903,7514,0
3905,31980,0
3907,28857,0
3909,19378,0
3911,7705,0
4001,17215,0
4003,25448,0
4005,5311,0
4010,524,0
4012,4920,0
4014,4338,8
4016,1246,0
4018,2269,0
4020,4341,0
4022,1506,0
4024,687,0
4026,2721,0
4028,1104,0
4030,695,0
4032,518,8
4034,963,0
4036,1834,0
4201,2550,0
4202,8940,0
4203,20575,0
4204,56547,0
4205,8965,3
4206,4011,3
4207,4213,83
4211,911,0
4212,604,0
4213,2295,0
4214,1564,0
4215,4611,3
4216,1726,0
4217,773,0
4218,435,0
4219,1653,0
4220,513,0
4221,596,0
4222,717,0
4223,4410,0
4224,585,0
4225,4893,7
4226,810,0
4227,2260,17
4228,1075,3
4601,162840,318
4602,8660,135
4611,1659,24
4612,1496,88
4613,4787,141
4614,9410,14
4615,1202,50
4616,1141,121
4617,5468,98
4618,5196,33
4619,398,0
4620,422,0
4621,7519,3
4622,3717,80
4623,576,9
4624,8048,185
4625,2837,257
4626,14536,172
4627,8108,50
4628,1249,0
4629,216,0
4630,2782,44
4631,10485,72
4632,1078,0
4633,218,0
4634,611,22
4635,1331,66
4636,353,25
4637,631,37
4638,1692,50
4639,1279,0
4640,6894,13
4641,911,0
4642,1032,0
4643,2595,0
4644,2064,0
4645,1163,23
4646,1374,41
4647,12175,0
4648,1611,55
4649,4125,17
4650,2862,19
4651,3774,0
5001,118686,58
5006,11324,27
5007,7766,87
5014,2805,321
5020,396,22
5021,3225,0
5022,1050,0
5025,3320,0
5026,591,0
5027,3142,0
5028,5062,5
5029,1630,0
5031,3375,0
5032,1593,0
5033,358,0
5034,985,6
5035,10907,0
5036,950,0
5037,9938,7
5038,6600,0
5041,891,0
5042,641,0
5043,195,0
5044,400,0
5045,1192,0
5046,533,8
5047,1623,0
5049,560,103
5052,277,27
5053,2329,3
5054,4225,29
5055,0,0
5056,0,0
5057,4581,88
5058,2274,139
5059,0,0
5060,4645,328
5061,883,0
5501,43872,77
5503,12303,0
5510,1094,0
5512,1495,32
5514,544,67
5516,466,24
5518,370,0
5520,1928,0
5522,1064,38
5524,3658,0
5526,1103,0
5528,353,0
5530,7604,220
5532,2314,0
5534,938,45
5536,1163,19
5538,740,8
5540,786,17
5542,1342,44
5544,2080,7
5546,458,0
5601,10503,401
5603,6251,7
5605,4989,43
5607,3013,0
5610,1381,0
5612,1360,0
5614,370,11
5616,405,6
5618,495,0
5620,1521,13
5622,1841,0
5624,618,27
5626,496,0
5628,1421,0
5630,433,0
5632,1117,30
5634,897,0
5636,335,0
