kom2024,navn,aar,befolkning
0301,Oslo - Oslove,1951,434365
0301,Oslo - Oslove,1952,437184
0301,Oslo - Oslove,1953,440674
0301,Oslo - Oslove,1954,444041
0301,Oslo - Oslove,1955,447064
0301,Oslo - Oslove,1956,451247
0301,Oslo - Oslove,1957,455113
0301,Oslo - Oslove,1958,461591
0301,Oslo - Oslove,1959,465711
0301,Oslo - Oslove,1960,471511
0301,Oslo - Oslove,1961,475663
0301,Oslo - Oslove,1962,480461
0301,Oslo - Oslove,1963,482324
0301,Oslo - Oslove,1964,484711
0301,Oslo - Oslove,1965,483549
0301,Oslo - Oslove,1966,483757
0301,Oslo - Oslove,1967,487524
0301,Oslo - Oslove,1968,488231
0301,Oslo - Oslove,1969,488329
0301,Oslo - Oslove,1970,487363
0301,Oslo - Oslove,1971,481548
0301,Oslo - Oslove,1972,475563
0301,Oslo - Oslove,1973,472609
0301,Oslo - Oslove,1974,468514
0301,Oslo - Oslove,1975,465337
0301,Oslo - Oslove,1976,463022
0301,Oslo - Oslove,1977,462497
0301,Oslo - Oslove,1978,460377
0301,Oslo - Oslove,1979,457446
0301,Oslo - Oslove,1980,454872
0301,Oslo - Oslove,1981,452023
0301,Oslo - Oslove,1982,450386
0301,Oslo - Oslove,1983,448775
0301,Oslo - Oslove,1984,447257
0301,Oslo - Oslove,1985,447351
1101,Eigersund,1951,8613
1101,Eigersund,1952,8710
1101,Eigersund,1953,8805
1101,Eigersund,1954,8873
1101,Eigersund,1955,8889
1101,Eigersund,1956,9012
1101,Eigersund,1957,9094
1101,Eigersund,1958,9122
1101,Eigersund,1959,9172
1101,Eigersund,1960,9216
1101,Eigersund,1961,9128
1101,Eigersund,1962,9240
1101,Eigersund,1963,9264
1101,Eigersund,1964,9353
1101,Eigersund,1965,9416
1101,Eigersund,1966,9673
1101,Eigersund,1967,9723
1101,Eigersund,1968,9919
1101,Eigersund,1969,10088
1101,Eigersund,1970,10195
1101,Eigersund,1971,10453
1101,Eigersund,1972,10553
1101,Eigersund,1973,10757
1101,Eigersund,1974,10877
1101,Eigersund,1975,11193
1101,Eigersund,1976,11376
1101,Eigersund,1977,11507
1101,Eigersund,1978,11613
1101,Eigersund,1979,11694
1101,Eigersund,1980,11762
1101,Eigersund,1981,11864
1101,Eigersund,1982,12014
1101,Eigersund,1983,12084
1101,Eigersund,1984,12164
1101,Eigersund,1985,12126
1103,Stavanger,1951,72553
1103,Stavanger,1952,73467
1103,Stavanger,1953,74519
1103,Stavanger,1954,75384
1103,Stavanger,1955,76465
1103,Stavanger,1956,77389
1103,Stavanger,1957,77996
1103,Stavanger,1958,78973
1103,Stavanger,1959,79656
1103,Stavanger,1960,80418
1103,Stavanger,1961,81109
1103,Stavanger,1962,81882
1103,Stavanger,1963,82493
1103,Stavanger,1964,83136
1103,Stavanger,1965,83413
1103,Stavanger,1966,83808
1103,Stavanger,1967,84497
1103,Stavanger,1968,85462
1103,Stavanger,1969,85435
1103,Stavanger,1970,86442
1103,Stavanger,1971,86480
1103,Stavanger,1972,87049
1103,Stavanger,1973,87837
1103,Stavanger,1974,88894
1103,Stavanger,1975,90136
1103,Stavanger,1976,91239
1103,Stavanger,1977,92036
1103,Stavanger,1978,92796
1103,Stavanger,1979,94468
1103,Stavanger,1980,94886
1103,Stavanger,1981,95742
1103,Stavanger,1982,96133
1103,Stavanger,1983,97158
1103,Stavanger,1984,98084
1103,Stavanger,1985,99421
1106,Haugesund,1951,23865
1106,Haugesund,1952,24104
1106,Haugesund,1953,24482
1106,Haugesund,1954,24861
1106,Haugesund,1955,25183
1106,Haugesund,1956,25689
1106,Haugesund,1957,25936
1106,Haugesund,1958,26446
1106,Haugesund,1959,26758
1106,Haugesund,1960,27015
1106,Haugesund,1961,27165
1106,Haugesund,1962,27163
1106,Haugesund,1963,27166
1106,Haugesund,1964,27063
1106,Haugesund,1965,27173
1106,Haugesund,1966,27055
1106,Haugesund,1967,27247
1106,Haugesund,1968,27285
1106,Haugesund,1969,27545
1106,Haugesund,1970,27391
1106,Haugesund,1971,27219
1106,Haugesund,1972,27300
1106,Haugesund,1973,27366
1106,Haugesund,1974,27283
1106,Haugesund,1975,27375
1106,Haugesund,1976,27365
1106,Haugesund,1977,27214
1106,Haugesund,1978,27220
1106,Haugesund,1979,27081
1106,Haugesund,1980,27114
1106,Haugesund,1981,26997
1106,Haugesund,1982,26982
1106,Haugesund,1983,27030
1106,Haugesund,1984,27042
1106,Haugesund,1985,27014
1108,Sandnes,1951,20729
1108,Sandnes,1952,21320
1108,Sandnes,1953,21860
1108,Sandnes,1954,22650
1108,Sandnes,1955,23293
1108,Sandnes,1956,23736
1108,Sandnes,1957,24375
1108,Sandnes,1958,24888
1108,Sandnes,1959,25385
1108,Sandnes,1960,25849
1108,Sandnes,1961,26485
1108,Sandnes,1962,27133
1108,Sandnes,1963,27683
1108,Sandnes,1964,28116
1108,Sandnes,1965,28363
1108,Sandnes,1966,28840
1108,Sandnes,1967,29500
1108,Sandnes,1968,29978
1108,Sandnes,1969,30565
1108,Sandnes,1970,30965
1108,Sandnes,1971,31602
1108,Sandnes,1972,32412
1108,Sandnes,1973,33143
1108,Sandnes,1974,33789
1108,Sandnes,1975,34372
1108,Sandnes,1976,34832
1108,Sandnes,1977,35446
1108,Sandnes,1978,36081
1108,Sandnes,1979,36401
1108,Sandnes,1980,37229
1108,Sandnes,1981,37874
1108,Sandnes,1982,38384
1108,Sandnes,1983,39060
1108,Sandnes,1984,39938
1108,Sandnes,1985,40640
1111,Sokndal,1951,3234
1111,Sokndal,1952,3296
1111,Sokndal,1953,3284
1111,Sokndal,1954,3328
1111,Sokndal,1955,3333
1111,Sokndal,1956,3335
1111,Sokndal,1957,3425
1111,Sokndal,1958,3465
1111,Sokndal,1959,3573
1111,Sokndal,1960,3608
1111,Sokndal,1961,3578
1111,Sokndal,1962,3566
1111,Sokndal,1963,3513
1111,Sokndal,1964,3477
1111,Sokndal,1965,3435
1111,Sokndal,1966,3372
1111,Sokndal,1967,3486
1111,Sokndal,1968,3517
1111,Sokndal,1969,3553
1111,Sokndal,1970,3554
1111,Sokndal,1971,3480
1111,Sokndal,1972,3475
1111,Sokndal,1973,3457
1111,Sokndal,1974,3437
1111,Sokndal,1975,3476
1111,Sokndal,1976,3437
1111,Sokndal,1977,3408
1111,Sokndal,1978,3404
1111,Sokndal,1979,3450
1111,Sokndal,1980,3420
1111,Sokndal,1981,3440
1111,Sokndal,1982,3457
1111,Sokndal,1983,3498
1111,Sokndal,1984,3510
1111,Sokndal,1985,3509
1112,Lund,1951,2559
1112,Lund,1952,2545
1112,Lund,1953,2579
1112,Lund,1954,2547
1112,Lund,1955,2553
1112,Lund,1956,2542
1112,Lund,1957,2501
1112,Lund,1958,2541
1112,Lund,1959,2536
1112,Lund,1960,2529
1112,Lund,1961,2538
1112,Lund,1962,2540
1112,Lund,1963,2501
