kom2024,Gjeld,Brutto,gjeldsgrad
3101,715500,458700,1.56
3103,881600,522200,1.688
3105,745100,470300,1.584
3107,793500,491900,1.613
3301,889300,523300,1.699
3303,813700,551600,1.475
3305,745000,500500,1.489
3110,828800,547100,1.515
3124,669500,504800,1.326
3122,679900,475700,1.429
3118,780700,505200,1.545
3116,757800,488500,1.551
3120,759900,477300,1.592
3112,765500,504500,1.517
3114,943000,522100,1.806
3216,1054100,562700,1.873
3207,1067100,607100,1.758
3218,937700,517900,1.811
3214,1119800,626400,1.788
3212,1092400,605700,1.804
3201,1299500,787200,1.651
3203,1155400,674800,1.712
3226,838000,483400,1.734
3224,1094000,565500,1.935
3220,909100,515500,1.764
3222,1030600,562200,1.833
3205,1007600,555400,1.814
3232,1003800,584900,1.716
3230,1014200,599200,1.693
3209,981300,522800,1.877
3228,857800,497600,1.724
3240,863400,486500,1.775
3238,932400,497800,1.873
3242,662800,455800,1.454
3310,982600,617600,1.591
3320,576100,514500,1.12
3322,531100,528300,1.005
3324,620100,512800,1.209
3326,877900,573600,1.531
3328,606600,507800,1.195
3330,666100,567800,1.173
3332,542800,520200,1.043
3318,602100,602600,0.999
3316,739100,484000,1.527
3314,805400,532300,1.513
3312,973200,596900,1.63
3334,639500,522200,1.225
3336,447400,466100,0.96
3338,442500,489900,0.903
3236,754100,490000,1.539
3234,768900,503900,1.526
0301,1202700,649900,1.851
3401,662400,487300,1.359
3403,892100,521300,1.711
3405,800700,505900,1.583
3407,779600,481700,1.618
3411,717400,478600,1.499
3412,712200,461000,1.545
3413,793500,478500,1.658
3414,519600,440700,1.179
3415,648900,477700,1.358
3416,496400,434500,1.142
3417,524100,490400,1.069
3418,556700,441700,1.26
3419,597500,456300,1.309
3420,791800,478000,1.656
3421,547000,440600,1.241
3422,567900,432800,1.312
3423,489400,427100,1.146
3424,427900,413900,1.034
3425,373900,418700,0.893
3426,589900,443100,1.331
3427,656800,462200,1.421
3428,594900,476600,1.248
