kom2024,medianinntekt_2021,medianinntekt_2024,antall_25_44_2021
3101,517000.0,624100.0,7540
3103,537000.0,646500.0,11810
3105,533000.0,637700.0,14499
3107,541000.0,647800.0,20188
3301,551000.0,655900.0,27603
3303,582000.0,686900.0,7069
3305,529000.0,616900.0,7659
3110,610000.0,719600.0,790
3124,555000.0,659400.0,251
3122,525000.0,616200.0,719
3118,548000.0,649400.0,11123
3116,576000.0,673200.0,945
3120,549000.0,663900.0,1964
3112,622000.0,719500.0,1762
3114,650000.0,752900.0,1662
3216,661000.0,764200.0,4522
3207,689000.0,806400.0,14552
3218,604000.0,716800.0,5840
3214,650000.0,748300.0,3204
3212,670000.0,792400.0,4685
3201,704000.0,837100.0,31797
3203,692000.0,821700.0,22672
3226,562000.0,672600.0,4273
3224,626000.0,739500.0,5360
3220,631000.0,739000.0,2829
3222,599000.0,695900.0,12011
3205,615000.0,723500.0,23609
3232,687000.0,825200.0,6133
3230,681000.0,789900.0,1674
3209,575000.0,675500.0,11883
3228,607000.0,723300.0,6040
3240,582000.0,700400.0,7284
3238,606000.0,719600.0,4303
3242,530000.0,623500.0,643
3310,649000.0,762000.0,1586
3320,487000.0,565200.0,227
3322,537000.0,629000.0,666
3324,501000.0,599900.0,1039
3326,531000.0,631100.0,753
3328,546000.0,662000.0,945
3330,539000.0,611700.0,1064
3332,532000.0,632300.0,668
3318,509000.0,590500.0,528
3316,535000.0,632100.0,3472
3314,576000.0,681500.0,5159
3312,643000.0,761700.0,6985
3334,592000.0,691700.0,607
3336,516000.0,596100.0,269
3338,517000.0,609300.0,462
3236,566000.0,665200.0,1662
3234,606000.0,710800.0,2166
0301,525000.0,635200.0,258446
3401,501000.0,601200.0,3826
3403,539000.0,639200.0,7681
3405,554000.0,665000.0,6824
3407,520000.0,622900.0,7378
3411,550000.0,658800.0,8459
3412,562000.0,658000.0,1883
3413,563000.0,668200.0,5123
3414,512000.0,610600.0,1005
3415,572000.0,671000.0,1783
3416,482000.0,576100.0,1132
3417,477000.0,570400.0,824
3418,488000.0,580400.0,1411
3419,487000.0,568200.0,659
3420,536000.0,632700.0,5123
3421,484000.0,578300.0,1393
3422,484000.0,591000.0,970
3423,438000.0,521800.0,467
3424,464000.0,522200.0,260
3425,524000.0,618100.0,191
3426,513000.0,646200.0,323
3427,557000.0,650900.0,1214
3428,581000.0,665800.0,516
3429,514000.0,607900.0,263
3430,536000.0,644800.0,359
3431,503000.0,588400.0,484
3432,536000.0,675500.0,375
3433,532000.0,642600.0,441
3434,531000.0,642600.0,443
3435,527000.0,639500.0,740
3436,507000.0,606400.0,1096
3437,512000.0,605200.0,1079
3438,516000.0,615200.0,621
3439,511000.0,618000.0,967
3440,532000.0,644100.0,1201
3441,542000.0,640000.0,1334
3442,543000.0,647700.0,3269
3443,529000.0,629400.0,3192
3446,559000.0,667400.0,2931
3447,508000.0,601500.0,1147
3448,500000.0,591700.0,1366
3449,476000.0,583200.0,565
3450,457000.0,544500.0,230
3451,501000.0,597600.0,1432
3452,520000.0,641600.0,439
3453,533000.0,617000.0,746
3454,533000.0,642900.0,364
3901,543000.0,644100.0,6532
3903,585000.0,700300.0,6167
3905,551000.0,658000.0,15061
3907,541000.0,646600.0,15805
3909,543000.0,650100.0,10961
4001,545000.0,661400.0,8844
4003,538000.0,639800.0,13450
4005,520000.0,622200.0,3046
3911,588000.0,704500.0,5874
4010,644000.0,755500.0,559
4012,604000.0,711400.0,3114
4014,518000.0,615000.0,2178
4016,526000.0,613200.0,847
