kode,aar,kom2024,andel,metode
0101,1945,3101,1.0,1951-oversetting
0102,1945,3105,1.0,1951-oversetting
0103,1945,3107,1.0,1951-oversetting
0104,1945,3103,1.0,1951-oversetting
0111,1945,3110,1.0,1951-oversetting
0112,1945,3107,1.0,1951-oversetting
0113,1945,3107,1.0,1951-oversetting
0114,1945,3105,1.0,1951-oversetting
0115,1945,3105,1.0,1951-oversetting
0116,1945,3101,1.0,1951-oversetting
0117,1945,3101,1.0,1951-oversetting
0118,1945,3124,1.0,1951-oversetting
0119,1945,3122,1.0,1951-oversetting
0120,1945,3122,1.0,1951-oversetting
0121,1945,3226,1.0,1951-oversetting
0122,1945,3118,1.0,1951-oversetting
0123,1945,3118,1.0,1951-oversetting
0124,1945,3118,1.0,1951-oversetting
0125,1945,3118,1.0,1951-oversetting
0126,1945,3118,1.0,1951-oversetting
0127,1945,3116,1.0,1951-oversetting
0128,1945,3120,1.0,1951-oversetting
0129,1945,3120,1.0,1951-oversetting
0130,1945,3105,1.0,1951-oversetting
0131,1945,3107,1.0,1951-oversetting
0132,1945,3107,1.0,1951-oversetting
0133,1945,3107,1.0,1951-oversetting
0134,1945,3107,1.0,1951-oversetting
0135,1945,3112,1.0,1951-oversetting
0136,1945,3103,1.0,1951-oversetting
0137,1945,3114,1.0,1951-oversetting
0138,1945,3118,1.0,1951-oversetting
0201,1945,3216,1.0,1951-oversetting
0203,1945,3214,1.0,1951-oversetting
0211,1945,3216,1.0,1951-oversetting
0212,1945,3207,1.0,1951-oversetting
0213,1945,3207,1.0,1951-oversetting
0214,1945,3218,1.0,1951-oversetting
0215,1945,3214,1.0,1951-oversetting
0216,1945,3212,1.0,1951-oversetting
0217,1945,3207,1.0,1951-oversetting
0218,1945,0301,0.999695,rapport 99/13 (1945–1950)
0218,1945,3207,0.000305,rapport 99/13 (1945–1950)
0219,1945,3201,1.0,1951-oversetting
0220,1945,3203,1.0,1951-oversetting
0221,1945,3226,1.0,1951-oversetting
0222,1945,3226,1.0,1951-oversetting
0223,1945,3226,1.0,1951-oversetting
0224,1945,3226,1.0,1951-oversetting
0225,1945,3205,1.0,1951-oversetting
0226,1945,3205,1.0,1951-oversetting
0227,1945,3205,1.0,1951-oversetting
0228,1945,3224,1.0,1951-oversetting
0229,1945,3220,1.0,1951-oversetting
0230,1945,3222,1.0,1951-oversetting
0231,1945,3205,1.0,1951-oversetting
0232,1945,3205,1.0,1951-oversetting
0233,1945,3232,1.0,1951-oversetting
0234,1945,3230,1.0,1951-oversetting
0235,1945,3209,1.0,1951-oversetting
0236,1945,3228,1.0,1951-oversetting
0237,1945,3240,1.0,1951-oversetting
0238,1945,3238,1.0,1951-oversetting
0239,1945,3242,1.0,1951-oversetting
0240,1945,3240,1.0,1951-oversetting
0301,1945,0301,1.0,1951-oversetting
0401,1945,3403,1.0,1951-oversetting
0402,1945,3401,1.0,1951-oversetting
0411,1945,3411,1.0,1951-oversetting
0412,1945,3411,1.0,1951-oversetting
0413,1945,3411,1.0,1951-oversetting
0414,1945,3403,1.0,1951-oversetting
0415,1945,3412,1.0,1951-oversetting
0416,1945,3413,1.0,1951-oversetting
0417,1945,3413,1.0,1951-oversetting
0418,1945,3414,1.0,1951-oversetting
0419,1945,3415,1.0,1951-oversetting
0420,1945,3416,1.0,1951-oversetting
0421,1945,3401,1.0,1951-oversetting
0422,1945,3401,1.0,1951-oversetting
0423,1945,3417,1.0,1951-oversetting
0424,1945,3418,1.0,1951-oversetting
0425,1945,3418,1.0,1951-oversetting
0426,1945,3419,1.0,1951-oversetting
0427,1945,3420,1.0,1951-oversetting
0428,1945,3421,1.0,1951-oversetting
0429,1945,3422,1.0,1951-oversetting
0430,1945,3423,1.0,1951-oversetting
0431,1945,3423,1.0,1951-oversetting
0432,1945,3424,1.0,1951-oversetting
0433,1945,3424,1.0,1951-oversetting
0434,1945,3425,1.0,1951-oversetting
0435,1945,3426,0.500806,1951-oversetting
0435,1945,3430,0.499194,1951-oversetting
0436,1945,3426,0.500806,1951-oversetting
0436,1945,3430,0.499194,1951-oversetting
0437,1945,3427,1.0,1951-oversetting
0438,1945,3428,1.0,1951-oversetting
0439,1945,3429,1.0,1951-oversetting
0440,1945,3427,0.441489,1951-oversetting
0440,1945,5022,0.558511,1951-oversetting
0501,1945,3405,1.0,1951-oversetting
0502,1945,3407,1.0,1951-oversetting
0511,1945,3431,1.0,1951-oversetting
0512,1945,3432,1.0,1951-oversetting
0513,1945,3433,1.0,1951-oversetting
0514,1945,3434,1.0,1951-oversetting
0515,1945,3435,1.0,1951-oversetting
0516,1945,3437,1.0,1951-oversetting
0517,1945,3437,1.0,1951-oversetting
0518,1945,3436,0.635996,1951-oversetting
0518,1945,3438,0.364004,1951-oversetting
0519,1945,3436,0.635996,1951-oversetting
0519,1945,3438,0.364004,1951-oversetting
0520,1945,3439,1.0,1951-oversetting
0521,1945,3440,1.0,1951-oversetting
0522,1945,3441,1.0,1951-oversetting
0523,1945,3441,1.0,1951-oversetting
0524,1945,3405,1.0,1951-oversetting
0525,1945,3407,1.0,1951-oversetting
0526,1945,3407,1.0,1951-oversetting
0527,1945,3407,0.992268,1951-oversetting
0527,1945,3443,0.007732,1951-oversetting
0528,1945,3442,1.0,1951-oversetting
0529,1945,3443,1.0,1951-oversetting
0530,1945,3443,1.0,1951-oversetting
0531,1945,3442,1.0,1951-oversetting
0532,1945,3236,1.0,1951-oversetting
0533,1945,3234,1.0,1951-oversetting
0534,1945,3446,1.0,1951-oversetting
0535,1945,3446,1.0,1951-oversetting
0536,1945,3447,1.0,1951-oversetting
0537,1945,3447,0.915004,1951-oversetting
0537,1945,3448,0.084996,1951-oversetting
0538,1945,3448,1.0,1951-oversetting
0539,1945,3448,1.0,1951-oversetting
0540,1945,3449,1.0,1951-oversetting
0541,1945,3450,1.0,1951-oversetting
0542,1945,3451,1.0,1951-oversetting
0543,1945,3452,1.0,1951-oversetting
0544,1945,3453,1.0,1951-oversetting
0545,1945,3454,1.0,1951-oversetting
0601,1945,3305,0.870941,1951-oversetting
0601,1945,3310,0.129059,1951-oversetting
0602,1945,3301,1.0,1951-oversetting
0604,1945,3303,1.0,1951-oversetting
0611,1945,3305,0.870941,1951-oversetting
0611,1945,3310,0.129059,1951-oversetting
0612,1945,3305,0.870941,1951-oversetting
0612,1945,3310,0.129059,1951-oversetting
0613,1945,3305,0.870941,1951-oversetting
0613,1945,3310,0.129059,1951-oversetting
0614,1945,3305,0.870941,1951-oversetting
0614,1945,3310,0.129059,1951-oversetting
0615,1945,3320,1.0,1951-oversetting
0616,1945,3322,1.0,1951-oversetting
0617,1945,3324,1.0,1951-oversetting
0618,1945,3326,1.0,1951-oversetting
0619,1945,3328,1.0,1951-oversetting
0620,1945,3330,1.0,1951-oversetting
0621,1945,3332,1.0,1951-oversetting
0622,1945,3318,1.0,1951-oversetting
0623,1945,3316,1.0,1951-oversetting
0624,1945,3314,1.0,1951-oversetting
0625,1945,3301,1.0,1951-oversetting
0626,1945,3301,0.188114,1951-oversetting
0626,1945,3312,0.811886,1951-oversetting
0627,1945,3203,1.0,1951-oversetting
0628,1945,3203,1.0,1951-oversetting
0629,1945,3303,1.0,1951-oversetting
0630,1945,3303,1.0,1951-oversetting
0631,1945,3334,1.0,1951-oversetting
0632,1945,3336,1.0,1951-oversetting
0633,1945,3338,1.0,1951-oversetting
0634,1945,3338,1.0,1951-oversetting
0701,1945,3301,1.0,1951-oversetting
0702,1945,3903,1.0,1951-oversetting
0703,1945,3901,1.0,1951-oversetting
0704,1945,3901,1.0,1951-oversetting
0705,1945,3905,1.0,1951-oversetting
0706,1945,3907,1.0,1951-oversetting
0707,1945,3909,1.0,1951-oversetting
0708,1945,3909,1.0,1951-oversetting
0711,1945,3301,1.0,1951-oversetting
0712,1945,3301,1.0,1951-oversetting
0713,1945,3903,1.0,1951-oversetting
0714,1945,3903,1.0,1951-oversetting
0715,1945,3903,1.0,1951-oversetting
0716,1945,3905,1.0,1951-oversetting
0717,1945,3901,1.0,1951-oversetting
0718,1945,3905,1.0,1951-oversetting
0719,1945,3907,1.0,1951-oversetting
0720,1945,3907,1.0,1951-oversetting
0721,1945,3905,1.0,1951-oversetting
0722,1945,3911,1.0,1951-oversetting
0723,1945,3911,1.0,1951-oversetting
0724,1945,3907,1.0,1951-oversetting
0725,1945,3909,1.0,1951-oversetting
0726,1945,3909,1.0,1951-oversetting
0727,1945,3909,1.0,1951-oversetting
0728,1945,3909,1.0,1951-oversetting
0801,1945,4014,1.0,1951-oversetting
0802,1945,4012,1.0,1951-oversetting
0803,1945,4012,1.0,1951-oversetting
0804,1945,4001,1.0,1951-oversetting
0805,1945,4001,1.0,1951-oversetting
0806,1945,4003,1.0,1951-oversetting
0807,1945,4005,1.0,1951-oversetting
0811,1945,4010,1.0,1951-oversetting
0812,1945,4003,1.0,1951-oversetting
0813,1945,4001,1.0,1951-oversetting
0814,1945,4012,1.0,1951-oversetting
0815,1945,4014,1.0,1951-oversetting
0816,1945,4014,1.0,1951-oversetting
0817,1945,4016,1.0,1951-oversetting
0818,1945,4003,1.0,1951-oversetting
0819,1945,4003,0.059513,1951-oversetting
0819,1945,4018,0.940487,1951-oversetting
0820,1945,4018,1.0,1951-oversetting
0821,1945,4020,1.0,1951-oversetting
0822,1945,4020,1.0,1951-oversetting
0823,1945,4005,1.0,1951-oversetting
0824,1945,3303,0.105854,1951-oversetting
0824,1945,4005,0.894146,1951-oversetting
0825,1945,4005,0.043568,1951-oversetting
0825,1945,4026,0.956432,1951-oversetting
0826,1945,4026,1.0,1951-oversetting
0827,1945,4024,1.0,1951-oversetting
0828,1945,4022,1.0,1951-oversetting
0829,1945,4028,1.0,1951-oversetting
0830,1945,4030,1.0,1951-oversetting
0831,1945,4032,1.0,1951-oversetting
0832,1945,4034,1.0,1951-oversetting
0833,1945,4034,1.0,1951-oversetting
0834,1945,4036,1.0,1951-oversetting
0835,1945,4036,1.0,1951-oversetting
0901,1945,4201,1.0,1951-oversetting
0902,1945,4213,1.0,1951-oversetting
0903,1945,4203,1.0,1951-oversetting
0904,1945,4202,1.0,1951-oversetting
0905,1945,4215,1.0,1951-oversetting
0911,1945,4211,1.0,1951-oversetting
0912,1945,4212,1.0,1951-oversetting
0913,1945,4201,1.0,1951-oversetting
0914,1945,4213,1.0,1951-oversetting
0915,1945,4213,1.0,1951-oversetting
0916,1945,4203,1.0,1951-oversetting
0917,1945,4203,1.0,1951-oversetting
0918,1945,4203,1.0,1951-oversetting
0919,1945,4214,1.0,1951-oversetting
0920,1945,4203,1.0,1951-oversetting
0921,1945,4203,1.0,1951-oversetting
0922,1945,4203,1.0,1951-oversetting
0923,1945,4202,1.0,1951-oversetting
0924,1945,4202,1.0,1951-oversetting
0925,1945,4202,0.958175,1951-oversetting
0925,1945,4215,0.041825,1951-oversetting
0926,1945,4215,1.0,1951-oversetting
0927,1945,4215,1.0,1951-oversetting
0928,1945,4216,1.0,1951-oversetting
0929,1945,4217,1.0,1951-oversetting
0930,1945,4217,1.0,1951-oversetting
0931,1945,4217,1.0,1951-oversetting
0932,1945,4214,1.0,1951-oversetting
0933,1945,4216,1.0,1951-oversetting
0934,1945,4216,1.0,1951-oversetting
0935,1945,4218,1.0,1951-oversetting
0936,1945,4219,1.0,1951-oversetting
0937,1945,4219,1.0,1951-oversetting
0938,1945,4220,1.0,1951-oversetting
0939,1945,4221,1.0,1951-oversetting
0940,1945,4221,1.0,1951-oversetting
0941,1945,4222,1.0,1951-oversetting
1001,1945,4204,1.0,1951-oversetting
1002,1945,4205,1.0,1951-oversetting
1003,1945,4206,1.0,1951-oversetting
1004,1945,4207,1.0,1951-oversetting
1011,1945,4204,1.0,1951-oversetting
1012,1945,4204,1.0,1951-oversetting
1013,1945,4204,1.0,1951-oversetting
1014,1945,4223,1.0,1951-oversetting
1015,1945,4223,1.0,1951-oversetting
1016,1945,4204,0.040456,1951-oversetting
1016,1945,4223,0.959544,1951-oversetting
1017,1945,4204,1.0,1951-oversetting
1018,1945,4204,1.0,1951-oversetting
1019,1945,4205,1.0,1951-oversetting
1020,1945,4204,0.007923,1951-oversetting
1020,1945,4205,0.992077,1951-oversetting
1021,1945,4204,0.039568,1951-oversetting
1021,1945,4205,0.960432,1951-oversetting
1022,1945,4205,1.0,1951-oversetting
1023,1945,4204,0.959085,1951-oversetting
1023,1945,4205,0.040915,1951-oversetting
1024,1945,4205,0.847861,1951-oversetting
1024,1945,4225,0.152139,1951-oversetting
1025,1945,4225,1.0,1951-oversetting
1026,1945,4224,1.0,1951-oversetting
1027,1945,4225,1.0,1951-oversetting
1028,1945,4225,1.0,1951-oversetting
1029,1945,4205,1.0,1951-oversetting
1030,1945,4205,1.0,1951-oversetting
1031,1945,4225,1.0,1951-oversetting
1032,1945,4225,1.0,1951-oversetting
1033,1945,4225,1.0,1951-oversetting
1034,1945,4226,1.0,1951-oversetting
1035,1945,4226,1.0,1951-oversetting
1036,1945,4227,1.0,1951-oversetting
1037,1945,4227,1.0,1951-oversetting
1038,1945,4227,1.0,1951-oversetting
1039,1945,4206,1.0,1951-oversetting
1040,1945,4206,1.0,1951-oversetting
1041,1945,4206,1.0,1951-oversetting
1042,1945,4207,1.0,1951-oversetting
1043,1945,4207,1.0,1951-oversetting
1044,1945,4207,1.0,1951-oversetting
1045,1945,4207,0.819055,1951-oversetting
1045,1945,4228,0.180945,1951-oversetting
1046,1945,4228,1.0,1951-oversetting
1047,1945,4228,1.0,1951-oversetting
1101,1945,1101,1.0,1951-oversetting
1102,1945,1108,1.0,1951-oversetting
1103,1945,1103,1.0,1951-oversetting
1104,1945,1149,1.0,1951-oversetting
1105,1945,1149,1.0,1951-oversetting
1106,1945,1106,1.0,1951-oversetting
1111,1945,1111,1.0,1951-oversetting
1112,1945,1112,1.0,1951-oversetting
1113,1945,1101,0.172466,1951-oversetting
1113,1945,1112,0.827534,1951-oversetting
1114,1945,1114,1.0,1951-oversetting
1115,1945,1101,1.0,1951-oversetting
1116,1945,1101,1.0,1951-oversetting
1117,1945,1119,1.0,1951-oversetting
1118,1945,1119,1.0,1951-oversetting
1119,1945,1119,1.0,1951-oversetting
1120,1945,1120,1.0,1951-oversetting
1121,1945,1121,1.0,1951-oversetting
1122,1945,1122,1.0,1951-oversetting
1123,1945,1108,1.0,1951-oversetting
1124,1945,1124,1.0,1951-oversetting
