kode,aar,kom2024,andel,befolkning,metode
0101,1986,3101,1.0,25844,arvet
0102,1986,3105,1.0,11878,arvet
0103,1986,3107,1.0,26838,arvet
0104,1986,3103,1.0,24548,arvet
0111,1986,3110,1.0,2921,arvet
0113,1986,3107,1.0,11466,arvet
0114,1986,3105,1.0,2182,arvet
0115,1986,3105,1.0,13671,arvet
0118,1986,3124,1.0,1506,arvet
0119,1986,3122,1.0,3430,arvet
0121,1986,3226,1.0,702,arvet
0122,1986,3118,1.0,4742,arvet
0123,1986,3118,1.0,4188,arvet
0124,1986,3118,1.0,12605,arvet
0125,1986,3118,1.0,9184,arvet
0127,1986,3116,1.0,3124,arvet
0128,1986,3120,1.0,7159,arvet
0130,1986,3105,1.0,18543,arvet
0131,1986,3107,1.0,5706,arvet
0133,1986,3107,1.0,7433,arvet
0134,1986,3107,1.0,12519,arvet
0135,1986,3112,1.0,5819,arvet
0136,1986,3103,1.0,11606,arvet
0137,1986,3114,1.0,3594,arvet
0138,1986,3118,1.0,3781,arvet
0211,1986,3216,1.0,10952,arvet
0213,1986,3207,1.0,21551,arvet
0214,1986,3218,1.0,11351,arvet
0215,1986,3214,1.0,9502,arvet
0216,1986,3212,1.0,11567,arvet
0217,1986,3207,1.0,19019,arvet
0219,1986,3201,1.0,84724,arvet
0220,1986,3203,1.0,38911,arvet
0221,1986,3226,1.0,12465,arvet
0226,1986,3205,1.0,10234,arvet
0227,1986,3205,1.0,8059,arvet
0228,1986,3224,1.0,13510,arvet
0229,1986,3220,1.0,7592,arvet
0230,1986,3222,1.0,24125,arvet
0231,1986,3205,1.0,32517,arvet
0233,1986,3232,1.0,15187,arvet
0234,1986,3230,1.0,3501,arvet
0235,1986,3209,1.0,17529,arvet
0236,1986,3228,1.0,14917,arvet
0237,1986,3240,1.0,15719,arvet
0238,1986,3238,1.0,7812,arvet
0239,1986,3242,1.0,2495,arvet
0301,1986,0301,1.0,449395,arvet
0401,1986,3403,1.0,15672,arvet
0402,1986,3401,1.0,17492,arvet
0412,1986,3411,1.0,30521,arvet
0414,1986,3403,1.0,8812,arvet
0415,1986,3412,1.0,7038,arvet
0417,1986,3413,1.0,17645,arvet
0418,1986,3414,1.0,5347,arvet
0419,1986,3415,1.0,7439,arvet
0420,1986,3416,1.0,6333,arvet
0423,1986,3417,1.0,6037,arvet
0425,1986,3418,1.0,8769,arvet
0426,1986,3419,1.0,4580,arvet
0427,1986,3420,1.0,16948,arvet
0428,1986,3421,1.0,7386,arvet
0429,1986,3422,1.0,4574,arvet
0430,1986,3423,1.0,3496,arvet
0432,1986,3424,1.0,2642,arvet
0434,1986,3425,1.0,1741,arvet
0436,1986,3426,1.0,1857,arvet
0437,1986,3427,1.0,5392,arvet
0438,1986,3428,1.0,2464,arvet
0439,1986,3429,1.0,2110,arvet
0441,1986,3430,1.0,2071,arvet
0501,1986,3405,1.0,22128,arvet
0502,1986,3407,1.0,25908,arvet
0511,1986,3431,1.0,3177,arvet
0512,1986,3432,1.0,2481,arvet
0513,1986,3433,1.0,2688,arvet
0514,1986,3434,1.0,2704,arvet
0515,1986,3435,1.0,4101,arvet
0516,1986,3436,1.0,6271,arvet
0517,1986,3437,1.0,6578,arvet
0519,1986,3438,1.0,3531,arvet
0520,1986,3439,1.0,5235,arvet
0521,1986,3440,1.0,4507,arvet
0522,1986,3441,1.0,6511,arvet
0528,1986,3442,1.0,14114,arvet
0529,1986,3443,1.0,13563,arvet
0532,1986,3236,1.0,5704,arvet
0533,1986,3234,1.0,7616,arvet
0534,1986,3446,1.0,12469,arvet
0536,1986,3447,1.0,6282,arvet
0538,1986,3448,1.0,7019,arvet
0540,1986,3449,1.0,3663,arvet
0541,1986,3450,1.0,1690,arvet
0542,1986,3451,1.0,6560,arvet
0543,1986,3452,1.0,2470,arvet
0544,1986,3453,1.0,3074,arvet
0545,1986,3454,1.0,1752,arvet
0602,1986,3301,1.0,50874,arvet
0604,1986,3303,1.0,21060,arvet
0605,1986,3305,1.0,26797,arvet
0612,1986,3310,1.0,4236,arvet
0615,1986,3320,1.0,1267,arvet
0616,1986,3322,1.0,3388,arvet
0617,1986,3324,1.0,4064,arvet
0618,1986,3326,1.0,1626,arvet
0619,1986,3328,1.0,4669,arvet
0620,1986,3330,1.0,4656,arvet
0621,1986,3332,1.0,3800,arvet
0622,1986,3318,1.0,2342,arvet
0623,1986,3316,1.0,12184,arvet
0624,1986,3314,1.0,14112,arvet
0625,1986,3301,1.0,18132,arvet
0626,1986,3312,1.0,18348,arvet
0627,1986,3203,1.0,13746,arvet
0628,1986,3203,1.0,7737,arvet
0631,1986,3334,1.0,2531,arvet
0632,1986,3336,1.0,1440,arvet
0633,1986,3338,1.0,2984,arvet
0702,1986,3903,1.0,9072,arvet
0703,1986,3901,1.0,13031,arvet
0705,1986,3905,1.0,8964,arvet
0706,1986,3907,1.0,35124,arvet
0707,1986,3909,1.0,8035,arvet
0708,1986,3909,1.0,2529,arvet
0711,1986,3301,1.0,5528,arvet
0713,1986,3903,1.0,6633,arvet
0714,1986,3903,1.0,2707,arvet
0716,1986,3905,1.0,3708,arvet
0717,1986,3901,1.0,8953,arvet
0718,1986,3905,1.0,3358,arvet
0719,1986,3907,1.0,4332,arvet
0720,1986,3907,1.0,8480,arvet
0721,1986,3905,1.0,21731,arvet
0722,1986,3911,1.0,17215,arvet
0723,1986,3911,1.0,3625,arvet
0725,1986,3909,1.0,7767,arvet
0726,1986,3909,1.0,7980,arvet
0727,1986,3909,1.0,10422,arvet
0728,1986,3909,1.0,2376,arvet
0805,1986,4001,1.0,31317,arvet
0806,1986,4003,1.0,47020,arvet
0807,1986,4005,1.0,12625,arvet
0811,1986,4010,1.0,2124,arvet
0814,1986,4012,1.0,13331,arvet
0815,1986,4014,1.0,10855,arvet
0817,1986,4016,1.0,4521,arvet
0819,1986,4018,1.0,7104,arvet
