gammelt_nr,navn,start_yr,end_yr,nr_2024
0101,Halden,,2019,3101
0102,Sarpsborg,,1991,3105
0103,Fredrikstad,,1993,3107
0104,Moss,,2019,3103
0105,Sarpsborg,1992,2019,3105
0106,Fredrikstad,1994,2019,3107
0111,Hvaler,,2019,3110
0112,Torsnes,1910,1963,
0113,Borge,,1993,3107
0114,Varteig,,1991,3105
0115,Skjeberg,,1991,3105
0116,Berg,,1966,
0117,Idd,,1966,
0118,Aremark,,2019,3124
0119,Marker,1964,2019,3122
0120,Rødenes,,1963,
0121,Rømskog,,2019,3226
0122,Trøgstad,,2019,3118
0123,Spydeberg,,2019,3118
0124,Askim,,2019,3118
0125,Eidsberg,,2019,3118
0126,Mysen,1921,1960,
0127,Skiptvet,,2019,3116
0128,Rakkestad,,2019,3120
0129,Degernes,1917,1963,
0130,Tune,,1991,3105
0131,Rolvsøy,1911,1993,3107
0132,Glemmen,,1963,
0133,Kråkerøy,1908,1993,3107
0134,Onsøy,,1993,3107
0135,Råde,,2019,3112
0136,Rygge,,2019,3103
0137,Våler (Østfold),,2019,3114
0138,Hobøl,,2019,3118
0201,Son,,1963,
0203,Drøbak,,1961,
0211,Vestby,,2019,3216
0212,Kråkstad,,1963,
0213,Ski,1931,2019,3207
0214,Ås,,2019,3218
0215,Frogn,,2019,3214
0216,Nesodden,,2019,3212
0217,Oppegård,1915,2019,3207
0218,Aker,,1947,
0219,Bærum,,2019,3201
0220,Asker,,2019,3203
0221,Aurskog-Høland,1966,2019,3226
0222,Nordre Høland,1924,1965,
0223,Setskog,,1965,
0224,Aurskog,,1965,
0225,Blaker,1919,1961,
0226,Sørum,,2019,3205
0227,Fet,,2019,3205
0228,Rælingen,1929,2019,3224
0229,Enebakk,,2019,3220
0230,Lørenskog,1908,2019,3222
0231,Skedsmo,,2019,3205
0232,Lillestrøm,1908,1961,3205
0233,Nittedal,,2019,3232
0234,Gjerdrum,,2019,3230
0235,Ullensaker,,2019,3209
0236,Nes (Akershus),,2019,3228
0237,Eidsvoll,,2019,3240
0238,Nannestad,,2019,3238
0239,Hurdal,,2019,3242
0240,Feiring,,1963,
0301,Oslo - Oslove,,,0301
0401,Hamar,,1991,3403
0402,Kongsvinger,,2019,3401
0403,Hamar,1992,2019,3403
0411,Nes,,1963,3228
0412,Ringsaker,,2019,3411
0413,Furnes,,1963,
0414,Vang,,1991,3454
0415,Løten,,2019,3412
0416,Romedal,,1963,
0417,Stange,,2019,3413
0418,Nord-Odal,,2019,3414
0419,Sør-Odal,,2019,3415
0420,Eidskog,,2019,3416
0421,Vinger,,1963,
0422,Brandval,,1963,
0423,Grue,,2019,3417
0424,Hof,,1962,
0425,Åsnes,,2019,3418
0426,Våler (Hedmark),,2019,3419
0427,Elverum,,2019,3420
0428,Trysil,,2019,3421
0429,Åmot,,2019,3422
0430,Stor-Elvdal,,2019,3423
0431,Sollia,,1964,
0432,Rendalen,1965,2019,3424
0433,Øvre Rendal,,1964,
0434,Engerdal,1911,2019,3425
0435,Tolga-Os,1966,1975,
0436,Tolga,,2019,3426
0437,Tynset,,2019,3427
0438,Alvdal,,2019,3428
0439,Folldal,1914,2019,3429
0440,Kvikne,,1965,
0441,Os (Hedmark),,2019,3430
0501,Lillehammer,,2019,3405
0502,Gjøvik,,2019,3407
0511,Dovre,,2019,3431
0512,Lesja,,2019,3432
0513,Skjåk,,2019,3433
0514,Lom,,2019,3434
0515,Vågå,,2019,3435
0516,Nord-Fron,1977,2019,3436
0517,Sel,1908,2019,3437
0518,Fron,1966,1976,
0519,Sør-Fron,,2019,3438
0520,Ringebu,,2019,3439
0521,Øyer,,2019,3440
0522,Gausdal,1962,2019,3441
0523,Vestre Gausdal,,1961,
0524,Fåberg,,1963,
0525,Biri,,1963,
0526,Snertingdal,1910,1963,
0527,Vardal,,1963,
0528,Østre Toten,,2019,3442
0529,Vestre Toten,,2019,3443
0530,Eina,1908,1963,
0531,Kolbu,1908,1963,
0532,Jevnaker,,2019,3236
0533,Lunner,,2019,3234
0534,Gran,,2019,3446
0535,Brandbu,,1961,
0536,Søndre Land,,2019,3447
0537,Fluberg,1914,1961,
0538,Nordre Land,,2019,3448
0539,Torpa,1914,1961,
0540,Sør-Aurdal,,2019,3449
0541,Etnedal,,2019,3450
0542,Nord-Aurdal,,2019,3451
0543,Vestre Slidre,,2019,3452
0544,Øystre Slidre,,2019,3453
0545,Vang,,2019,3454
0601,Ringerike,1964,1976,3305
0602,Drammen,,2019,3301
0604,Kongsberg,,2019,3303
0605,Ringerike,1977,2019,3305
0611,Tyristrand,1916,1963,
0612,Hole,1977,2019,3310
0613,Norderhov,,1963,
0614,Ådal,,1963,
0615,Flå,,2019,3320
0616,Nes (Buskerud),,2019,3322
0617,Gol,,2019,3324
0618,Hemsedal,,2019,3326
0619,Ål,,2019,3328
0620,Hol,,2019,3330
0621,Sigdal,,2019,3332
0622,Krødsherad,,2019,3318
0623,Modum,,2019,3316
0624,Øvre Eiker,,2019,3314
0625,Nedre Eiker,,2019,3301
0626,Lier,,2019,3312
0627,Røyken,,2019,3203
0628,Hurum,,2019,3203
0629,Ytre Sandsvær,1908,1963,
0630,Øvre Sandsvær,1908,1963,
0631,Flesberg,,2019,3334
0632,Rollag,,2019,3336
0633,Nore og Uvdal,1962,2019,3338
0634,Uvdal,,1961,
0701,Horten,2002,2019,3901
0702,Holmestrand,,2017,3903
0703,Horten,,1987,3901
0704,Tønsberg,1988,2019,3905
0705,Tønsberg,,1987,3905
0706,Sandefjord,,2016,3907
0707,Larvik,,1987,3909
0708,Stavern,1944,1987,3909
0709,Larvik,1988,2017,3909
0710,Sandefjord,2017,2019,3907
0711,Svelvik,1964,2019,3301
0712,Larvik,2018,2019,3909
0713,Sande (Vestfold),,2019,3903
0714,Hof,,2017,3903
0715,Holmestrand,2018,2019,3903
0716,Re,2002,2019,3903
0717,Borre,,1987,3901
0718,Ramnes,,2001,3903
0719,Andebu,,2016,3907
0720,Stokke,,2016,3907
0721,Sem,,1987,3905
0722,Nøtterøy,,2017,3911
0723,Tjøme,,2017,3911
0724,Sandar,,1967,
0725,Tjølling,,1987,3909
0726,Brunlanes,,1987,3909
0727,Hedrum,,1987,3909
0728,Lardal,,2017,3909
0729,Færder,2018,2019,3911
0801,Kragerø,,1959,4014
0802,Langesund,,1963,
0803,Stathelle,,1963,
0804,Brevik,,1963,
0805,Porsgrunn,,2019,4001
0806,Skien,,2019,4003
0807,Notodden,1913,2019,4005
0811,Siljan,,2019,4010
0812,Gjerpen,,1963,
0813,Eidanger,,1963,
0814,Bamble,,2019,4012
0815,Kragerø,1960,2019,4014
0816,Sannidal,,1959,
0817,Drangedal,,2019,4016
0818,Solum,,1963,
0819,Nome,1964,2019,4018
0820,Lunde,,1963,
0821,Bø (Telemark),,2019,4020
0822,Sauherad,,2019,4020
0823,Heddal,,1963,
0824,Gransherad,,1963,
0825,Hovin,,1963,
0826,Tinn,,2019,4026
0827,Hjartdal,,2019,4024
0828,Seljord,,2019,4022
0829,Kviteseid,,2019,4028
0830,Nissedal,,2019,4030
0831,Fyresdal,,2019,4032
0832,Mo,,1963,
0833,Tokke,1964,2019,4034
0834,Vinje,,2019,4036
0835,Rauland,,1963,
0901,Risør,,2019,4201
0902,Tvedestrand,,1959,4213
0903,Arendal,,1991,4203
0904,Grimstad,,2019,4202
0905,Lillesand,,1961,4215
0906,Arendal,1992,2019,4203
0911,Gjerstad,,2019,4211
0912,Vegårshei,,2019,4212
0913,Søndeled,,1963,
0914,Tvedestrand,,2019,4213
0915,Dypvåg,,1959,
0916,Flosta,,1961,
0917,Stokken,1919,1961,
0918,Moland,1962,1991,4203
0919,Froland,,2019,4214
0920,Øyestad,,1991,4203
0921,Tromøy,,1991,4203
0922,Hisøy,,1991,4203
0923,Fjære,,1970,
0924,Landvik,,1970,
0925,Eide,,1961,
0926,Lillesand,1962,2019,4215
0927,Høvåg,,1961,
0928,Birkenes,,2019,4216
0929,Åmli,,2019,4217
0930,Gjøvdal,1908,1959,
0931,Tovdal,1908,1966,
0932,Mykland,,1966,
0933,Herefoss,,1966,
0934,Vegusdal,,1966,
0935,Iveland,,2019,4218
0936,Hornnes,,1959,
0937,Evje og Hornnes,1960,2019,4219
0938,Bygland,,2019,4220
0939,Hylestad,1915,1961,
0940,Valle,,2019,4221
0941,Bykle,,2019,4222
