kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,estimert,sikkerhet
0301,Oslo - Oslove,1945,01,82267.43,198203.77,41.51,True,lav
0301,Oslo - Oslove,1945,02,0.0,198203.77,0.0,True,lav
0301,Oslo - Oslove,1945,03,56360.19,198203.77,28.44,True,lav
0301,Oslo - Oslove,1945,04,23746.76,198203.77,11.98,True,lav
0301,Oslo - Oslove,1945,05,0.0,198203.77,0.0,True,lav
0301,Oslo - Oslove,1945,06,0.0,198203.77,0.0,True,lav
0301,Oslo - Oslove,1945,07,6811.35,198203.77,3.44,True,lav
0301,Oslo - Oslove,1945,08,0.0,198203.77,0.0,True,lav
0301,Oslo - Oslove,1945,55,0.0,198203.77,0.0,True,lav
0301,Oslo - Oslove,1945,09,29018.04,198203.77,14.64,True,lav
0301,Oslo - Oslove,1945,90,0.0,198203.77,0.0,True,lav
0301,Oslo - Oslove,1945,99,0.0,198203.77,0.0,True,lav
1101,Eigersund,1945,01,1129.35,3599.23,31.38,True,lav
1101,Eigersund,1945,02,0.0,3599.23,0.0,True,lav
1101,Eigersund,1945,03,284.0,3599.23,7.89,True,lav
1101,Eigersund,1945,04,249.0,3599.23,6.92,True,lav
1101,Eigersund,1945,05,30.35,3599.23,0.84,True,lav
1101,Eigersund,1945,06,0.0,3599.23,0.0,True,lav
1101,Eigersund,1945,07,872.0,3599.23,24.23,True,lav
1101,Eigersund,1945,08,0.0,3599.23,0.0,True,lav
1101,Eigersund,1945,55,0.0,3599.23,0.0,True,lav
1101,Eigersund,1945,09,198.0,3599.23,5.5,True,lav
1101,Eigersund,1945,90,0.0,3599.23,0.0,True,lav
1101,Eigersund,1945,99,836.52,3599.23,23.24,True,lav
1103,Stavanger,1945,01,12289.9,28489.64,43.14,True,lav
1103,Stavanger,1945,02,0.0,28489.64,0.0,True,lav
1103,Stavanger,1945,03,4705.78,28489.64,16.52,True,lav
1103,Stavanger,1945,04,535.05,28489.64,1.88,True,lav
1103,Stavanger,1945,05,394.04,28489.64,1.38,True,lav
1103,Stavanger,1945,06,0.0,28489.64,0.0,True,lav
1103,Stavanger,1945,07,5736.05,28489.64,20.13,True,lav
1103,Stavanger,1945,08,0.0,28489.64,0.0,True,lav
1103,Stavanger,1945,55,0.0,28489.64,0.0,True,lav
1103,Stavanger,1945,09,3880.58,28489.64,13.62,True,lav
1103,Stavanger,1945,90,119.14,28489.64,0.42,True,lav
1103,Stavanger,1945,99,829.09,28489.64,2.91,True,lav
1106,Haugesund,1945,01,4221.03,9887.28,42.69,True,lav
1106,Haugesund,1945,02,0.0,9887.28,0.0,True,lav
1106,Haugesund,1945,03,1802.0,9887.28,18.23,True,lav
1106,Haugesund,1945,04,2.02,9887.28,0.02,True,lav
1106,Haugesund,1945,05,1.36,9887.28,0.01,True,lav
1106,Haugesund,1945,06,0.0,9887.28,0.0,True,lav
1106,Haugesund,1945,07,2652.0,9887.28,26.82,True,lav
1106,Haugesund,1945,08,0.0,9887.28,0.0,True,lav
1106,Haugesund,1945,55,0.0,9887.28,0.0,True,lav
1106,Haugesund,1945,09,623.27,9887.28,6.3,True,lav
1106,Haugesund,1945,90,0.0,9887.28,0.0,True,lav
1106,Haugesund,1945,99,585.6,9887.28,5.92,True,lav
1108,Sandnes,1945,01,2932.06,7507.8,39.05,True,lav
1108,Sandnes,1945,02,0.0,7507.8,0.0,True,lav
1108,Sandnes,1945,03,516.22,7507.8,6.88,True,lav
1108,Sandnes,1945,04,479.95,7507.8,6.39,True,lav
1108,Sandnes,1945,05,817.96,7507.8,10.89,True,lav
1108,Sandnes,1945,06,0.0,7507.8,0.0,True,lav
1108,Sandnes,1945,07,1332.95,7507.8,17.75,True,lav
1108,Sandnes,1945,08,0.0,7507.8,0.0,True,lav
1108,Sandnes,1945,55,0.0,7507.8,0.0,True,lav
1108,Sandnes,1945,09,613.42,7507.8,8.17,True,lav
1108,Sandnes,1945,90,94.36,7507.8,1.26,True,lav
1108,Sandnes,1945,99,720.89,7507.8,9.6,True,lav
1111,Sokndal,1945,01,429.0,1364.0,31.45,False,lav
1111,Sokndal,1945,02,0.0,1364.0,0.0,False,lav
1111,Sokndal,1945,03,0.0,1364.0,0.0,False,lav
1111,Sokndal,1945,04,0.0,1364.0,0.0,False,lav
1111,Sokndal,1945,05,0.0,1364.0,0.0,False,lav
1111,Sokndal,1945,06,0.0,1364.0,0.0,False,lav
1111,Sokndal,1945,07,0.0,1364.0,0.0,False,lav
1111,Sokndal,1945,08,0.0,1364.0,0.0,False,lav
1111,Sokndal,1945,55,0.0,1364.0,0.0,False,lav
1111,Sokndal,1945,09,0.0,1364.0,0.0,False,lav
1111,Sokndal,1945,90,719.0,1364.0,52.71,False,lav
1111,Sokndal,1945,99,216.0,1364.0,15.84,False,lav
1112,Lund,1945,01,360.65,1213.77,29.71,True,lav
1112,Lund,1945,02,0.0,1213.77,0.0,True,lav
1112,Lund,1945,03,0.0,1213.77,0.0,True,lav
1112,Lund,1945,04,0.0,1213.77,0.0,True,lav
1112,Lund,1945,05,145.65,1213.77,12.0,True,lav
1112,Lund,1945,06,0.0,1213.77,0.0,True,lav
1112,Lund,1945,07,0.0,1213.77,0.0,True,lav
1112,Lund,1945,08,0.0,1213.77,0.0,True,lav
1112,Lund,1945,55,0.0,1213.77,0.0,True,lav
1112,Lund,1945,09,0.0,1213.77,0.0,True,lav
1112,Lund,1945,90,0.0,1213.77,0.0,True,lav
1112,Lund,1945,99,707.48,1213.77,58.29,True,lav
1114,Bjerkreim,1945,01,89.0,745.0,11.95,False,lav
1114,Bjerkreim,1945,02,0.0,745.0,0.0,False,lav
1114,Bjerkreim,1945,03,0.0,745.0,0.0,False,lav
1114,Bjerkreim,1945,04,0.0,745.0,0.0,False,lav
1114,Bjerkreim,1945,05,0.0,745.0,0.0,False,lav
1114,Bjerkreim,1945,06,0.0,745.0,0.0,False,lav
1114,Bjerkreim,1945,07,0.0,745.0,0.0,False,lav
1114,Bjerkreim,1945,08,0.0,745.0,0.0,False,lav
1114,Bjerkreim,1945,55,0.0,745.0,0.0,False,lav
1114,Bjerkreim,1945,09,34.0,745.0,4.56,False,lav
1114,Bjerkreim,1945,90,0.0,745.0,0.0,False,lav
1114,Bjerkreim,1945,99,622.0,745.0,83.49,False,lav
1119,Hå,1945,01,211.0,2986.0,7.07,False,lav
1119,Hå,1945,02,0.0,2986.0,0.0,False,lav
1119,Hå,1945,03,0.0,2986.0,0.0,False,lav
1119,Hå,1945,04,47.0,2986.0,1.57,False,lav
1119,Hå,1945,05,0.0,2986.0,0.0,False,lav
1119,Hå,1945,06,0.0,2986.0,0.0,False,lav
1119,Hå,1945,07,0.0,2986.0,0.0,False,lav
1119,Hå,1945,08,0.0,2986.0,0.0,False,lav
1119,Hå,1945,55,0.0,2986.0,0.0,False,lav
1119,Hå,1945,09,0.0,2986.0,0.0,False,lav
1119,Hå,1945,90,100.0,2986.0,3.35,False,lav
1119,Hå,1945,99,2628.0,2986.0,88.01,False,lav
1120,Klepp,1945,01,305.0,1506.0,20.25,False,lav
1120,Klepp,1945,02,0.0,1506.0,0.0,False,lav
1120,Klepp,1945,03,0.0,1506.0,0.0,False,lav
1120,Klepp,1945,04,0.0,1506.0,0.0,False,lav
1120,Klepp,1945,05,0.0,1506.0,0.0,False,lav
1120,Klepp,1945,06,0.0,1506.0,0.0,False,lav
1120,Klepp,1945,07,133.0,1506.0,8.83,False,lav
1120,Klepp,1945,08,0.0,1506.0,0.0,False,lav
1120,Klepp,1945,55,0.0,1506.0,0.0,False,lav
1120,Klepp,1945,09,0.0,1506.0,0.0,False,lav
1120,Klepp,1945,90,0.0,1506.0,0.0,False,lav
1120,Klepp,1945,99,1068.0,1506.0,70.92,False,lav
1121,Time,1945,01,482.0,1957.0,24.63,False,lav
1121,Time,1945,02,0.0,1957.0,0.0,False,lav
1121,Time,1945,03,0.0,1957.0,0.0,False,lav
1121,Time,1945,04,0.0,1957.0,0.0,False,lav
1121,Time,1945,05,0.0,1957.0,0.0,False,lav
1121,Time,1945,06,0.0,1957.0,0.0,False,lav
1121,Time,1945,07,0.0,1957.0,0.0,False,lav
1121,Time,1945,08,0.0,1957.0,0.0,False,lav
1121,Time,1945,55,0.0,1957.0,0.0,False,lav
1121,Time,1945,09,0.0,1957.0,0.0,False,lav
1121,Time,1945,90,0.0,1957.0,0.0,False,lav
1121,Time,1945,99,1475.0,1957.0,75.37,False,lav
1122,Gjesdal,1945,01,432.03,1517.55,28.47,True,lav
1122,Gjesdal,1945,02,0.0,1517.55,0.0,True,lav
1122,Gjesdal,1945,03,0.0,1517.55,0.0,True,lav
1122,Gjesdal,1945,04,0.0,1517.55,0.0,True,lav
1122,Gjesdal,1945,05,0.0,1517.55,0.0,True,lav
1122,Gjesdal,1945,06,0.0,1517.55,0.0,True,lav
1122,Gjesdal,1945,07,0.0,1517.55,0.0,True,lav
1122,Gjesdal,1945,08,0.0,1517.55,0.0,True,lav
1122,Gjesdal,1945,55,0.0,1517.55,0.0,True,lav
1122,Gjesdal,1945,09,0.0,1517.55,0.0,True,lav
1122,Gjesdal,1945,90,49.5,1517.55,3.26,True,lav
1122,Gjesdal,1945,99,1036.02,1517.55,68.27,True,lav
1124,Sola,1945,01,146.0,829.0,17.61,False,lav
1124,Sola,1945,02,0.0,829.0,0.0,False,lav
1124,Sola,1945,03,0.0,829.0,0.0,False,lav
1124,Sola,1945,04,272.0,829.0,32.81,False,lav
1124,Sola,1945,05,0.0,829.0,0.0,False,lav
1124,Sola,1945,06,0.0,829.0,0.0,False,lav
1124,Sola,1945,07,0.0,829.0,0.0,False,lav
1124,Sola,1945,08,0.0,829.0,0.0,False,lav
1124,Sola,1945,55,0.0,829.0,0.0,False,lav
1124,Sola,1945,09,0.0,829.0,0.0,False,lav
1124,Sola,1945,90,0.0,829.0,0.0,False,lav
1124,Sola,1945,99,411.0,829.0,49.58,False,lav
1127,Randaberg,1945,01,122.0,419.0,29.12,False,lav
1127,Randaberg,1945,02,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,03,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,04,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,05,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,06,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,07,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,08,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,55,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,09,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,90,0.0,419.0,0.0,False,lav
1127,Randaberg,1945,99,297.0,419.0,70.88,False,lav
1130,Strand,1945,01,412.0,1580.0,26.08,False,lav
1130,Strand,1945,02,0.0,1580.0,0.0,False,lav
1130,Strand,1945,03,0.0,1580.0,0.0,False,lav
1130,Strand,1945,04,155.0,1580.0,9.81,False,lav
1130,Strand,1945,05,0.0,1580.0,0.0,False,lav
1130,Strand,1945,06,0.0,1580.0,0.0,False,lav
1130,Strand,1945,07,0.0,1580.0,0.0,False,lav
1130,Strand,1945,08,0.0,1580.0,0.0,False,lav
1130,Strand,1945,55,0.0,1580.0,0.0,False,lav
1130,Strand,1945,09,0.0,1580.0,0.0,False,lav
1130,Strand,1945,90,0.0,1580.0,0.0,False,lav
1130,Strand,1945,99,1013.0,1580.0,64.11,False,lav
1133,Hjelmeland,1945,01,173.0,783.0,22.09,False,lav
1133,Hjelmeland,1945,02,0.0,783.0,0.0,False,lav
1133,Hjelmeland,1945,03,0.0,783.0,0.0,False,lav
1133,Hjelmeland,1945,04,0.0,783.0,0.0,False,lav
1133,Hjelmeland,1945,05,0.0,783.0,0.0,False,lav
1133,Hjelmeland,1945,06,0.0,783.0,0.0,False,lav
1133,Hjelmeland,1945,07,0.0,783.0,0.0,False,lav
1133,Hjelmeland,1945,08,0.0,783.0,0.0,False,lav
1133,Hjelmeland,1945,55,0.0,783.0,0.0,False,lav
1133,Hjelmeland,1945,09,0.0,783.0,0.0,False,lav
1133,Hjelmeland,1945,90,196.0,783.0,25.03,False,lav
1133,Hjelmeland,1945,99,414.0,783.0,52.87,False,lav
1134,Suldal,1945,01,389.0,1546.0,25.16,False,lav
1134,Suldal,1945,02,0.0,1546.0,0.0,False,lav
1134,Suldal,1945,03,0.0,1546.0,0.0,False,lav
1134,Suldal,1945,04,0.0,1546.0,0.0,False,lav
1134,Suldal,1945,05,0.0,1546.0,0.0,False,lav
1134,Suldal,1945,06,0.0,1546.0,0.0,False,lav
1134,Suldal,1945,07,0.0,1546.0,0.0,False,lav
1134,Suldal,1945,08,0.0,1546.0,0.0,False,lav
1134,Suldal,1945,55,0.0,1546.0,0.0,False,lav
1134,Suldal,1945,09,0.0,1546.0,0.0,False,lav
1134,Suldal,1945,90,134.0,1546.0,8.67,False,lav
1134,Suldal,1945,99,1023.0,1546.0,66.17,False,lav
1135,Sauda,1945,01,877.0,2331.0,37.62,False,lav
1135,Sauda,1945,02,0.0,2331.0,0.0,False,lav
1135,Sauda,1945,03,0.0,2331.0,0.0,False,lav
1135,Sauda,1945,04,332.0,2331.0,14.24,False,lav
1135,Sauda,1945,05,0.0,2331.0,0.0,False,lav
1135,Sauda,1945,06,0.0,2331.0,0.0,False,lav
1135,Sauda,1945,07,0.0,2331.0,0.0,False,lav
1135,Sauda,1945,08,0.0,2331.0,0.0,False,lav
1135,Sauda,1945,55,0.0,2331.0,0.0,False,lav
1135,Sauda,1945,09,435.0,2331.0,18.66,False,lav
1135,Sauda,1945,90,687.0,2331.0,29.47,False,lav
1135,Sauda,1945,99,0.0,2331.0,0.0,False,lav
1144,Kvitsøy,1945,01,88.0,257.0,34.24,False,lav
1144,Kvitsøy,1945,02,0.0,257.0,0.0,False,lav
1144,Kvitsøy,1945,03,0.0,257.0,0.0,False,lav
1144,Kvitsøy,1945,04,0.0,257.0,0.0,False,lav
1144,Kvitsøy,1945,05,0.0,257.0,0.0,False,lav
1144,Kvitsøy,1945,06,0.0,257.0,0.0,False,lav
1144,Kvitsøy,1945,07,0.0,257.0,0.0,False,lav
1144,Kvitsøy,1945,08,0.0,257.0,0.0,False,lav
1144,Kvitsøy,1945,55,0.0,257.0,0.0,False,lav
1144,Kvitsøy,1945,09,0.0,257.0,0.0,False,lav
1144,Kvitsøy,1945,90,169.0,257.0,65.76,False,lav
1144,Kvitsøy,1945,99,0.0,257.0,0.0,False,lav
1145,Bokn,1945,01,0.0,361.0,0.0,False,lav
1145,Bokn,1945,02,0.0,361.0,0.0,False,lav
1145,Bokn,1945,03,0.0,361.0,0.0,False,lav
1145,Bokn,1945,04,0.0,361.0,0.0,False,lav
1145,Bokn,1945,05,0.0,361.0,0.0,False,lav
1145,Bokn,1945,06,0.0,361.0,0.0,False,lav
