enhet,enhet_navn,aar,parti,stemmer,total_stemmer,prosent
0301,Oslo - Oslove,1945,01,82267.43,198203.77,41.51
0301,Oslo - Oslove,1945,02,0.0,198203.77,0.0
0301,Oslo - Oslove,1945,03,56360.19,198203.77,28.44
0301,Oslo - Oslove,1945,04,23746.76,198203.77,11.98
0301,Oslo - Oslove,1945,05,0.0,198203.77,0.0
0301,Oslo - Oslove,1945,06,0.0,198203.77,0.0
0301,Oslo - Oslove,1945,07,6811.35,198203.77,3.44
0301,Oslo - Oslove,1945,08,0.0,198203.77,0.0
0301,Oslo - Oslove,1945,09,29018.04,198203.77,14.64
0301,Oslo - Oslove,1945,55,0.0,198203.77,0.0
0301,Oslo - Oslove,1945,90,0.0,198203.77,0.0
0301,Oslo - Oslove,1945,99,0.0,198203.77,0.0
0301,Oslo - Oslove,1947,01,91065.0,245194.0,37.14
0301,Oslo - Oslove,1947,02,0.0,245194.0,0.0
0301,Oslo - Oslove,1947,03,91820.0,245194.0,37.45
0301,Oslo - Oslove,1947,04,17730.0,245194.0,7.23
0301,Oslo - Oslove,1947,05,0.0,245194.0,0.0
0301,Oslo - Oslove,1947,06,0.0,245194.0,0.0
0301,Oslo - Oslove,1947,07,11526.0,245194.0,4.7
0301,Oslo - Oslove,1947,08,0.0,245194.0,0.0
0301,Oslo - Oslove,1947,09,33053.0,245194.0,13.48
0301,Oslo - Oslove,1947,55,0.0,245194.0,0.0
0301,Oslo - Oslove,1947,90,0.0,245194.0,0.0
0301,Oslo - Oslove,1947,99,0.0,245194.0,0.0
0301,Oslo - Oslove,1951,01,107249.0,261668.0,40.99
0301,Oslo - Oslove,1951,02,0.0,261668.0,0.0
0301,Oslo - Oslove,1951,03,100649.0,261668.0,38.46
0301,Oslo - Oslove,1951,04,16780.0,261668.0,6.41
0301,Oslo - Oslove,1951,05,0.0,261668.0,0.0
0301,Oslo - Oslove,1951,06,0.0,261668.0,0.0
0301,Oslo - Oslove,1951,07,16523.0,261668.0,6.31
0301,Oslo - Oslove,1951,08,0.0,261668.0,0.0
0301,Oslo - Oslove,1951,09,20467.0,261668.0,7.82
0301,Oslo - Oslove,1951,55,0.0,261668.0,0.0
0301,Oslo - Oslove,1951,90,0.0,261668.0,0.0
0301,Oslo - Oslove,1951,99,0.0,261668.0,0.0
0301,Oslo - Oslove,1955,01,110266.0,263483.0,41.85
0301,Oslo - Oslove,1955,02,0.0,263483.0,0.0
0301,Oslo - Oslove,1955,03,104550.0,263483.0,39.68
0301,Oslo - Oslove,1955,04,15516.0,263483.0,5.89
0301,Oslo - Oslove,1955,05,0.0,263483.0,0.0
0301,Oslo - Oslove,1955,06,0.0,263483.0,0.0
0301,Oslo - Oslove,1955,07,14115.0,263483.0,5.36
0301,Oslo - Oslove,1955,08,0.0,263483.0,0.0
0301,Oslo - Oslove,1955,09,16590.0,263483.0,6.3
0301,Oslo - Oslove,1955,55,0.0,263483.0,0.0
0301,Oslo - Oslove,1955,90,0.0,263483.0,0.0
0301,Oslo - Oslove,1955,99,2446.0,263483.0,0.93
0301,Oslo - Oslove,1959,01,118849.0,266375.0,44.62
0301,Oslo - Oslove,1959,02,0.0,266375.0,0.0
0301,Oslo - Oslove,1959,03,106550.0,266375.0,40.0
0301,Oslo - Oslove,1959,04,13791.0,266375.0,5.18
0301,Oslo - Oslove,1959,05,0.0,266375.0,0.0
0301,Oslo - Oslove,1959,06,0.0,266375.0,0.0
0301,Oslo - Oslove,1959,07,12630.0,266375.0,4.74
0301,Oslo - Oslove,1959,08,0.0,266375.0,0.0
