kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,sum_9parti,prosent_9parti,dekning,estimert
0301,Oslo - Oslove,1987,01,85334,276431,30.87,264254,32.29,1.0,False
0301,Oslo - Oslove,1987,02,50848,276431,18.39,264254,19.24,1.0,False
0301,Oslo - Oslove,1987,03,88797,276431,32.12,264254,33.6,1.0,False
0301,Oslo - Oslove,1987,04,10305,276431,3.73,264254,3.9,1.0,False
0301,Oslo - Oslove,1987,05,1866,276431,0.68,264254,0.71,1.0,False
0301,Oslo - Oslove,1987,06,18883,276431,6.83,264254,7.15,1.0,False
0301,Oslo - Oslove,1987,07,0,276431,0.0,264254,0.0,1.0,False
0301,Oslo - Oslove,1987,08,0,276431,0.0,264254,0.0,1.0,False
0301,Oslo - Oslove,1987,55,8221,276431,2.97,264254,3.11,1.0,False
0301,Oslo - Oslove,1987,99,12177,276431,4.41,264254,,1.0,False
1101,Eigersund,1987,01,1669,5926,28.16,5926,28.16,1.0,False
1101,Eigersund,1987,02,452,5926,7.63,5926,7.63,1.0,False
1101,Eigersund,1987,03,1532,5926,25.85,5926,25.85,1.0,False
1101,Eigersund,1987,04,1142,5926,19.27,5926,19.27,1.0,False
1101,Eigersund,1987,05,540,5926,9.11,5926,9.11,1.0,False
1101,Eigersund,1987,06,220,5926,3.71,5926,3.71,1.0,False
1101,Eigersund,1987,07,371,5926,6.26,5926,6.26,1.0,False
1101,Eigersund,1987,08,0,5926,0.0,5926,0.0,1.0,False
1101,Eigersund,1987,55,0,5926,0.0,5926,0.0,1.0,False
1101,Eigersund,1987,99,0,5926,0.0,5926,,1.0,False
1103,Stavanger,1987,01,15307,52761,29.01,52067,29.4,1.0,False
1103,Stavanger,1987,02,7719,52761,14.63,52067,14.83,1.0,False
1103,Stavanger,1987,03,15346,52761,29.09,52067,29.47,1.0,False
1103,Stavanger,1987,04,5231,52761,9.91,52067,10.05,1.0,False
1103,Stavanger,1987,05,1639,52761,3.11,52067,3.15,1.0,False
1103,Stavanger,1987,06,2677,52761,5.07,52067,5.14,1.0,False
1103,Stavanger,1987,07,3615,52761,6.85,52067,6.94,1.0,False
1103,Stavanger,1987,08,0,52761,0.0,52067,0.0,1.0,False
