kom2024,aar,stemmer_andre,total_stemmer_alle_partier,prosent_andre
0301,1987,20398,276431,7.38
1101,1987,0,5926,0.0
1103,1987,1227,52761,2.33
1106,1987,75,14236,0.53
1108,1987,361,21823,1.65
1111,1987,0,1920,0.0
1112,1987,0,1647,0.0
1114,1987,136,1228,11.07
1119,1987,3500,6402,54.67
1120,1987,439,5527,7.94
1121,1987,355,5938,5.98
1122,1987,0,3436,0.0
1124,1987,1229,7449,16.5
1127,1987,0,3571,0.0
1130,1987,443,4308,10.28
1133,1987,149,1500,9.93
1134,1987,182,2062,8.83
1135,1987,27,3045,0.89
1144,1987,84,287,29.27
1145,1987,0,398,0.0
1146,1987,126,3570,3.53
1149,1987,38,15194,0.25
1151,1987,80,148,54.05
1160,1987,2280,4159,54.82
1505,1987,507,11222,4.52
1506,1987,505,14278,3.54
1508,1987,1540,20486,7.52
1511,1987,0,1848,0.0
1514,1987,600,1772,33.86
1515,1987,641,3795,16.89
1516,1987,0,2801,0.0
1517,1987,0,2119,0.0
1520,1987,318,5139,6.19
1525,1987,371,2357,15.74
1528,1987,0,3340,0.0
1531,1987,886,3380,26.21
1532,1987,22,2908,0.76
1535,1987,438,2785,15.73
1539,1987,0,3934,0.0
1547,1987,0,1372,0.0
1554,1987,0,2611,0.0
1557,1987,0,1523,0.0
1560,1987,0,1833,0.0
1563,1987,23,3844,0.6
1566,1987,0,3135,0.0
1573,1987,352,1445,24.36
1576,1987,0,3191,0.0
1577,1987,408,4088,9.98
1578,1987,0,1499,0.0
1579,1987,0,5678,0.0
1580,1987,1292,4384,29.47
1804,1987,399,16462,2.42
1806,1987,363,10675,3.4
1811,1987,224,1212,18.48
1812,1987,0,1113,0.0
1813,1987,73,3121,2.34
1815,1987,164,887,18.49
1816,1987,187,409,45.72
1818,1987,285,944,30.19
1820,1987,142,3274,4.34
1822,1987,486,1173,41.43
1824,1987,94,6328,1.49
1825,1987,262,918,28.54
1826,1987,319,954,33.44
1827,1987,45,937,4.8
1828,1987,0,994,0.0
1832,1987,149,2649,5.62
1833,1987,403,11236,3.59
1834,1987,55,1231,4.47
1835,1987,0,295,0.0
1836,1987,459,999,45.95
1837,1987,0,3663,0.0
1838,1987,0,1405,0.0
1839,1987,340,883,38.51
1840,1987,447,2526,17.7
1841,1987,145,5939,2.44
1845,1987,146,1445,10.1
1848,1987,0,1609,0.0
1851,1987,0,1562,0.0
1853,1987,0,945,0.0
1856,1987,217,386,56.22
1857,1987,81,415,19.52
1859,1987,383,830,46.14
1860,1987,799,4919,16.24
1865,1987,125,3896,3.21
1866,1987,128,3851,3.32
1867,1987,741,2070,35.8
1868,1987,0,2118,0.0
1870,1987,58,3877,1.5
1871,1987,51,3573,1.43
1874,1987,374,698,53.58
1875,1987,402,2556,15.73
3101,1987,1083,14827,7.3
3103,1987,377,19120,1.97
3105,1987,443,24607,1.8
3107,1987,1028,35522,2.89
3110,1987,0,1560,0.0
3112,1987,0,3166,0.0
3114,1987,0,1884,0.0
3116,1987,0,1581,0.0
3118,1987,30,18188,0.16
3120,1987,56,3974,1.41
3122,1987,0,2075,0.0
3124,1987,0,904,0.0
3201,1987,3811,49793,7.65
3203,1987,1243,34418,3.61
3205,1987,293,28605,1.02
3207,1987,305,21779,1.4
3209,1987,50,9305,0.54
3212,1987,216,6385,3.38
3214,1987,0,5451,0.0
3216,1987,45,5437,0.83
3218,1987,181,6371,2.84
3220,1987,0,3832,0.0
3222,1987,214,13034,1.64
3224,1987,55,7128,0.77
3226,1987,0,7407,0.0
3228,1987,1987,8353,23.79
3230,1987,0,1994,0.0
3232,1987,101,8213,1.23
3234,1987,25,4119,0.61
3236,1987,52,3072,1.69
3238,1987,0,4055,0.0
3240,1987,942,8858,10.63
3242,1987,0,1447,0.0
3301,1987,1508,42588,3.54
3303,1987,212,11715,1.81
3305,1987,88,15115,0.58
3310,1987,0,2346,0.0
3312,1987,46,10246,0.45
3314,1987,0,7711,0.0
3316,1987,0,6470,0.0
3318,1987,240,1456,16.48
3320,1987,515,830,62.05
3322,1987,0,1950,0.0
3324,1987,0,2139,0.0
3326,1987,151,972,15.53
3328,1987,0,2564,0.0
3330,1987,0,2479,0.0
3332,1987,0,2301,0.0
3334,1987,106,1451,7.31
3336,1987,100,907,11.03
3338,1987,824,1705,48.33
3401,1987,58,9139,0.63
3403,1987,243,9429,2.58
3405,1987,0,11918,0.0
3407,1987,110,14403,0.76
3411,1987,92,15936,0.58
3412,1987,372,3815,9.75
3413,1987,67,9759,0.69
3414,1987,0,3055,0.0
3415,1987,316,4345,7.27
3416,1987,0,3496,0.0
3417,1987,0,3416,0.0
3418,1987,778,4480,17.37
3419,1987,446,2509,17.78
3420,1987,94,8732,1.08
3421,1987,0,3895,0.0
3422,1987,713,2706,26.35
3423,1987,0,2014,0.0
3424,1987,0,1630,0.0
3425,1987,483,1133,42.63
3426,1987,0,1030,0.0
3427,1987,0,2907,0.0
3428,1987,0,1430,0.0
3429,1987,130,1306,9.95
3430,1987,0,1143,0.0
3431,1987,357,1794,19.9
3432,1987,0,1383,0.0
3433,1987,144,1513,9.52
3434,1987,295,1418,20.8
3435,1987,247,2202,11.22
3436,1987,0,3171,0.0
3437,1987,0,3184,0.0
3438,1987,304,1938,15.69
