kom2024,aar,stemmeberettigede,avgitte_stemmer,godkjente_stemmer,forkastede_stemmer,blanke_stemmer,rettede_stemmer,forhandsstemmer,forhandsstemmer_prosent,valgdeltakelse_prosent
0301,1987,373872,277787,276431,1356,0,28579,,,74.3
1101,1987,8825,5939,5926,13,0,2450,,,67.3
1103,1987,75759,52877,52761,116,0,9354,,,69.8
1106,1987,20839,14483,14236,247,0,4321,,,69.5
1108,1987,31181,21860,21823,37,0,4583,,,70.11
1111,1987,2595,1920,1920,0,0,838,,,74.0
1112,1987,2176,1654,1647,7,0,984,,,76.0
1114,1987,1609,1237,1228,9,0,793,,,76.9
1119,1987,8845,6430,6402,28,0,3715,,,72.7
1120,1987,8114,5534,5527,7,0,2006,,,68.2
1121,1987,7992,5954,5938,16,0,2259,,,74.5
1122,1987,4555,3448,3436,12,0,1468,,,75.7
1124,1987,10441,7455,7449,6,0,2083,,,71.4
1127,1987,4842,3593,3571,22,0,1591,,,74.2
1130,1987,6409,4313,4308,5,0,1957,,,67.3
1133,1987,2046,1504,1500,4,0,1122,,,73.5
1134,1987,3068,2071,2062,9,0,1270,,,67.5
1135,1987,4137,3057,3045,12,0,1237,,,73.9
1144,1987,384,287,287,0,0,243,,,74.7
1145,1987,535,400,398,2,0,313,,,74.8
1146,1987,5318,3584,3570,14,0,1972,,,67.4
1149,1987,24606,15231,15194,37,0,5139,,,61.9
1151,1987,187,149,148,1,0,126,,,79.7
1160,1987,5788,4176,4159,17,0,2896,,,72.15
1505,1987,17036,11273,11222,51,0,2468,,,66.17
1506,1987,21831,14292,14278,14,0,5165,,,65.47
1508,1987,30842,20598,20486,112,0,6227,,,66.79
1511,1987,2831,1857,1848,9,0,1272,,,65.6
1514,1987,2496,1780,1772,8,0,1222,,,71.3
1515,1987,5909,3823,3795,28,0,2245,,,64.7
1516,1987,3989,2812,2801,11,0,1499,,,70.5
1517,1987,3214,2137,2119,18,0,1082,,,66.5
1520,1987,7522,5160,5139,21,0,2927,,,68.6
1525,1987,3646,2366,2357,9,0,1324,,,64.9
1528,1987,4984,3344,3340,4,0,1856,,,67.1
1531,1987,4921,3405,3380,25,0,1758,,,69.2
1532,1987,4354,2917,2908,9,0,1738,,,67.0
1535,1987,4789,2797,2785,12,0,1429,,,58.4
1539,1987,6000,3954,3934,20,0,1807,,,65.9
