aar,parti_kode,parti_navn,stemmer,prosent
1987,01,Arbeiderpartiet,795876,35.88
1987,02,Fremskrittspartiet,231609,10.44
1987,03,Høyre,516601,23.29
1987,04,Kristelig Folkeparti,173476,7.82
1987,05,Senterpartiet,157317,7.09
1987,06,Sosialistisk Venstreparti,121571,5.48
1987,07,Venstre,87334,3.94
1987,09,Norges Kommunistiske Parti,2200,0.1
1987,11,Rød valgallianse (1973-2007),27209,1.23
1987,12,Det Liberale Folkepartiet,5384,0.24
1987,90,Felleslister,30173,1.36
1987,91,Lokale lister,44468,2.0
1987,92,Andre lister,24763,1.12
1991,01,Arbeiderpartiet,655716,30.15
1991,02,Fremskrittspartiet,141524,6.51
1991,03,Høyre,467483,21.5
1991,04,Kristelig Folkeparti,169763,7.81
1991,05,Senterpartiet,250367,11.51
1991,06,Sosialistisk Venstreparti,251333,11.56
1991,07,Venstre,80587,3.71
1991,08,Miljøpartiet de Grønne,4821,0.22
1991,09,Norges Kommunistiske Parti,994,0.05
1991,10,Pensjonistpartiet,30749,1.41
1991,11,Rød valgallianse (1973-2007),32841,1.51
1991,13,Fedrelandspartiet,1600,0.07
1991,14,Stopp Innvandringen,2917,0.13
1991,90,Felleslister,9922,0.46
1991,91,Lokale lister,59788,2.75
1991,92,Andre lister,14130,0.65
1995,01,Arbeiderpartiet,644573,30.53
1995,02,Fremskrittspartiet,221493,10.49
1995,03,Høyre,427242,20.24
1995,04,Kristelig Folkeparti,173296,8.21
1995,05,Senterpartiet,244326,11.57
1995,06,Sosialistisk Venstreparti,126127,5.97
1995,07,Venstre,103928,4.92
1995,08,Miljøpartiet de Grønne,5733,0.27
1995,09,Norges Kommunistiske Parti,1000,0.05
1995,10,Pensjonistpartiet,19939,0.94
1995,11,Rød valgallianse (1973-2007),32441,1.54
1995,13,Fedrelandspartiet,1360,0.06
1995,14,Stopp Innvandringen,628,0.03
1995,90,Felleslister,9882,0.47
1995,91,Lokale lister,91495,4.33
1995,92,Andre lister,7558,0.36
1999,01,Arbeiderpartiet,592281,28.65
1999,02,Fremskrittspartiet,249753,12.08
1999,03,Høyre,442284,21.39
1999,04,Kristelig Folkeparti,193265,9.35
1999,05,Senterpartiet,171080,8.28
1999,06,Sosialistisk Venstreparti,162054,7.84
1999,07,Venstre,90009,4.35
1999,08,Miljøpartiet de Grønne,5201,0.25
1999,09,Norges Kommunistiske Parti,1010,0.05
1999,10,Pensjonistpartiet,18419,0.89
1999,11,Rød valgallianse (1973-2007),40788,1.97
1999,13,Fedrelandspartiet,227,0.01
1999,20,Naturlovpartiet,702,0.03
1999,21,Samfunnspartiet,137,0.01
1999,22,Samlingspartiet (Ny Fremtid),622,0.03
1999,26,Hvit Valgallianse,260,0.01
1999,27,Tverrpolitisk kyst og distriktsparti,163,0.01
1999,90,Felleslister,14413,0.7
1999,91,Lokale lister,76957,3.72
1999,92,Andre lister,7792,0.38
2003,01,Arbeiderpartiet,563583,27.45
2003,02,Fremskrittspartiet,337595,16.45
2003,03,Høyre,372427,18.14
2003,04,Kristelig Folkeparti,131605,6.41
2003,05,Senterpartiet,162557,7.92
2003,06,Sosialistisk Venstreparti,254269,12.39
2003,07,Venstre,79002,3.85
2003,08,Miljøpartiet de Grønne,3529,0.17
2003,09,Norges Kommunistiske Parti,1132,0.06
2003,10,Pensjonistpartiet,26855,1.31
2003,11,Rød valgallianse (1973-2007),32165,1.57
2003,12,Det Liberale Folkepartiet,113,0.01
2003,33,Samefolkets liste,643,0.03
2003,44,Kystpartiet,4734,0.23
2003,48,Kristent Samlingsparti,493,0.02
2003,90,Felleslister,11858,0.58
2003,91,Lokale lister,62025,3.02
2003,92,Andre lister,8219,0.4
2007,01,Arbeiderpartiet,655096,29.65
2007,02,Fremskrittspartiet,387487,17.54
2007,03,Høyre,425700,19.27
2007,04,Kristelig Folkeparti,141027,6.38
2007,05,Senterpartiet,175145,7.93
2007,06,Sosialistisk Venstreparti,137041,6.2
2007,07,Venstre,129657,5.87
2007,08,Miljøpartiet de Grønne,6963,0.32
2007,09,Norges Kommunistiske Parti,526,0.02
2007,10,Pensjonistpartiet,20501,0.93
2007,11,Rød valgallianse (1973-2007),41340,1.87
2007,12,Det Liberale Folkepartiet,127,0.01
2007,90,Felleslister,10616,0.48
2007,91,Lokale lister,64977,2.94
2007,92,Andre lister,13004,0.59
2011,01,Arbeiderpartiet,767641,31.65
2011,02,Fremskrittspartiet,275559,11.36
2011,03,Høyre,678732,27.99
2011,04,Kristelig Folkeparti,135157,5.57
2011,05,Senterpartiet,163382,6.74
2011,06,Sosialistisk Venstreparti,98667,4.07
2011,07,Venstre,152055,6.27
2011,08,Miljøpartiet de Grønne,21863,0.9
2011,09,Norges Kommunistiske Parti,523,0.02
2011,10,Pensjonistpartiet,20002,0.82
2011,55,Rødt,37363,1.54
2011,90,Felleslister,9892,0.41
2011,91,Lokale lister,50647,2.09
2011,92,Andre lister,13806,0.57
2015,01,Arbeiderpartiet,789170,32.99
2015,02,Fremskrittspartiet,226640,9.47
2015,03,Høyre,554399,23.17
2015,04,Kristelig Folkeparti,130268,5.45
2015,05,Senterpartiet,203188,8.49
2015,06,Sosialistisk Venstreparti,98625,4.12
2015,07,Venstre,131836,5.51
2015,08,Miljøpartiet de Grønne,101612,4.25
2015,09,Norges Kommunistiske Parti,360,0.02
2015,10,Pensjonistpartiet,18569,0.78
2015,55,Rødt,47102,1.97
2015,90,Felleslister,13028,0.54
2015,91,Lokale lister,61238,2.56
2015,92,Andre lister,16346,0.68
2019,01,Arbeiderpartiet,664695,24.78
2019,02,Fremskrittspartiet,220713,8.23
2019,03,Høyre,538765,20.08
2019,04,Kristelig Folkeparti,107185,4.0
2019,05,Senterpartiet,386349,14.4
2019,06,Sosialistisk Venstreparti,163653,6.1
2019,07,Venstre,104316,3.89
2019,08,Miljøpartiet de Grønne,182548,6.8
2019,10,Pensjonistpartiet,30350,1.13
2019,55,Rødt,101316,3.78
2019,90,Felleslister,7496,0.28
2019,91,Lokale lister,77104,2.87
2019,92,Andre lister,98115,3.66
2023,01,Arbeiderpartiet,576082,21.59
2023,02,Fremskrittspartiet,302722,11.35
2023,03,Høyre,689952,25.86
2023,04,Kristelig Folkeparti,106266,3.98
2023,05,Senterpartiet,217608,8.16
2023,06,Sosialistisk Venstreparti,183573,6.88
2023,07,Venstre,134074,5.02
2023,08,Miljøpartiet de Grønne,112131,4.2
2023,10,Pensjonistpartiet,39804,1.49
2023,55,Rødt,92900,3.48
2023,90,Felleslister,6888,0.26
2023,91,Lokale lister,76869,2.88
2023,92,Andre lister,129448,4.85
