kom2024,aar,parti,stemmer,total_stemmer_alle_partier,prosent_alle
0301,1987,01,85334,276431,30.87
0301,1987,02,50848,276431,18.39
0301,1987,03,88797,276431,32.12
0301,1987,04,10305,276431,3.73
0301,1987,05,1866,276431,0.68
0301,1987,06,18883,276431,6.83
0301,1987,07,0,276431,0.0
0301,1987,08,0,276431,0.0
0301,1987,55,0,276431,0.0
0301,1991,01,82102,271073,30.29
0301,1991,02,23792,271073,8.78
0301,1991,03,85193,271073,31.43
0301,1991,04,9594,271073,3.54
0301,1991,05,5922,271073,2.18
0301,1991,06,39087,271073,14.42
0301,1991,07,4167,271073,1.54
0301,1991,08,1553,271073,0.57
0301,1991,55,0,271073,0.0
0301,1995,01,84565,273225,30.95
0301,1995,02,55175,273225,20.19
0301,1995,03,70775,273225,25.9
0301,1995,04,10022,273225,3.67
0301,1995,05,4045,273225,1.48
0301,1995,06,20576,273225,7.53
0301,1995,07,9991,273225,3.66
0301,1995,08,1353,273225,0.5
0301,1995,55,0,273225,0.0
0301,1999,01,69139,259142,26.68
0301,1999,02,42909,259142,16.56
0301,1999,03,74213,259142,28.64
0301,1999,04,13474,259142,5.2
0301,1999,05,1467,259142,0.57
0301,1999,06,33237,259142,12.83
0301,1999,07,8232,259142,3.18
0301,1999,08,1326,259142,0.51
0301,1999,55,0,259142,0.0
0301,2003,01,65282,259181,25.19
0301,2003,02,42693,259181,16.47
0301,2003,03,64792,259181,25.0
0301,2003,04,7661,259181,2.96
0301,2003,05,0,259181,0.0
0301,2003,06,52627,259181,20.31
0301,2003,07,10792,259181,4.16
0301,2003,08,0,259181,0.0
0301,2003,55,0,259181,0.0
0301,2007,01,81265,271835,29.89
0301,2007,02,38873,271835,14.3
0301,2007,03,68475,271835,25.19
0301,2007,04,8368,271835,3.08
0301,2007,05,2189,271835,0.81
0301,2007,06,28701,271835,10.56
0301,2007,07,23703,271835,8.72
0301,2007,08,1687,271835,0.62
0301,2007,55,0,271835,0.0
0301,2011,01,102707,310312,33.1
0301,2011,02,21852,310312,7.04
0301,2011,03,110776,310312,35.7
0301,2011,04,7571,310312,2.44
0301,2011,05,1591,310312,0.51
0301,2011,06,19477,310312,6.28
0301,2011,07,25351,310312,8.17
0301,2011,08,7653,310312,2.47
0301,2011,55,11257,310312,3.63
0301,2015,01,102431,320423,31.97
0301,2015,02,19311,320423,6.03
0301,2015,03,101882,320423,31.8
0301,2015,04,7827,320423,2.44
0301,2015,05,1926,320423,0.6
0301,2015,06,17445,320423,5.44
0301,2015,07,21986,320423,6.86
0301,2015,08,26096,320423,8.14
0301,2015,55,16174,320423,5.05
0301,2019,01,73122,365467,20.01
0301,2019,02,19272,365467,5.27
0301,2019,03,92833,365467,25.4
0301,2019,04,6346,365467,1.74
0301,2019,05,7980,365467,2.18
0301,2019,06,33258,365467,9.1
0301,2019,07,21110,365467,5.78
0301,2019,08,55772,365467,15.26
0301,2019,55,26302,365467,7.2
0301,2023,01,66804,362385,18.43
0301,2023,02,21976,362385,6.06
0301,2023,03,117998,362385,32.56
0301,2023,04,6220,362385,1.72
0301,2023,05,2989,362385,0.82
0301,2023,06,36612,362385,10.1
0301,2023,07,32954,362385,9.09
0301,2023,08,36975,362385,10.2
0301,2023,55,20929,362385,5.78
1101,1987,01,1669,5926,28.16
1101,1987,02,452,5926,7.63
1101,1987,03,1532,5926,25.85
1101,1987,04,1142,5926,19.27
1101,1987,05,540,5926,9.11
1101,1987,06,220,5926,3.71
1101,1987,07,371,5926,6.26
1101,1987,08,0,5926,0.0
1101,1987,55,0,5926,0.0
1101,1991,01,2022,6064,33.34
1101,1991,02,344,6064,5.67
1101,1991,03,1160,6064,19.13
1101,1991,04,987,6064,16.28
1101,1991,05,827,6064,13.64
1101,1991,06,335,6064,5.52
1101,1991,07,389,6064,6.41
1101,1991,08,0,6064,0.0
1101,1991,55,0,6064,0.0
1101,1995,01,2151,6070,35.44
1101,1995,02,453,6070,7.46
1101,1995,03,1041,6070,17.15
1101,1995,04,1236,6070,20.36
1101,1995,05,680,6070,11.2
1101,1995,06,0,6070,0.0
1101,1995,07,509,6070,8.39
1101,1995,08,0,6070,0.0
1101,1995,55,0,6070,0.0
1101,1999,01,2171,5787,37.52
1101,1999,02,539,5787,9.31
1101,1999,03,1163,5787,20.1
1101,1999,04,1015,5787,17.54
1101,1999,05,437,5787,7.55
1101,1999,06,0,5787,0.0
1101,1999,07,462,5787,7.98
1101,1999,08,0,5787,0.0
1101,1999,55,0,5787,0.0
1101,2003,01,1433,5953,24.07
1101,2003,02,1051,5953,17.65
1101,2003,03,1699,5953,28.54
1101,2003,04,637,5953,10.7
1101,2003,05,492,5953,8.26
1101,2003,06,209,5953,3.51
1101,2003,07,432,5953,7.26
1101,2003,08,0,5953,0.0
1101,2003,55,0,5953,0.0
1101,2007,01,1580,6115,25.84
1101,2007,02,1031,6115,16.86
1101,2007,03,1697,6115,27.75
1101,2007,04,899,6115,14.7
1101,2007,05,368,6115,6.02
1101,2007,06,131,6115,2.14
1101,2007,07,409,6115,6.69
1101,2007,08,0,6115,0.0
1101,2007,55,0,6115,0.0
1101,2011,01,1631,6483,25.16
1101,2011,02,902,6483,13.91
1101,2011,03,1693,6483,26.11
1101,2011,04,1257,6483,19.39
1101,2011,05,421,6483,6.49
1101,2011,06,164,6483,2.53
1101,2011,07,415,6483,6.4
1101,2011,08,0,6483,0.0
1101,2011,55,0,6483,0.0
1101,2015,01,2022,6342,31.88
1101,2015,02,1020,6342,16.08
1101,2015,03,1269,6342,20.01
1101,2015,04,957,6342,15.09
1101,2015,05,521,6342,8.22
1101,2015,06,285,6342,4.49
1101,2015,07,268,6342,4.23
1101,2015,08,0,6342,0.0
1101,2015,55,0,6342,0.0
1101,2019,01,2481,7521,32.99
1101,2019,02,1554,7521,20.66
1101,2019,03,1205,7521,16.02
1101,2019,04,650,7521,8.64
1101,2019,05,886,7521,11.78
1101,2019,06,397,7521,5.28
1101,2019,07,181,7521,2.41
1101,2019,08,167,7521,2.22
1101,2019,55,0,7521,0.0
1101,2023,01,1897,7626,24.88
1101,2023,02,1613,7626,21.15
1101,2023,03,1607,7626,21.07
1101,2023,04,702,7626,9.21
1101,2023,05,387,7626,5.07
1101,2023,06,332,7626,4.35
1101,2023,07,345,7626,4.52
1101,2023,08,87,7626,1.14
1101,2023,55,124,7626,1.63
1103,1987,01,15307,52761,29.01
1103,1987,02,7719,52761,14.63
1103,1987,03,15346,52761,29.09
1103,1987,04,5231,52761,9.91
1103,1987,05,1639,52761,3.11
1103,1987,06,2677,52761,5.07
1103,1987,07,3615,52761,6.85
1103,1987,08,0,52761,0.0
1103,1987,55,0,52761,0.0
1103,1991,01,12938,53174,24.33
1103,1991,02,4554,53174,8.56
1103,1991,03,12797,53174,24.07
1103,1991,04,5051,53174,9.5
1103,1991,05,3685,53174,6.93
1103,1991,06,5815,53174,10.94
1103,1991,07,1976,53174,3.72
1103,1991,08,0,53174,0.0
1103,1991,55,0,53174,0.0
1103,1995,01,12866,51158,25.15
1103,1995,02,8397,51158,16.41
1103,1995,03,11644,51158,22.76
1103,1995,04,5621,51158,10.99
1103,1995,05,2633,51158,5.15
1103,1995,06,2642,51158,5.16
1103,1995,07,2957,51158,5.78
1103,1995,08,255,51158,0.5
1103,1995,55,0,51158,0.0
1103,1999,01,11547,52657,21.93
1103,1999,02,9049,52657,17.18
1103,1999,03,15161,52657,28.79
1103,1999,04,6162,52657,11.7
1103,1999,05,1344,52657,2.55
1103,1999,06,2932,52657,5.57
1103,1999,07,2264,52657,4.3
1103,1999,08,0,52657,0.0
1103,1999,55,0,52657,0.0
1103,2003,01,10431,53172,19.62
1103,2003,02,11220,53172,21.1
1103,2003,03,13983,53172,26.3
1103,2003,04,4238,53172,7.97
1103,2003,05,1531,53172,2.88
1103,2003,06,5997,53172,11.28
1103,2003,07,2414,53172,4.54
1103,2003,08,140,53172,0.26
1103,2003,55,0,53172,0.0
1103,2007,01,11939,56524,21.12
1103,2007,02,8841,56524,15.64
1103,2007,03,19036,56524,33.68
1103,2007,04,4884,56524,8.64
1103,2007,05,1634,56524,2.89
1103,2007,06,3065,56524,5.42
1103,2007,07,5010,56524,8.86
1103,2007,08,0,56524,0.0
1103,2007,55,0,56524,0.0
1103,2011,01,18097,64553,28.03
1103,2011,02,8399,64553,13.01
1103,2011,03,21665,64553,33.56
1103,2011,04,4232,64553,6.56
1103,2011,05,1894,64553,2.93
1103,2011,06,2539,64553,3.93
1103,2011,07,4838,64553,7.49
1103,2011,08,765,64553,1.19
1103,2011,55,840,64553,1.3
1103,2015,01,16828,63402,26.54
1103,2015,02,6869,63402,10.83
1103,2015,03,18202,63402,28.71
1103,2015,04,4276,63402,6.74
1103,2015,05,1914,63402,3.02
1103,2015,06,2708,63402,4.27
1103,2015,07,5280,63402,8.33
1103,2015,08,3113,63402,4.91
1103,2015,55,779,63402,1.23
1103,2019,01,18190,71552,25.42
1103,2019,02,6345,71552,8.87
1103,2019,03,16504,71552,23.07
1103,2019,04,3161,71552,4.42
1103,2019,05,3426,71552,4.79
1103,2019,06,3402,71552,4.75
1103,2019,07,3341,71552,4.67
1103,2019,08,4643,71552,6.49
1103,2019,55,3922,71552,5.48
1103,2023,01,23897,74488,32.08
1103,2023,02,6523,74488,8.76
1103,2023,03,22598,74488,30.34
1103,2023,04,3422,74488,4.59
1103,2023,05,1582,74488,2.12
1103,2023,06,3447,74488,4.63
1103,2023,07,2739,74488,3.68
1103,2023,08,2161,74488,2.9
1103,2023,55,2854,74488,3.83
1106,1987,01,4431,14236,31.13
1106,1987,02,2291,14236,16.09
1106,1987,03,3517,14236,24.7
1106,1987,04,2047,14236,14.38
1106,1987,05,191,14236,1.34
1106,1987,06,494,14236,3.47
1106,1987,07,1190,14236,8.36
1106,1987,08,0,14236,0.0
1106,1987,55,0,14236,0.0
1106,1991,01,2961,14045,21.08
1106,1991,02,1394,14045,9.93
1106,1991,03,2451,14045,17.45
1106,1991,04,2204,14045,15.69
1106,1991,05,552,14045,3.93
1106,1991,06,1108,14045,7.89
1106,1991,07,849,14045,6.04
1106,1991,08,0,14045,0.0
1106,1991,55,0,14045,0.0
1106,1995,01,3229,13717,23.54
1106,1995,02,2274,13717,16.58
