;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre
April '26;22,4 (42);17,8 (33);28,2 (52);5,2 (10);5,3 (10);3,5 (2);3,8 (3);3,8 (3);7,4 (14);2,8 (0)
Mars '26;22,6 (42);18,0 (33);27,4 (50);4,7 (8);4,8 (9);3,8 (3);3,5 (2);4,2 (8);7,6 (14);3,3 (0)
Februar '26;24,4 (46);17,5 (33);26,3 (49);4,6 (9);5,6 (10);3,7 (3);3,5 (2);3,8 (3);7,2 (14);3,4 (0)
Januar '26;24,4 (45);17,0 (31);26,9 (49);5,3 (10);5,3 (10);4,0 (3);3,2 (2);4,3 (8);6,4 (11);3,3 (0)
Desember '25;23,5 (44);17,5 (32);26,6 (49);5,1 (9);5,8 (11);3,5 (2);3,7 (2);4,5 (8);6,7 (12);3,0 (0)
November '25;23,6 (44);17,3 (32);25,8 (46);5,4 (9);5,9 (10);4,1 (7);3,4 (2);4,3 (7);6,7 (12);3,5 (0)
Oktober '25;27,8 (52);15,3 (26);24,0 (45);5,8 (10);5,2 (9);4,2 (7);3,8 (2);4,5 (8);6,2 (10);3,7 (0)
September '25;27,1 (51);14,4 (26);21,0 (39);6,0 (10);5,9 (9);4,7 (7);4,3 (7);6,2 (10);6,0 (10);4,4 (0)
August '25;27,3 (51);15,3 (28);21,2 (40);6,3 (10);6,2 (10);4,6 (7);4,2 (7);4,3 (7);6,1 (9);4,5 (0)
Juli '25;27,7 (51);14,8 (28);21,5 (40);8,2 (15);6,3 (12);3,2 (1);4,7 (9);3,5 (2);5,9 (11);4,1 (0)
