kontroll,alvor,objekt,detalj
navnebror,KRITISK,1144 (Kvitsøy) 2015,total 35 mot 54 (2011) og 65 (2019)
navnebror,KRITISK,1811 (Bindal) 1999,"total 1,153 mot 694 (1995) og 649 (2003)"
navnebror,KRITISK,1812 (Sømna) 2007,total 471 mot 787 (2003) og 715 (2011)
navnebror,KRITISK,1857 (Værøy) 2019,total 237 mot 147 (2015) og 49 (2023)
navnebror,KRITISK,1874 (Moskenes) 1999,total 171 mot 290 (1995) og 390 (2003)
navnebror,KRITISK,1874 (Moskenes) 2003,total 390 mot 171 (1999) og 243 (2007)
navnebror,KRITISK,1874 (Moskenes) 2011,total 128 mot 243 (2007) og 263 (2015)
navnebror,KRITISK,1874 (Moskenes) 2015,total 263 mot 128 (2011) og 75 (2019)
navnebror,KRITISK,3124 (Aremark) 1991,total 410 mot 904 (1987) og 846 (1995)
navnebror,KRITISK,3320 (Flå) 2019,total 106 mot 198 (2015) og 303 (2023)
navnebror,KRITISK,4005 (Notodden) 1991,"total 2,716 mot 6,890 (1987) og 4,761 (1995)"
navnebror,KRITISK,4644 (Luster) 1999,"total 1,588 mot 2,585 (1995) og 2,488 (2003)"
navnebror,KRITISK,5052 (Leka) 2003,total 93 mot 210 (1999) og 322 (2007)
navnebror,KRITISK,5636 (Unjárga - Nesseby) 2019,total 487 mot 313 (2015) og 285 (2023)
befolkning,AVVIK,1576 1987,berettigede/befolkning = 1.15
befolkning,AVVIK,3403 1987,berettigede/befolkning = 0.52
befolkning,AVVIK,3454 1987,berettigede/befolkning = 4.75
befolkning,AVVIK,3903 1987,berettigede/befolkning = 1.04
befolkning,AVVIK,4225 1987,berettigede/befolkning = 0.56
befolkning,AVVIK,4640 1987,berettigede/befolkning = 0.54
befolkning,AVVIK,4642 1987,berettigede/befolkning = 1.72
befolkning,AVVIK,4646 1987,berettigede/befolkning = 1.39
befolkning,AVVIK,4647 1987,berettigede/befolkning = 0.60
befolkning,AVVIK,4650 1987,berettigede/befolkning = 0.89
befolkning,AVVIK,5020 1987,berettigede/befolkning = 1.49
befolkning,AVVIK,5053 1987,berettigede/befolkning = 1.13
befolkning,AVVIK,5054 1987,berettigede/befolkning = 0.49
befolkning,AVVIK,5058 1987,berettigede/befolkning = 0.57
befolkning,AVVIK,1576 1991,berettigede/befolkning = 1.21
befolkning,AVVIK,3903 1991,berettigede/befolkning = 1.06
befolkning,AVVIK,4225 1991,berettigede/befolkning = 0.58
befolkning,AVVIK,4639 1991,berettigede/befolkning = 0.96
befolkning,AVVIK,4640 1991,berettigede/befolkning = 0.55
befolkning,AVVIK,4642 1991,berettigede/befolkning = 1.55
befolkning,AVVIK,4646 1991,berettigede/befolkning = 1.55
befolkning,AVVIK,4647 1991,berettigede/befolkning = 0.61
befolkning,AVVIK,5020 1991,berettigede/befolkning = 1.48
befolkning,AVVIK,5053 1991,berettigede/befolkning = 1.13
befolkning,AVVIK,5054 1991,berettigede/befolkning = 0.50
befolkning,AVVIK,5058 1991,berettigede/befolkning = 0.58
befolkning,AVVIK,1576 1995,berettigede/befolkning = 1.19
befolkning,AVVIK,3903 1995,berettigede/befolkning = 1.07
befolkning,AVVIK,4225 1995,berettigede/befolkning = 0.59
befolkning,AVVIK,4640 1995,berettigede/befolkning = 0.59
befolkning,AVVIK,4642 1995,berettigede/befolkning = 1.53
befolkning,AVVIK,4646 1995,berettigede/befolkning = 1.51
befolkning,AVVIK,4647 1995,berettigede/befolkning = 0.62
befolkning,AVVIK,4650 1995,berettigede/befolkning = 0.91
befolkning,AVVIK,5020 1995,berettigede/befolkning = 1.53
befolkning,AVVIK,5053 1995,berettigede/befolkning = 1.15
befolkning,AVVIK,5054 1995,berettigede/befolkning = 0.50
befolkning,AVVIK,5058 1995,berettigede/befolkning = 0.58
befolkning,AVVIK,1576 1999,berettigede/befolkning = 1.15
befolkning,AVVIK,3903 1999,berettigede/befolkning = 1.08
befolkning,AVVIK,4225 1999,berettigede/befolkning = 0.61
befolkning,AVVIK,4640 1999,berettigede/befolkning = 0.59
befolkning,AVVIK,4642 1999,berettigede/befolkning = 1.52
befolkning,AVVIK,4646 1999,berettigede/befolkning = 1.46
befolkning,AVVIK,4647 1999,berettigede/befolkning = 0.62
befolkning,AVVIK,4650 1999,berettigede/befolkning = 0.92
befolkning,AVVIK,5020 1999,berettigede/befolkning = 1.52
befolkning,AVVIK,5053 1999,berettigede/befolkning = 1.16
befolkning,AVVIK,5054 1999,berettigede/befolkning = 0.50
befolkning,AVVIK,5058 1999,berettigede/befolkning = 0.58
befolkning,AVVIK,1576 2003,berettigede/befolkning = 1.16
befolkning,AVVIK,3903 2003,berettigede/befolkning = 1.07
befolkning,AVVIK,4225 2003,berettigede/befolkning = 0.61
befolkning,AVVIK,4640 2003,berettigede/befolkning = 0.59
befolkning,AVVIK,4642 2003,berettigede/befolkning = 1.53
befolkning,AVVIK,4646 2003,berettigede/befolkning = 1.45
befolkning,AVVIK,4650 2003,berettigede/befolkning = 0.91
befolkning,AVVIK,5020 2003,berettigede/befolkning = 1.58
befolkning,AVVIK,5053 2003,berettigede/befolkning = 1.14
befolkning,AVVIK,5054 2003,berettigede/befolkning = 0.49
befolkning,AVVIK,5058 2003,berettigede/befolkning = 0.58
befolkning,AVVIK,1576 2007,berettigede/befolkning = 1.18
befolkning,AVVIK,3903 2007,berettigede/befolkning = 1.08
