kom2024,sent_klasse,sent_indeks,sent_navn,sent_gammel_0_3,gammel_konflikt
0301,1,1000,Sentralitet: 1 (925-1000) - høy,3,False
1101,4,747,Sentralitet: 4 (670-774),3,False
1103,2,890,Sentralitet: 2 (870-924),3,False
1106,3,836,Sentralitet: 3 (775-869),2,False
1108,2,882,Sentralitet: 2 (870-924),3,False
1111,5,652,Sentralitet: 5 (565-669),3,False
1112,5,625,Sentralitet: 5 (565-669),1,False
1114,4,687,Sentralitet: 4 (670-774),3,False
1119,4,773,Sentralitet: 4 (670-774),3,False
1120,3,851,Sentralitet: 3 (775-869),3,False
1121,3,836,Sentralitet: 3 (775-869),3,False
1122,3,792,Sentralitet: 3 (775-869),3,False
1124,2,878,Sentralitet: 2 (870-924),3,False
1127,3,867,Sentralitet: 3 (775-869),3,False
1130,3,787,Sentralitet: 3 (775-869),3,False
1133,5,593,Sentralitet: 5 (565-669),0,False
1134,6,518,Sentralitet: 6 (0-564) - lav,0,False
1135,5,604,Sentralitet: 5 (565-669),0,False
1144,6,525,Sentralitet: 6 (0-564) - lav,3,False
1145,5,624,Sentralitet: 5 (565-669),3,False
1146,4,724,Sentralitet: 4 (670-774),2,False
1149,4,758,Sentralitet: 4 (670-774),2,False
1151,6,293,Sentralitet: 6 (0-564) - lav,0,False
1160,5,643,Sentralitet: 5 (565-669),2,False
1505,4,749,Sentralitet: 4 (670-774),2,False
1506,4,740,Sentralitet: 4 (670-774),2,False
1508,3,800,Sentralitet: 3 (775-869),2,True
1511,6,535,Sentralitet: 6 (0-564) - lav,0,False
1514,6,560,Sentralitet: 6 (0-564) - lav,1,False
1515,5,664,Sentralitet: 5 (565-669),1,False
1516,4,719,Sentralitet: 4 (670-774),2,False
1517,4,683,Sentralitet: 4 (670-774),2,False
1520,4,718,Sentralitet: 4 (670-774),1,False
1525,5,628,Sentralitet: 5 (565-669),2,False
1528,4,695,Sentralitet: 4 (670-774),2,False
1531,4,737,Sentralitet: 4 (670-774),2,False
