kom2024,stemmerett_2021,stemmerett_2025
0301,485699,516704
1101,10716,11014
1103,98750,104080
1106,26775,27641
1108,53545,57134
1111,2409,2444
1112,2330,2351
1114,1939,2017
1119,12631,13320
1120,13559,14554
1121,13534,14260
1122,8056,8296
1124,18205,19479
1127,8024,8262
1130,9263,9760
1133,1751,1769
1134,2727,2724
1135,3407,3366
1144,395,432
1145,650,673
1146,7923,8264
1149,30743,31742
1151,147,165
1160,6030,6213
1505,18120,18402
1506,23609,24203
1508,47114,42377
1511,2463,2330
1514,1628,1592
1515,6290,6396
1516,5969,6211
1517,3503,3571
1520,7991,8115
1525,3082,2953
1528,5500,5540
1531,6397,6671
1532,5834,6115
1535,5111,5201
1539,5171,5210
1547,2459,2568
1554,4220,4303
1557,1957,1958
1560,2258,2266
1563,5442,5354
1566,4602,4539
1573,1568,1556
1576,2602,2517
1577,7964,8096
1578,1844,1816
1579,9705,9974
1580,0,6601
1804,39440,40075
1806,16261,16173
1811,1105,1054
1812,1545,1534
1813,5946,5949
1815,947,946
1816,379,365
1818,1250,1264
1820,5578,5498
1822,1652,1648
1824,10342,10309
1825,1102,1084
1826,1008,980
1827,1071,1069
1828,1232,1215
1832,3420,3417
1833,20209,20089
1834,1420,1404
1835,291,267
1836,912,883
1837,4740,4649
1838,1469,1475
1839,825,806
1840,3559,3560
1841,7511,7540
1845,1451,1430
1848,1948,1958
1851,1551,1538
1853,1031,1101
1856,389,376
1857,471,444
1859,977,900
1860,8476,8494
1865,6921,6919
1866,6130,6186
1867,2054,2030
1868,3239,3201
1870,7875,7846
1871,3559,3413
1874,715,657
1875,2080,2041
3101,23812,24622
3103,36682,38983
3105,42417,44398
3107,62284,65303
3110,3857,3889
3112,5480,5697
3114,3935,4184
3116,2786,2913
3118,32680,34262
3120,6106,6391
3122,2851,2857
3124,1065,1068
3201,86661,91524
3203,64996,69673
3205,60306,66229
3207,42202,45629
3209,26700,29813
3212,13791,14701
3214,11822,12126
3216,12813,13915
3218,13553,15066
3220,7589,7902
3222,29860,34518
3224,12739,13877
3226,12683,13041
3228,16723,17521
3230,4803,5202
3232,16942,17984
3234,6698,6955
3236,5111,5167
3238,9660,10737
3240,18487,19706
3242,2126,2179
3301,71670,75410
3303,20177,21373
3305,22814,23612
3310,4709,4940
3312,18528,19440
3314,14084,14854
3316,10563,10848
3318,1577,1574
3320,777,789
3322,2491,2452
3324,3355,3445
3326,1563,1635
3328,3445,3527
3330,3191,3133
3332,2642,2682
3334,2010,2000
3336,1087,1074
3338,1866,1843
3401,13937,14055
3403,24245,25575
3405,21565,21978
3407,22865,23544
3411,26261,26979
3412,5857,6006
3413,15812,16155
3414,4075,4079
3415,6198,6330
3416,4906,4888
3417,3702,3653
3418,5809,5783
3419,2871,2784
3420,16199,16697
3421,4987,4893
3422,3341,3255
3423,1819,1735
3424,1420,1403
3425,1024,1000
3426,1144,1099
3427,4134,4145
3428,1787,1822
3429,1243,1220
3430,1468,1490
3431,1995,1960
3432,1498,1511
3433,1745,1740
3434,1773,1749
3435,2809,2772
3436,4446,4314
3437,4427,4318
3438,2277,2315
3439,3329,3230
3440,3729,3715
3441,4746,4825
3442,11350,11361
3443,10498,10590
3446,10500,10587
3447,4366,4281
3448,5130,5112
3449,2298,2243
3450,985,994
3451,4883,4865
3452,1636,1663
3453,2420,2455
3454,1117,1127
3901,20477,21153
3903,18289,19586
3905,42113,44529
3907,46321,48500
3909,35555,36828
3911,20218,20858
4001,27661,28334
4003,41435,42779
4005,9762,9978
4010,1784,1823
4012,10774,11038
4014,8008,8032
4016,3076,3020
4018,4896,4875
4020,7511,7974
4022,2177,2180
4024,1198,1204
4026,4330,4280
4028,1916,1862
4030,1044,1063
4032,915,928
4034,1659,1675
4036,2808,2838
4201,5235,5172
4202,16977,18201
4203,33386,34818
4204,81548,86614
4205,16798,17492
4206,7104,7319
4207,6470,6707
4211,1865,1919
4212,1562,1614
4213,4609,4885
4214,4407,4609
4215,8183,8647
4216,3715,3846
4217,1321,1317
4218,926,949
4219,2645,2769
4220,899,892
4221,915,925
4222,661,692
4223,10735,11371
4224,678,660
4225,7260,7552
4226,1242,1295
4227,4374,4456
4228,1259,1352
4601,206970,215635
4602,12262,12309
4611,2908,2931
4612,4023,4120
4613,8544,8878
4614,13525,13784
4615,2269,2371
4616,2156,2196
4617,9819,10000
4618,8246,8024
4619,670,679
4620,772,779
4621,11734,12028
4622,6223,6273
4623,1871,1837
4624,17446,18671
4625,3530,3644
4626,27196,28750
4627,20642,21684
4628,2895,2877
4629,268,273
4630,5826,5923
4631,21103,21988
4632,2071,2124
4633,402,379
4634,1234,1239
4635,1642,1637
4636,570,577
4637,978,936
4638,3091,2994
4639,1906,1867
4640,8600,8803
4641,1244,1221
4642,1569,1587
4643,3963,3950
4644,3837,3927
4645,2254,2164
4646,1973,1982
4647,15798,16416
4648,2584,2490
4649,6946,7042
4650,4283,4320
4651,4782,4872
5001,152016,160396
5006,18361,18232
5007,11461,11485
5014,3191,3247
5020,723,712
5021,5216,5280
5022,1892,1915
5025,4332,4308
5026,1575,1582
5027,4440,4387
5028,12408,12886
5029,5904,6232
5031,10037,10562
5032,3122,3263
5033,626,607
5034,1822,1808
5035,18095,18774
5036,1952,1967
5037,14902,15422
5038,11532,11746
5041,1579,1553
5042,1021,1003
5043,343,322
5044,646,597
5045,1747,1689
5046,908,918
5047,2745,2747
5049,855,837
5052,433,443
5053,5177,5292
5054,7498,7509
5055,4599,4522
5056,3512,3590
5057,7800,7967
5058,3285,3243
5059,13786,14020
5060,7063,7075
5061,1587,1520
5501,55703,57523
5503,18874,19119
5510,2197,2156
5512,3252,3247
5514,1051,1007
5516,805,788
5518,777,743
5520,3068,2998
5522,1623,1570
5524,5162,5176
5526,2616,2593
5528,881,856
5530,10902,10898
5532,4300,4261
5534,1687,1667
5536,2206,2171
5538,1436,1430
5540,1634,1574
5542,1994,1949
5544,3682,3650
5546,926,905
5601,15071,15624
5603,8091,8142
5605,7446,7422
5607,4308,4295
5610,2052,2004
5612,2138,2144
5614,661,611
5616,642,647
5618,839,741
5620,2242,2178
5622,3117,3127
5624,901,874
5626,685,642
5628,2226,2137
5630,685,625
5632,1371,1303
5634,1434,1372
5636,698,670
