kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,estimert,sikkerhet
0301,Oslo - Oslove,1945,01,92816.63,239349.12,38.78,True,lav
0301,Oslo - Oslove,1945,02,0.0,239349.12,0.0,True,lav
0301,Oslo - Oslove,1945,03,75350.6,239349.12,31.48,True,lav
0301,Oslo - Oslove,1945,04,23534.84,239349.12,9.83,True,lav
0301,Oslo - Oslove,1945,05,269.92,239349.12,0.11,True,lav
0301,Oslo - Oslove,1945,06,0.0,239349.12,0.0,True,lav
0301,Oslo - Oslove,1945,07,10533.74,239349.12,4.4,True,lav
0301,Oslo - Oslove,1945,08,0.0,239349.12,0.0,True,lav
0301,Oslo - Oslove,1945,55,0.0,239349.12,0.0,True,lav
0301,Oslo - Oslove,1945,09,36843.39,239349.12,15.39,True,lav
0301,Oslo - Oslove,1945,90,0.0,239349.12,0.0,True,lav
0301,Oslo - Oslove,1945,99,0.0,239349.12,0.0,True,lav
1101,Eigersund,1945,01,1343.21,3999.06,33.59,True,lav
1101,Eigersund,1945,02,0.0,3999.06,0.0,True,lav
1101,Eigersund,1945,03,531.55,3999.06,13.29,True,lav
1101,Eigersund,1945,04,657.97,3999.06,16.45,True,lav
1101,Eigersund,1945,05,335.8,3999.06,8.4,True,lav
1101,Eigersund,1945,06,0.0,3999.06,0.0,True,lav
1101,Eigersund,1945,07,885.83,3999.06,22.15,True,lav
1101,Eigersund,1945,08,0.0,3999.06,0.0,True,lav
1101,Eigersund,1945,55,0.0,3999.06,0.0,True,lav
1101,Eigersund,1945,09,244.69,3999.06,6.12,True,lav
1101,Eigersund,1945,90,0.0,3999.06,0.0,True,lav
1101,Eigersund,1945,99,0.0,3999.06,0.0,True,lav
1103,Stavanger,1945,01,14175.92,34674.48,40.88,True,lav
1103,Stavanger,1945,02,0.0,34674.48,0.0,True,lav
1103,Stavanger,1945,03,5967.94,34674.48,17.21,True,lav
1103,Stavanger,1945,04,548.33,34674.48,1.58,True,lav
1103,Stavanger,1945,05,1115.19,34674.48,3.22,True,lav
1103,Stavanger,1945,06,0.0,34674.48,0.0,True,lav
1103,Stavanger,1945,07,8546.4,34674.48,24.65,True,lav
1103,Stavanger,1945,08,0.0,34674.48,0.0,True,lav
1103,Stavanger,1945,55,0.0,34674.48,0.0,True,lav
1103,Stavanger,1945,09,4320.68,34674.48,12.46,True,lav
1103,Stavanger,1945,90,0.0,34674.48,0.0,True,lav
1103,Stavanger,1945,99,0.0,34674.48,0.0,True,lav
1106,Haugesund,1945,01,4691.14,11146.42,42.09,True,lav
1106,Haugesund,1945,02,0.0,11146.42,0.0,True,lav
1106,Haugesund,1945,03,2074.03,11146.42,18.61,True,lav
1106,Haugesund,1945,04,134.85,11146.42,1.21,True,lav
1106,Haugesund,1945,05,198.67,11146.42,1.78,True,lav
1106,Haugesund,1945,06,0.0,11146.42,0.0,True,lav
1106,Haugesund,1945,07,3206.45,11146.42,28.77,True,lav
1106,Haugesund,1945,08,0.0,11146.42,0.0,True,lav
1106,Haugesund,1945,55,0.0,11146.42,0.0,True,lav
1106,Haugesund,1945,09,841.27,11146.42,7.55,True,lav
1106,Haugesund,1945,90,0.0,11146.42,0.0,True,lav
1106,Haugesund,1945,99,0.0,11146.42,0.0,True,lav
1108,Sandnes,1945,01,3323.13,8546.54,38.88,True,lav
1108,Sandnes,1945,02,0.0,8546.54,0.0,True,lav
1108,Sandnes,1945,03,804.94,8546.54,9.42,True,lav
