enhet,enhet_navn,aar,parti,stemmer,total_stemmer,prosent
0301,Oslo - Oslove,1945,01,92816.63,239349.12,38.78
0301,Oslo - Oslove,1945,02,0.0,239349.12,0.0
0301,Oslo - Oslove,1945,03,75350.6,239349.12,31.48
0301,Oslo - Oslove,1945,04,23534.84,239349.12,9.83
0301,Oslo - Oslove,1945,05,269.92,239349.12,0.11
0301,Oslo - Oslove,1945,06,0.0,239349.12,0.0
0301,Oslo - Oslove,1945,07,10533.74,239349.12,4.4
0301,Oslo - Oslove,1945,08,0.0,239349.12,0.0
0301,Oslo - Oslove,1945,09,36843.39,239349.12,15.39
0301,Oslo - Oslove,1945,55,0.0,239349.12,0.0
0301,Oslo - Oslove,1945,90,0.0,239349.12,0.0
0301,Oslo - Oslove,1945,99,0.0,239349.12,0.0
0301,Oslo - Oslove,1949,01,119741.0,275093.0,43.53
0301,Oslo - Oslove,1949,02,0.0,275093.0,0.0
0301,Oslo - Oslove,1949,03,99179.0,275093.0,36.05
0301,Oslo - Oslove,1949,04,14792.0,275093.0,5.38
0301,Oslo - Oslove,1949,05,0.0,275093.0,0.0
0301,Oslo - Oslove,1949,06,0.0,275093.0,0.0
0301,Oslo - Oslove,1949,07,19017.0,275093.0,6.91
0301,Oslo - Oslove,1949,08,0.0,275093.0,0.0
0301,Oslo - Oslove,1949,09,21535.0,275093.0,7.83
0301,Oslo - Oslove,1949,55,0.0,275093.0,0.0
0301,Oslo - Oslove,1949,90,0.0,275093.0,0.0
0301,Oslo - Oslove,1949,99,829.0,275093.0,0.3
0301,Oslo - Oslove,1953,01,119784.0,278407.0,43.02
0301,Oslo - Oslove,1953,02,0.0,278407.0,0.0
0301,Oslo - Oslove,1953,03,105817.0,278407.0,38.01
0301,Oslo - Oslove,1953,04,16961.0,278407.0,6.09
0301,Oslo - Oslove,1953,05,0.0,278407.0,0.0
0301,Oslo - Oslove,1953,06,0.0,278407.0,0.0
0301,Oslo - Oslove,1953,07,18195.0,278407.0,6.54
0301,Oslo - Oslove,1953,08,0.0,278407.0,0.0
