kom2024,navn,aar,parti,stemmer,total_stemmer,prosent,sum_9parti,prosent_9parti,dekning,estimert
0301,Oslo - Oslove,1989,01,89414,300299,29.77,295731,30.23,1.0,False
0301,Oslo - Oslove,1989,02,44920,300299,14.96,295731,15.19,1.0,False
0301,Oslo - Oslove,1989,03,95679,300299,31.86,295731,32.35,1.0,False
0301,Oslo - Oslove,1989,04,11414,300299,3.8,295731,3.86,1.0,False
0301,Oslo - Oslove,1989,05,2189,300299,0.73,295731,0.74,1.0,False
0301,Oslo - Oslove,1989,06,34882,300299,11.62,295731,11.8,1.0,False
0301,Oslo - Oslove,1989,07,7963,300299,2.65,295731,2.69,1.0,False
0301,Oslo - Oslove,1989,08,1727,300299,0.58,295731,0.58,1.0,False
0301,Oslo - Oslove,1989,55,7543,300299,2.51,295731,2.55,1.0,False
0301,Oslo - Oslove,1989,99,4568,300299,1.52,295731,,1.0,False
1101,Eigersund,1989,01,2028,7195,28.19,7172,28.28,1.0,False
1101,Eigersund,1989,02,968,7195,13.45,7172,13.5,1.0,False
1101,Eigersund,1989,03,1679,7195,23.34,7172,23.41,1.0,False
1101,Eigersund,1989,04,1155,7195,16.05,7172,16.1,1.0,False
1101,Eigersund,1989,05,623,7195,8.66,7172,8.69,1.0,False
1101,Eigersund,1989,06,402,7195,5.59,7172,5.61,1.0,False
1101,Eigersund,1989,07,299,7195,4.16,7172,4.17,1.0,False
1101,Eigersund,1989,08,10,7195,0.14,7172,0.14,1.0,False
1101,Eigersund,1989,55,8,7195,0.11,7172,0.11,1.0,False
1101,Eigersund,1989,99,23,7195,0.32,7172,,1.0,False
1103,Stavanger,1989,01,18208,62566,29.1,62223,29.26,1.0,False
1103,Stavanger,1989,02,9645,62566,15.42,62223,15.5,1.0,False
1103,Stavanger,1989,03,16012,62566,25.59,62223,25.73,1.0,False
1103,Stavanger,1989,04,6420,62566,10.26,62223,10.32,1.0,False
1103,Stavanger,1989,05,2045,62566,3.27,62223,3.29,1.0,False
1103,Stavanger,1989,06,5929,62566,9.48,62223,9.53,1.0,False
1103,Stavanger,1989,07,3467,62566,5.54,62223,5.57,1.0,False
1103,Stavanger,1989,08,227,62566,0.36,62223,0.36,1.0,False
1103,Stavanger,1989,55,270,62566,0.43,62223,0.43,1.0,False
1103,Stavanger,1989,99,343,62566,0.55,62223,,1.0,False
1106,Haugesund,1989,01,5513,17433,31.62,17259,31.94,1.0,False
1106,Haugesund,1989,02,2869,17433,16.46,17259,16.62,1.0,False
1106,Haugesund,1989,03,4251,17433,24.38,17259,24.63,1.0,False
1106,Haugesund,1989,04,1874,17433,10.75,17259,10.86,1.0,False
1106,Haugesund,1989,05,252,17433,1.45,17259,1.46,1.0,False
1106,Haugesund,1989,06,1339,17433,7.68,17259,7.76,1.0,False
1106,Haugesund,1989,07,1064,17433,6.1,17259,6.16,1.0,False
1106,Haugesund,1989,08,56,17433,0.32,17259,0.32,1.0,False
1106,Haugesund,1989,55,41,17433,0.24,17259,0.24,1.0,False
1106,Haugesund,1989,99,174,17433,1.0,17259,,1.0,False
1108,Sandnes,1989,01,7860,27550,28.53,27412,28.67,1.0,False
1108,Sandnes,1989,02,4218,27550,15.31,27412,15.39,1.0,False
1108,Sandnes,1989,03,6201,27550,22.51,27412,22.62,1.0,False
1108,Sandnes,1989,04,3712,27550,13.47,27412,13.54,1.0,False
1108,Sandnes,1989,05,1698,27550,6.16,27412,6.19,1.0,False
1108,Sandnes,1989,06,2080,27550,7.55,27412,7.59,1.0,False
1108,Sandnes,1989,07,1471,27550,5.34,27412,5.37,1.0,False
1108,Sandnes,1989,08,87,27550,0.32,27412,0.32,1.0,False
1108,Sandnes,1989,55,85,27550,0.31,27412,0.31,1.0,False
1108,Sandnes,1989,99,138,27550,0.5,27412,,1.0,False
1111,Sokndal,1989,01,537,2236,24.02,2221,24.18,1.0,False
1111,Sokndal,1989,02,357,2236,15.97,2221,16.07,1.0,False
1111,Sokndal,1989,03,464,2236,20.75,2221,20.89,1.0,False
1111,Sokndal,1989,04,476,2236,21.29,2221,21.43,1.0,False
1111,Sokndal,1989,05,193,2236,8.63,2221,8.69,1.0,False
1111,Sokndal,1989,06,119,2236,5.32,2221,5.36,1.0,False
1111,Sokndal,1989,07,58,2236,2.59,2221,2.61,1.0,False
1111,Sokndal,1989,08,5,2236,0.22,2221,0.23,1.0,False
1111,Sokndal,1989,55,12,2236,0.54,2221,0.54,1.0,False
1111,Sokndal,1989,99,15,2236,0.67,2221,,1.0,False
1112,Lund,1989,01,457,1867,24.48,1861,24.56,1.0,False
1112,Lund,1989,02,263,1867,14.09,1861,14.13,1.0,False
1112,Lund,1989,03,323,1867,17.3,1861,17.36,1.0,False
1112,Lund,1989,04,426,1867,22.82,1861,22.89,1.0,False
1112,Lund,1989,05,235,1867,12.59,1861,12.63,1.0,False
1112,Lund,1989,06,89,1867,4.77,1861,4.78,1.0,False
1112,Lund,1989,07,63,1867,3.37,1861,3.39,1.0,False
1112,Lund,1989,08,2,1867,0.11,1861,0.11,1.0,False
1112,Lund,1989,55,3,1867,0.16,1861,0.16,1.0,False
1112,Lund,1989,99,6,1867,0.32,1861,,1.0,False
