kom2024,parti,stemmer
0301,01,89414
0301,02,44920
0301,03,95679
0301,04,11414
0301,05,2189
0301,06,34882
0301,07,7963
0301,08,1727
0301,10,1770
0301,14,2636
0301,15,7543
1101,01,2028
1101,02,968
1101,03,1679
1101,04,1155
1101,05,623
1101,06,402
1101,07,299
1101,08,10
1101,14,23
1101,15,8
1103,01,18208
1103,02,9645
1103,03,16012
1103,04,6420
1103,05,2045
1103,06,5929
1103,07,3467
1103,08,227
1103,14,343
1103,15,270
1106,01,5513
1106,02,2869
1106,03,4251
1106,04,1874
1106,05,252
1106,06,1339
1106,07,1064
1106,08,56
1106,14,174
1106,15,41
1108,01,7860
1108,02,4218
1108,03,6201
1108,04,3712
1108,05,1698
1108,06,2080
1108,07,1471
1108,08,87
1108,14,138
1108,15,85
1111,01,537
1111,02,357
1111,03,464
1111,04,476
1111,05,193
1111,06,119
1111,07,58
1111,08,5
1111,14,15
1111,15,12
1112,01,457
1112,02,263
1112,03,323
1112,04,426
1112,05,235
1112,06,89
1112,07,63
1112,08,2
1112,14,6
1112,15,3
1114,01,185
1114,02,81
1114,03,198
1114,04,353
1114,05,507
1114,06,39
1114,07,34
1114,08,1
1114,14,2
1119,01,1274
1119,02,1076
1119,03,1223
1119,04,1870
1119,05,1630
1119,06,302
1119,07,212
1119,08,12
1119,14,20
1119,15,11
1120,01,1371
1120,02,1174
1120,03,1532
1120,04,1106
1120,05,1284
1120,06,319
1120,07,271
1120,08,10
1120,14,29
1120,15,14
1121,01,1569
1121,02,932
1121,03,1533
1121,04,1224
1121,05,1120
1121,06,457
1121,07,340
1121,08,14
1121,14,23
1121,15,13
1122,01,1206
1122,02,481
1122,03,669
1122,04,785
1122,05,556
1122,06,210
1122,07,223
1122,08,9
1122,14,12
1122,15,7
1124,01,1944
1124,02,1910
1124,03,2288
1124,04,1111
1124,05,858
1124,06,494
1124,07,423
1124,08,23
1124,14,22
1124,15,14
1127,01,1017
1127,02,621
1127,03,1073
1127,04,837
1127,05,442
1127,06,231
1127,07,203
1127,08,9
1127,14,17
1127,15,2
1130,01,1399
1130,02,741
1130,03,979
1130,04,1325
1130,05,399
1130,06,403
1130,07,286
1130,08,21
1130,14,17
1130,15,8
1133,01,225
1133,02,131
1133,03,253
1133,04,364
1133,05,533
1133,06,78
1133,07,68
1133,08,3
1133,14,2
1133,15,3
1134,01,627
1134,02,211
1134,03,278
1134,04,468
1134,05,561
1134,06,148
1134,07,168
1134,08,4
1134,14,9
1134,15,3
1135,01,1334
1135,02,372
1135,03,418
1135,04,396
1135,05,229
1135,06,467
1135,07,257
1135,08,14
1135,14,9
1135,15,26
1144,01,89
1144,02,23
1144,03,58
1144,04,115
1144,05,22
1144,06,7
1144,07,14
1144,14,1
1145,01,85
1145,02,62
1145,03,85
1145,04,103
1145,05,87
1145,06,22
1145,07,16
1145,08,2
1145,14,2
1145,15,2
1146,01,1080
1146,02,729
1146,03,825
1146,04,885
1146,05,564
1146,06,218
1146,07,338
1146,08,13
1146,14,30
1146,15,4
1149,01,5130
1149,02,3870
1149,03,4001
1149,04,4004
1149,05,756
1149,06,1063
1149,07,1057
1149,08,40
1149,14,153
1149,15,39
1151,01,49
1151,02,21
1151,03,35
1151,04,13
1151,05,20
1151,06,5
1151,07,7
1160,01,1019
1160,02,539
1160,03,739
1160,04,902
1160,05,994
1160,06,231
1160,07,297
1160,08,13
1160,10,5
1160,14,14
1160,15,8
1505,01,5505
1505,02,1555
1505,03,3647
1505,04,875
1505,05,268
1505,06,1343
1505,07,452
1505,08,30
1505,10,53
1505,14,51
1505,15,104
1506,01,5409
1506,02,2049
1506,03,3681
1506,04,2969
1506,05,1184
1506,06,1873
1506,07,852
1506,08,37
1506,10,40
1506,14,46
1506,15,113
1508,01,6887
1508,02,4702
1508,03,6194
1508,04,3475
1508,05,737
1508,06,1757
1508,07,1351
1508,08,58
1508,10,65
1508,14,117
1508,15,113
1511,01,527
1511,02,276
1511,03,320
1511,04,465
1511,05,366
1511,06,159
1511,07,157
1511,10,3
1511,14,12
1511,15,17
1514,01,393
1514,02,246
1514,03,331
1514,04,602
1514,05,174
1514,06,106
1514,07,171
1514,08,6
1514,10,3
