aar,parti_kode,parti_navn,stemmer
1989,01,Arbeiderpartiet,907393
1993,01,Arbeiderpartiet,908724
1997,01,Arbeiderpartiet,904362
2001,01,Arbeiderpartiet,612632
2005,01,Arbeiderpartiet,862456
2009,01,Arbeiderpartiet,949049
2013,01,Arbeiderpartiet,874769
2017,01,Arbeiderpartiet,800947
2021,01,Arbeiderpartiet,783394
2025,01,Arbeiderpartiet,902296
1989,02,Fremskrittspartiet,345185
1993,02,Fremskrittspartiet,154497
1997,02,Fremskrittspartiet,395376
2001,02,Fremskrittspartiet,369236
2005,02,Fremskrittspartiet,581896
2009,02,Fremskrittspartiet,614717
2013,02,Fremskrittspartiet,463560
2017,02,Fremskrittspartiet,444681
2021,02,Fremskrittspartiet,346474
2025,02,Fremskrittspartiet,767903
1989,03,Høyre,588682
1993,03,Høyre,419373
1997,03,Høyre,370441
2001,03,Høyre,534852
2005,03,Høyre,371948
2009,03,Høyre,462458
2013,03,Høyre,760232
2017,03,Høyre,732895
2021,03,Høyre,607316
2025,03,Høyre,471602
1989,04,Kristelig Folkeparti,224852
1993,04,Kristelig Folkeparti,193885
1997,04,Kristelig Folkeparti,353082
2001,04,Kristelig Folkeparti,312839
2005,04,Kristelig Folkeparti,178885
2009,04,Kristelig Folkeparti,148748
2013,04,Kristelig Folkeparti,158475
2017,04,Kristelig Folkeparti,122797
2021,04,Kristelig Folkeparti,113344
2025,04,Kristelig Folkeparti,135230
1989,08,Miljøpartiet de Grønne,10136
1993,08,Miljøpartiet de Grønne,3054
1997,08,Miljøpartiet de Grønne,5884
2001,08,Miljøpartiet de Grønne,3785
2005,08,Miljøpartiet de Grønne,3652
2009,08,Miljøpartiet de Grønne,9286
2013,08,Miljøpartiet de Grønne,79152
2017,08,Miljøpartiet de Grønne,94788
2021,08,Miljøpartiet de Grønne,117647
2025,08,Miljøpartiet de Grønne,152782
2009,55,Rødt,36219
2013,55,Rødt,30751
2017,55,Rødt,70522
2021,55,Rødt,140931
2025,55,Rødt,171342
1989,05,Senterpartiet,171269
1993,05,Senterpartiet,412187
1997,05,Senterpartiet,204824
2001,05,Senterpartiet,140287
2005,05,Senterpartiet,171063
2009,05,Senterpartiet,165006
2013,05,Senterpartiet,155357
2017,05,Senterpartiet,302017
2021,05,Senterpartiet,402961
2025,05,Senterpartiet,179994
1989,06,Sosialistisk Venstreparti,266782
1993,06,Sosialistisk Venstreparti,194633
1997,06,Sosialistisk Venstreparti,155307
2001,06,Sosialistisk Venstreparti,316397
2005,06,Sosialistisk Venstreparti,232971
2009,06,Sosialistisk Venstreparti,166361
2013,06,Sosialistisk Venstreparti,116021
2017,06,Sosialistisk Venstreparti,176222
2021,06,Sosialistisk Venstreparti,228063
2025,06,Sosialistisk Venstreparti,181192
1989,07,Venstre,84740
1993,07,Venstre,88985
1997,07,Venstre,115077
2001,07,Venstre,98486
2005,07,Venstre,156113
2009,07,Venstre,104144
2013,07,Venstre,148275
2017,07,Venstre,127910
2021,07,Venstre,137433
2025,07,Venstre,118941
2005,100,Abort-motstandernes liste,1934
2009,100,Abort-motstandernes liste,178
2017,130,Alliansen,3311
2021,150,Alliansen - Alternativ for Norge,2489
1997,29,Barn/Eldre,246
2009,54,Demokratene,2286
2005,122,Demokratene i Norge,2705
2013,122,Demokratene i Norge,2214
2017,122,Demokratene i Norge,3830
2021,122,Demokratene i Norge,34068
2025,122,Demokratene i Norge,23260
2025,157,Ensomhetspartiet,712
2009,56,Ett (skrift)språk,103
1993,13,Fedrelandspartiet,11694
1997,13,Fedrelandspartiet,3805
2001,13,Fedrelandspartiet,2353
1993,16,Felles framtid,548
2017,131,Feministisk Initiativ,696
2021,131,Feministisk Initiativ,275
1989,25,Folkeaksjonen Fremtid for Finnmark,8817
2021,151,Folkeaksjonen Nei til mer bompenger,3435
2013,125,"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja",268
2013,126,Folkemakten,175
1989,24,Frie Folkevalgte,313
1993,17,Frihetspartiet,774
2025,158,Fred og Rettferdighet (FOR),9430
1989,15,Fylkeslistene for miljø og solidaritet,22139
2021,154,Generasjonspartiet,199
2025,154,Generasjonspartiet,21589
1997,26,Hvit Valgallianse,463
2021,152,Industri- og Næringspartiet,10031
2025,152,Industri- og Næringspartiet,18771
1993,19,Kristent konservativt parti,1974
1997,19,Kristent konservativt parti,1386
2001,48,Kristent Samlingsparti,6742
2005,48,Kristent Samlingsparti,3911
2009,48,Kristent Samlingsparti,4936
