kom2024,aar,parti,stemmer,godkjente_i_alt,prosent_alle
0301,1989,01,89414,300299,29.77
0301,1989,02,44920,300299,14.96
0301,1989,03,95679,300299,31.86
0301,1989,04,11414,300299,3.8
0301,1989,05,2189,300299,0.73
0301,1989,06,34882,300299,11.62
0301,1989,07,7963,300299,2.65
0301,1989,08,1727,300299,0.58
0301,1993,01,101598,277593,36.6
0301,1993,02,23129,277593,8.33
0301,1993,03,76117,277593,27.42
0301,1993,04,9862,277593,3.55
0301,1993,05,12175,277593,4.39
0301,1993,06,19873,277593,7.16
0301,1993,07,9518,277593,3.43
0301,1993,08,656,277593,0.24
0301,1997,01,98340,294668,33.37
0301,1997,02,52828,294668,17.93
0301,1997,03,63980,294668,21.71
0301,1997,04,20083,294668,6.82
0301,1997,05,3774,294668,1.28
0301,1997,06,25954,294668,8.81
0301,1997,07,12460,294668,4.23
0301,1997,08,1302,294668,0.44
0301,2001,01,64768,288960,22.41
0301,2001,02,37564,288960,13.0
0301,2001,03,83979,288960,29.06
0301,2001,04,17536,288960,6.07
0301,2001,05,1988,288960,0.69
0301,2001,06,48800,288960,16.89
0301,2001,07,17139,288960,5.93
0301,2001,08,661,288960,0.23
0301,2005,01,97246,308834,31.49
0301,2005,02,53280,308834,17.25
0301,2005,03,61130,308834,19.79
0301,2005,04,11168,308834,3.62
0301,2005,05,3270,308834,1.06
0301,2005,06,41434,308834,13.42
0301,2005,07,28639,308834,9.27
0301,2005,08,668,308834,0.22
0301,2009,01,113103,322569,35.06
0301,2009,02,56953,322569,17.66
0301,2009,03,69999,322569,21.7
0301,2009,04,8786,322569,2.72
0301,2009,05,3126,322569,0.97
0301,2009,06,33205,322569,10.29
0301,2009,07,20784,322569,6.44
0301,2009,08,1828,322569,0.57
0301,2009,55,12917,322569,4.0
0301,2013,01,106001,348542,30.41
0301,2013,02,40660,348542,11.67
0301,2013,03,103834,348542,29.79
0301,2013,04,9850,348542,2.83
0301,2013,05,2963,348542,0.85
0301,2013,06,21924,348542,6.29
0301,2013,07,28619,348542,8.21
0301,2013,08,19356,348542,5.55
0301,2013,55,11133,348542,3.19
0301,2017,01,104089,367101,28.35
0301,2017,02,35037,367101,9.54
0301,2017,03,97085,367101,26.45
0301,2017,04,7843,367101,2.14
0301,2017,05,7778,367101,2.12
0301,2017,06,34052,367101,9.28
0301,2017,07,30933,367101,8.43
0301,2017,08,21853,367101,5.95
0301,2017,55,23083,367101,6.29
0301,2021,01,87158,379565,22.96
0301,2021,02,22784,379565,6.0
0301,2021,03,89342,379565,23.54
0301,2021,04,6922,379565,1.82
0301,2021,05,11953,379565,3.15
0301,2021,06,50382,379565,13.27
0301,2021,07,38142,379565,10.05
0301,2021,08,32198,379565,8.48
0301,2021,55,31352,379565,8.26
0301,2025,01,108268,421918,25.66
0301,2025,02,60432,421918,14.32
0301,2025,03,78043,421918,18.5
0301,2025,04,8920,421918,2.11
0301,2025,05,3166,421918,0.75
0301,2025,06,45181,421918,10.71
0301,2025,07,30643,421918,7.26
0301,2025,08,43326,421918,10.27
0301,2025,55,30176,421918,7.15
1101,1989,01,2028,7195,28.19
1101,1989,02,968,7195,13.45
1101,1989,03,1679,7195,23.34
1101,1989,04,1155,7195,16.05
1101,1989,05,623,7195,8.66
1101,1989,06,402,7195,5.59
1101,1989,07,299,7195,4.16
1101,1989,08,10,7195,0.14
1101,1993,01,2196,6970,31.51
1101,1993,02,421,6970,6.04
1101,1993,03,1062,6970,15.24
1101,1993,04,1102,6970,15.81
1101,1993,05,1289,6970,18.49
1101,1993,06,350,6970,5.02
1101,1993,07,350,6970,5.02
1101,1993,08,7,6970,0.1
1101,1997,01,2283,7324,31.17
1101,1997,02,1136,7324,15.51
1101,1997,03,817,7324,11.16
1101,1997,04,1439,7324,19.65
1101,1997,05,498,7324,6.8
1101,1997,06,174,7324,2.38
1101,1997,07,867,7324,11.84
1101,1997,08,2,7324,0.03
1101,2001,01,1588,7215,22.01
1101,2001,02,1039,7215,14.4
1101,2001,03,1588,7215,22.01
1101,2001,04,1367,7215,18.95
1101,2001,05,304,7215,4.21
1101,2001,06,395,7215,5.47
1101,2001,07,720,7215,9.98
1101,2001,08,2,7215,0.03
1101,2005,01,1936,7302,26.51
1101,2005,02,1680,7302,23.01
1101,2005,03,1081,7302,14.8
1101,2005,04,856,7302,11.72
1101,2005,05,498,7302,6.82
1101,2005,06,324,7302,4.44
1101,2005,07,788,7302,10.79
1101,2005,08,3,7302,0.04
1101,2009,01,1901,7275,26.13
1101,2009,02,2038,7275,28.01
1101,2009,03,1250,7275,17.18
1101,2009,04,807,7275,11.09
1101,2009,05,404,7275,5.55
1101,2009,06,218,7275,3.0
1101,2009,07,552,7275,7.59
1101,2009,08,11,7275,0.15
1101,2009,55,24,7275,0.33
1101,2013,01,1864,7627,24.44
1101,2013,02,1491,7627,19.55
1101,2013,03,2200,7627,28.84
1101,2013,04,838,7627,10.99
1101,2013,05,457,7627,5.99
1101,2013,06,178,7627,2.33
1101,2013,07,306,7627,4.01
1101,2013,08,115,7627,1.51
1101,2013,55,28,7627,0.37
1101,2017,01,1825,8028,22.73
1101,2017,02,1881,8028,23.43
1101,2017,03,2202,8028,27.43
1101,2017,04,598,8028,7.45
1101,2017,05,752,8028,9.37
1101,2017,06,224,8028,2.79
1101,2017,07,225,8028,2.8
1101,2017,08,129,8028,1.61
1101,2017,55,59,8028,0.73
1101,2021,01,1832,8184,22.39
1101,2021,02,1574,8184,19.23
1101,2021,03,1831,8184,22.37
1101,2021,04,650,8184,7.94
1101,2021,05,1099,8184,13.43
1101,2021,06,341,8184,4.17
1101,2021,07,226,8184,2.76
1101,2021,08,142,8184,1.74
1101,2021,55,222,8184,2.71
1101,2025,01,1975,8616,22.92
1101,2025,02,2666,8616,30.94
1101,2025,03,1229,8616,14.26
1101,2025,04,881,8616,10.23
1101,2025,05,546,8616,6.34
1101,2025,06,280,8616,3.25
1101,2025,07,190,8616,2.21
1101,2025,08,150,8616,1.74
1101,2025,55,384,8616,4.46
1103,1989,01,18208,62566,29.1
1103,1989,02,9645,62566,15.42
1103,1989,03,16012,62566,25.59
1103,1989,04,6420,62566,10.26
1103,1989,05,2045,62566,3.27
1103,1989,06,5929,62566,9.48
1103,1989,07,3467,62566,5.54
1103,1989,08,227,62566,0.36
1103,1993,01,20357,60823,33.47
1103,1993,02,5232,60823,8.6
1103,1993,03,12451,60823,20.47
1103,1993,04,6364,60823,10.46
1103,1993,05,6249,60823,10.27
1103,1993,06,4925,60823,8.1
1103,1993,07,3286,60823,5.4
1103,1993,08,82,60823,0.13
1103,1997,01,19724,64585,30.54
1103,1997,02,11981,64585,18.55
1103,1997,03,11623,64585,18.0
1103,1997,04,9350,64585,14.48
1103,1997,05,2503,64585,3.88
1103,1997,06,3709,64585,5.74
1103,1997,07,3807,64585,5.89
1103,1997,08,132,64585,0.2
1103,2001,01,12756,64365,19.82
1103,2001,02,10170,64365,15.8
1103,2001,03,17648,64365,27.42
1103,2001,04,9041,64365,14.05
1103,2001,05,1619,64365,2.52
1103,2001,06,7484,64365,11.63
1103,2001,07,3298,64365,5.12
1103,2001,08,113,64365,0.18
1103,2005,01,19025,67621,28.13
1103,2005,02,15203,67621,22.48
1103,2005,03,12496,67621,18.48
1103,2005,04,5748,67621,8.5
1103,2005,05,2253,67621,3.33
1103,2005,06,5740,67621,8.49
1103,2005,07,5651,67621,8.36
1103,2005,08,126,67621,0.19
1103,2009,01,20594,69453,29.65
1103,2009,02,15345,69453,22.09
1103,2009,03,16066,69453,23.13
1103,2009,04,5165,69453,7.44
1103,2009,05,2072,69453,2.98
1103,2009,06,4798,69453,6.91
1103,2009,07,4162,69453,5.99
1103,2009,08,233,69453,0.34
1103,2009,55,396,69453,0.57
1103,2013,01,18199,71849,25.33
1103,2013,02,11313,71849,15.75
1103,2013,03,23675,71849,32.95
1103,2013,04,4940,71849,6.88
1103,2013,05,1751,71849,2.44
1103,2013,06,3663,71849,5.1
1103,2013,07,4529,71849,6.3
1103,2013,08,2221,71849,3.09
1103,2013,55,508,71849,0.71
1103,2017,01,19654,74656,26.33
1103,2017,02,11536,74656,15.45
1103,2017,03,23230,74656,31.12
1103,2017,04,3922,74656,5.25
1103,2017,05,3012,74656,4.03
1103,2017,06,4226,74656,5.66
1103,2017,07,3792,74656,5.08
1103,2017,08,2716,74656,3.64
1103,2017,55,1374,74656,1.84
1103,2021,01,19913,77287,25.77
1103,2021,02,9663,77287,12.5
1103,2021,03,21345,77287,27.62
1103,2021,04,3665,77287,4.74
1103,2021,05,4225,77287,5.47
1103,2021,06,5299,77287,6.86
1103,2021,07,3939,77287,5.1
1103,2021,08,2697,77287,3.49
1103,2021,55,4160,77287,5.38
1103,2025,01,24184,84987,28.46
1103,2025,02,19830,84987,23.33
1103,2025,03,15400,84987,18.12
1103,2025,04,4151,84987,4.88
1103,2025,05,2042,84987,2.4
1103,2025,06,3873,84987,4.56
1103,2025,07,3175,84987,3.74
1103,2025,08,3319,84987,3.91
1103,2025,55,6150,84987,7.24
1106,1989,01,5513,17433,31.62
