kom2024,aar,stemmer_9parti,stemmer_andre,godkjente_i_alt
0301,1993,252928,24665,277593
0301,1997,278721,15947,294668
0301,2001,272435,16525,288960
0301,2005,296835,11999,308834
0301,2009,320701,1868,322569
0301,2013,344340,4202,348542
0301,2017,361753,5348,367101
0301,2021,370233,9332,379565
0301,2025,408155,13763,421918
1101,1993,6777,193,6970
1101,1997,7216,108,7324
1101,2001,7003,212,7215
1101,2005,7166,136,7302
1101,2009,7205,70,7275
1101,2013,7477,150,7627
1101,2017,7895,133,8028
1101,2021,7917,267,8184
1101,2025,8301,315,8616
1103,1993,58946,1877,60823
1103,1997,62829,1756,64585
1103,2001,62129,2236,64365
1103,2005,66242,1379,67621
1103,2009,68831,622,69453
1103,2013,70799,1050,71849
1103,2017,73462,1194,74656
1103,2021,74906,2381,77287
1103,2025,82124,2863,84987
1106,1993,15731,878,16609
1106,1997,16875,427,17302
1106,2001,16285,654,16939
1106,2005,17148,468,17616
1106,2009,17675,306,17981
1106,2013,18375,705,19080
1106,2017,19089,565,19654
1106,2021,19100,949,20049
1106,2025,20360,1141,21501
1108,1993,26679,756,27435
1108,1997,28649,790,29439
1108,2001,29272,1054,30326
1108,2005,31457,638,32095
1108,2009,34062,423,34485
1108,2013,36283,840,37123
1108,2017,38420,808,39228
1108,2021,38984,1632,40616
1108,2025,42887,1989,44876
1111,1993,2022,54,2076
1111,1997,2033,41,2074
1111,2001,1846,64,1910
1111,2005,1896,31,1927
1111,2009,1844,37,1881
1111,2013,1800,108,1908
1111,2017,1896,62,1958
1111,2021,1852,91,1943
1111,2025,1940,117,2057
1112,1993,1645,43,1688
1112,1997,1758,48,1806
1112,2001,1647,77,1724
1112,2005,1703,40,1743
1112,2009,1701,26,1727
1112,2013,1716,76,1792
1112,2017,1777,47,1824
1112,2021,1680,93,1773
1112,2025,1787,128,1915
1114,1993,1427,18,1445
1114,1997,1457,19,1476
1114,2001,1392,38,1430
1114,2005,1427,23,1450
1114,2009,1445,6,1451
1114,2013,1537,36,1573
1114,2017,1546,18,1564
1114,2021,1569,42,1611
1114,2025,1607,63,1670
1119,1993,7179,155,7334
1119,1997,7670,96,7766
1119,2001,7383,276,7659
1119,2005,7930,173,8103
1119,2009,8258,122,8380
1119,2013,8894,284,9178
1119,2017,9507,255,9762
1119,2021,9646,374,10020
1119,2025,10309,563,10872
1120,1993,6724,137,6861
1120,1997,7406,104,7510
1120,2001,7313,200,7513
1120,2005,7651,127,7778
1120,2009,8475,70,8545
1120,2013,9299,204,9503
1120,2017,9946,235,10181
1120,2021,10232,356,10588
1120,2025,11170,604,11774
1121,1993,6916,129,7045
1121,1997,7446,130,7576
1121,2001,7490,249,7739
1121,2005,8288,156,8444
1121,2009,8896,90,8986
1121,2013,9722,211,9933
1121,2017,10234,214,10448
1121,2021,10526,348,10874
1121,2025,11412,495,11907
1122,1993,4061,79,4140
1122,1997,4453,85,4538
1122,2001,4497,154,4651
1122,2005,4933,88,5021
1122,2009,5371,28,5399
