Tid,GodkjenteProsent,PolitParti,Region
2013 2013,36.6,01 Arbeiderpartiet,0101 Halden (-2019)
2017 2017,32.5,01 Arbeiderpartiet,0101 Halden (-2019)
2013 2013,17.7,02 Fremskrittspartiet,0101 Halden (-2019)
2017 2017,17.1,02 Fremskrittspartiet,0101 Halden (-2019)
2013 2013,23.4,03 Høyre,0101 Halden (-2019)
2017 2017,22.3,03 Høyre,0101 Halden (-2019)
2013 2013,6.3,04 Kristelig Folkeparti,0101 Halden (-2019)
2017 2017,4.4,04 Kristelig Folkeparti,0101 Halden (-2019)
2013 2013,3.7,05 Senterpartiet,0101 Halden (-2019)
2017 2017,9.0,05 Senterpartiet,0101 Halden (-2019)
2013 2013,2.4,06 Sosialistisk Venstreparti,0101 Halden (-2019)
2017 2017,5.2,06 Sosialistisk Venstreparti,0101 Halden (-2019)
2013 2013,4.4,07 Venstre,0101 Halden (-2019)
2017 2017,2.4,07 Venstre,0101 Halden (-2019)
2013 2013,2.5,08 Miljøpartiet de Grønne,0101 Halden (-2019)
2017 2017,3.0,08 Miljøpartiet de Grønne,0101 Halden (-2019)
2013 2013,0.8,55 Rødt,0101 Halden (-2019)
2017 2017,2.3,55 Rødt,0101 Halden (-2019)
2013 2013,35.5,01 Arbeiderpartiet,0104 Moss (-2019)
2017 2017,32.9,01 Arbeiderpartiet,0104 Moss (-2019)
2013 2013,18.8,02 Fremskrittspartiet,0104 Moss (-2019)
2017 2017,15.2,02 Fremskrittspartiet,0104 Moss (-2019)
2013 2013,28.0,03 Høyre,0104 Moss (-2019)
2017 2017,25.6,03 Høyre,0104 Moss (-2019)
2013 2013,3.3,04 Kristelig Folkeparti,0104 Moss (-2019)
2017 2017,2.5,04 Kristelig Folkeparti,0104 Moss (-2019)
2013 2013,0.7,05 Senterpartiet,0104 Moss (-2019)
2017 2017,3.4,05 Senterpartiet,0104 Moss (-2019)
2013 2013,3.7,06 Sosialistisk Venstreparti,0104 Moss (-2019)
2017 2017,5.9,06 Sosialistisk Venstreparti,0104 Moss (-2019)
2013 2013,4.5,07 Venstre,0104 Moss (-2019)
2017 2017,3.7,07 Venstre,0104 Moss (-2019)
2013 2013,2.8,08 Miljøpartiet de Grønne,0104 Moss (-2019)
2017 2017,3.8,08 Miljøpartiet de Grønne,0104 Moss (-2019)
2013 2013,1.6,55 Rødt,0104 Moss (-2019)
2017 2017,4.9,55 Rødt,0104 Moss (-2019)
2013 2013,39.4,01 Arbeiderpartiet,0105 Sarpsborg (1992-2019)
2017 2017,37.3,01 Arbeiderpartiet,0105 Sarpsborg (1992-2019)
2013 2013,20.3,02 Fremskrittspartiet,0105 Sarpsborg (1992-2019)
2017 2017,18.6,02 Fremskrittspartiet,0105 Sarpsborg (1992-2019)
2013 2013,22.9,03 Høyre,0105 Sarpsborg (1992-2019)
2017 2017,22.0,03 Høyre,0105 Sarpsborg (1992-2019)
2013 2013,5.3,04 Kristelig Folkeparti,0105 Sarpsborg (1992-2019)
2017 2017,4.1,04 Kristelig Folkeparti,0105 Sarpsborg (1992-2019)
2013 2013,2.8,05 Senterpartiet,0105 Sarpsborg (1992-2019)
