kode,aar,befolkning
0101,1951,9946
0101,1952,9899
0101,1953,9924
0101,1954,9897
0101,1955,9834
0101,1956,9841
0101,1957,9794
0101,1958,9767
0101,1959,9855
0101,1960,9973
0101,1961,9963
0101,1962,10104
0101,1963,10019
0101,1964,9999
0101,1965,10002
0101,1966,9837
0101,1967,26525
0101,1968,26588
0101,1969,26689
0101,1970,26694
0101,1971,26687
0101,1972,27024
0101,1973,26958
0101,1974,27182
0101,1975,27124
0101,1976,27082
0101,1977,27056
0101,1978,26979
0101,1979,26810
0101,1980,26696
0101,1981,26528
0101,1982,26361
0101,1983,26219
0101,1984,26050
0101,1985,25876
0101,1986,25844
0101,1987,25807
0101,1988,25848
0101,1989,25841
0101,1990,25816
0102,1951,13228
0102,1952,13350
0102,1953,13499
0102,1954,13586
0102,1955,13564
0102,1956,13434
0102,1957,13292
0102,1958,13397
0102,1959,13402
0102,1960,13334
0102,1961,13300
0102,1962,13351
0102,1963,13368
0102,1964,13255
0102,1965,13315
0102,1966,13357
0102,1967,13179
0102,1968,13021
0102,1969,13128
0102,1970,13151
0102,1971,13363
0102,1972,13311
0102,1973,13272
0102,1974,12983
0102,1975,13017
0102,1976,12888
0102,1977,12874
0102,1978,12747
0102,1979,12422
0102,1980,12136
0102,1981,12017
0102,1982,12023
0102,1983,12143
0102,1984,12039
0102,1985,12069
0102,1986,11878
0102,1987,11859
0102,1988,11757
0102,1989,11886
0102,1990,11782
0103,1951,14361
0103,1952,14549
0103,1953,14393
0103,1954,14373
0103,1955,14296
0103,1956,14192
0103,1957,14114
0103,1958,13955
0103,1959,13827
0103,1960,13738
0103,1961,13695
0103,1962,13582
0103,1963,13406
0103,1964,29831
0103,1965,29839
0103,1966,29894
0103,1967,30138
0103,1968,30357
0103,1969,29933
0103,1970,29870
0103,1971,30009
0103,1972,29671
0103,1973,29594
0103,1974,29375
0103,1975,29226
0103,1976,29015
0103,1977,28893
0103,1978,28572
0103,1979,28265
0103,1980,27968
0103,1981,27862
0103,1982,27719
0103,1983,27578
0103,1984,27264
0103,1985,27125
0103,1986,26838
0103,1987,26664
0103,1988,26479
0103,1989,26525
0103,1990,26527
0104,1951,18505
0104,1952,18787
0104,1953,18848
0104,1954,19016
0104,1955,19243
0104,1956,19446
0104,1957,19648
0104,1958,19780
0104,1959,20125
0104,1960,20458
0104,1961,20581
0104,1962,21066
0104,1963,21147
0104,1964,21621
0104,1965,21932
0104,1966,22354
0104,1967,23199
0104,1968,23738
0104,1969,24267
0104,1970,24571
0104,1971,25210
0104,1972,25494
0104,1973,25526
0104,1974,25523
0104,1975,25724
0104,1976,25780
0104,1977,25720
0104,1978,25410
0104,1979,25407
0104,1980,25455
0104,1981,25239
0104,1982,25088
0104,1983,24975
0104,1984,24881
0104,1985,24830
0104,1986,24548
0104,1987,24668
0104,1988,24747
0104,1989,24720
0104,1990,24657
0111,1951,3335
0111,1952,3328
0111,1953,3289
0111,1954,3188
0111,1955,3146
0111,1956,3070
0111,1957,3043
0111,1958,2971
0111,1959,2920
0111,1960,2872
0111,1961,2749
0111,1962,2645
0111,1963,2603
0111,1964,2542
0111,1965,2490
0111,1966,2440
0111,1967,2386
0111,1968,2323
0111,1969,2282
0111,1970,2309
0111,1971,2247
0111,1972,2285
0111,1973,2350
0111,1974,2389
0111,1975,2435
0111,1976,2458
0111,1977,2494
0111,1978,2538
0111,1979,2554
0111,1980,2571
0111,1981,2668
0111,1982,2761
0111,1983,2838
0111,1984,2870
0111,1985,2889
0111,1986,2921
0111,1987,2968
0111,1988,3090
0111,1989,3181
0111,1990,3213
0112,1951,1338
0112,1952,1301
0112,1953,1330
0112,1954,1321
0112,1955,1327
0112,1956,1335
0112,1957,1323
0112,1958,1304
0112,1959,1289
0112,1960,1287
0112,1961,1280
0112,1962,1297
0112,1963,1270
0113,1951,6454
0113,1952,6421
0113,1953,6449
0113,1954,6517
0113,1955,6709
0113,1956,6944
0113,1957,7139
0113,1958,7388
0113,1959,7504
0113,1960,7624
0113,1961,7738
0113,1962,7873
0113,1963,7876
0113,1964,9219
0113,1965,9336
0113,1966,9448
0113,1967,9569
0113,1968,9660
0113,1969,9678
0113,1970,9857
0113,1971,9970
0113,1972,10376
0113,1973,10477
0113,1974,10501
0113,1975,10461
0113,1976,10511
0113,1977,10562
0113,1978,10619
0113,1979,10704
0113,1980,10717
0113,1981,10855
0113,1982,11035
0113,1983,11139
0113,1984,11255
0113,1985,11291
0113,1986,11466
0113,1987,11708
0113,1988,11907
0113,1989,11961
0113,1990,11923
0114,1951,1167
0114,1952,1174
0114,1953,1152
0114,1954,1171
0114,1955,1183
0114,1956,1177
0114,1957,1199
0114,1958,1218
0114,1959,1238
0114,1960,1262
0114,1961,1265
0114,1962,1268
0114,1963,1310
0114,1964,1313
0114,1965,1333
0114,1966,1357
0114,1967,1396
0114,1968,1386
0114,1969,1367
0114,1970,1384
0114,1971,1432
0114,1972,1460
0114,1973,1486
0114,1974,1581
0114,1975,1612
0114,1976,1694
0114,1977,1697
0114,1978,1771
0114,1979,1878
0114,1980,1941
0114,1981,2001
0114,1982,2040
0114,1983,2097
0114,1984,2126
0114,1985,2137
0114,1986,2182
0114,1987,2184
0114,1988,2181
0114,1989,2185
0114,1990,2211
0115,1951,9477
0115,1952,9693
0115,1953,9894
0115,1954,9942
0115,1955,10103
0115,1956,10366
0115,1957,10655
0115,1958,10920
0115,1959,11038
0115,1960,11228
0115,1961,11314
0115,1962,11460
0115,1963,11432
0115,1964,11459
0115,1965,11464
0115,1966,11599
0115,1967,11697
0115,1968,11838
0115,1969,11933
0115,1970,12329
0115,1971,12525
0115,1972,12525
0115,1973,12520
0115,1974,12751
0115,1975,12726
0115,1976,12864
0115,1977,12943
0115,1978,13004
0115,1979,13261
0115,1980,13350
0115,1981,13349
0115,1982,13473
0115,1983,13466
0115,1984,13475
0115,1985,13495
0115,1986,13671
0115,1987,13899
0115,1988,14098
0115,1989,14278
