kom2024,aar,befolkning
K-3101,1986,25844
K-3101,1987,25807
K-3101,1988,25848
K-3101,1989,25841
K-3101,1990,25816
K-3101,1991,25852
K-3101,1992,25831
K-3101,1993,25896
K-3101,1994,25908
K-3101,1995,25953
K-3101,1996,26021
K-3101,1997,26162
K-3101,1998,26417
K-3101,1999,26523
K-3101,2000,26733
K-3101,2001,27133
K-3101,2002,27204
K-3101,2003,27438
K-3101,2004,27464
K-3101,2005,27582
K-3101,2006,27722
K-3101,2007,27835
K-3101,2008,28092
K-3101,2009,28389
K-3101,2010,28776
K-3101,2011,29220
K-3101,2012,29543
K-3101,2013,29880
K-3101,2014,30132
K-3101,2015,30328
K-3101,2016,30544
K-3101,2017,30790
K-3101,2018,31037
K-3101,2019,31177
K-3101,2020,31373
K-3101,2021,31387
K-3101,2022,31444
K-3101,2023,31730
K-3101,2024,31935
K-3101,2025,32038
K-3101,2026,32082
K-3103,1986,36154
K-3103,1987,36260
K-3103,1988,36631
K-3103,1989,36797
K-3103,1990,36648
K-3103,1991,36786
K-3103,1992,36902
K-3103,1993,37155
K-3103,1994,37260
K-3103,1995,37542
K-3103,1996,37851
K-3103,1997,38132
K-3103,1998,38747
K-3103,1999,39352
K-3103,2000,39921
K-3103,2001,40608
K-3103,2002,40877
K-3103,2003,41309
K-3103,2004,41485
K-3103,2005,41752
K-3103,2006,42044
K-3103,2007,42472
K-3103,2008,42987
K-3103,2009,43693
K-3103,2010,44323
K-3103,2011,44691
K-3103,2012,45414
K-3103,2013,45955
K-3103,2014,46409
K-3103,2015,47044
K-3103,2016,47640
K-3103,2017,48154
K-3103,2018,48671
K-3103,2019,48871
K-3103,2020,49273
K-3103,2021,49668
K-3103,2022,50290
K-3103,2023,51240
K-3103,2024,52051
K-3103,2025,52646
K-3103,2026,53207
K-3105,1986,46274
K-3105,1987,46499
K-3105,1988,46651
K-3105,1989,46875
K-3105,1990,46671
K-3105,1991,46608
K-3105,1992,46611
K-3105,1993,46543
K-3105,1994,46381
K-3105,1995,46449
K-3105,1996,46424
K-3105,1997,46440
K-3105,1998,46692
K-3105,1999,47122
K-3105,2000,47447
K-3105,2001,47993
K-3105,2002,48555
K-3105,2003,49044
K-3105,2004,49423
K-3105,2005,49753
K-3105,2006,50115
K-3105,2007,50593
K-3105,2008,51053
K-3105,2009,51723
K-3105,2010,52159
K-3105,2011,52805
K-3105,2012,53333
K-3105,2013,53696
K-3105,2014,54059
K-3105,2015,54192
K-3105,2016,54678
K-3105,2017,55127
K-3105,2018,55543
K-3105,2019,55997
K-3105,2020,56732
K-3105,2021,57372
K-3105,2022,58182
K-3105,2023,59038
K-3105,2024,59771
K-3105,2025,60139
K-3105,2026,60614
K-3107,1986,63962
K-3107,1987,63991
K-3107,1988,64248
K-3107,1989,64392
K-3107,1990,64448
K-3107,1991,64651
K-3107,1992,64706
K-3107,1993,64813
K-3107,1994,64843
K-3107,1995,65214
K-3107,1996,65711
K-3107,1997,66034
K-3107,1998,66746
K-3107,1999,67415
K-3107,2000,67761
K-3107,2001,68143
K-3107,2002,68505
K-3107,2003,69288
K-3107,2004,69867
K-3107,2005,70418
K-3107,2006,70791
K-3107,2007,71297
K-3107,2008,71976
K-3107,2009,72760
K-3107,2010,73638
K-3107,2011,74579
K-3107,2012,75583
K-3107,2013,76807
K-3107,2014,77591
K-3107,2015,78159
K-3107,2016,78967
K-3107,2017,80121
K-3107,2018,80977
K-3107,2019,81772
K-3107,2020,82385
K-3107,2021,83193
K-3107,2022,83892
K-3107,2023,84444
K-3107,2024,85230
K-3107,2025,85862
K-3107,2026,86243
K-3110,1986,2921
K-3110,1987,2968
K-3110,1988,3090
K-3110,1989,3181
K-3110,1990,3213
K-3110,1991,3222
K-3110,1992,3266
K-3110,1993,3273
K-3110,1994,3364
K-3110,1995,3407
K-3110,1996,3430
K-3110,1997,3462
K-3110,1998,3460
K-3110,1999,3487
K-3110,2000,3494
K-3110,2001,3504
K-3110,2002,3588
K-3110,2003,3617
K-3110,2004,3694
K-3110,2005,3773
K-3110,2006,3821
K-3110,2007,3880
K-3110,2008,3961
K-3110,2009,3998
K-3110,2010,4085
K-3110,2011,4160
K-3110,2012,4206
K-3110,2013,4284
K-3110,2014,4386
K-3110,2015,4480
K-3110,2016,4511
K-3110,2017,4517
K-3110,2018,4540
K-3110,2019,4599
K-3110,2020,4668
K-3110,2021,4694
K-3110,2022,4741
K-3110,2023,4762
K-3110,2024,4787
K-3110,2025,4777
K-3110,2026,4714
K-3112,1986,5819
K-3112,1987,5864
K-3112,1988,5924
K-3112,1989,5930
K-3112,1990,5995
K-3112,1991,6000
K-3112,1992,5960
K-3112,1993,6051
K-3112,1994,6044
K-3112,1995,5993
K-3112,1996,6018
K-3112,1997,6045
K-3112,1998,6073
K-3112,1999,6117
K-3112,2000,6217
K-3112,2001,6275
K-3112,2002,6388
K-3112,2003,6380
K-3112,2004,6380
K-3112,2005,6465
K-3112,2006,6544
K-3112,2007,6654
K-3112,2008,6825
K-3112,2009,6790
K-3112,2010,6882
K-3112,2011,6946
K-3112,2012,6987
K-3112,2013,7053
K-3112,2014,7104
K-3112,2015,7206
K-3112,2016,7357
K-3112,2017,7398
K-3112,2018,7465
K-3112,2019,7542
K-3112,2020,7508
K-3112,2021,7568
K-3112,2022,7633
K-3112,2023,8317
K-3112,2024,7883
K-3112,2025,7850
K-3112,2026,7892
K-3114,1986,3594
K-3114,1987,3742
K-3114,1988,3847
K-3114,1989,3883
K-3114,1990,4070
K-3114,1991,4092
K-3114,1992,4101
K-3114,1993,4148
K-3114,1994,4298
K-3114,1995,4015
K-3114,1996,3884
K-3114,1997,3900
K-3114,1998,3898
K-3114,1999,3933
K-3114,2000,4059
K-3114,2001,4113
K-3114,2002,4126
K-3114,2003,4002
K-3114,2004,4003
K-3114,2005,4020
K-3114,2006,4071
K-3114,2007,4152
K-3114,2008,4268
K-3114,2009,4437
K-3114,2010,4472
K-3114,2011,4573
K-3114,2012,4705
K-3114,2013,4857
K-3114,2014,4978
K-3114,2015,5100
K-3114,2016,5186
K-3114,2017,5335
K-3114,2018,5471
K-3114,2019,5593
K-3114,2020,5736
K-3114,2021,5805
K-3114,2022,5913
K-3114,2023,6023
K-3114,2024,6145
K-3114,2025,6162
K-3114,2026,6229
K-3116,1986,3124
K-3116,1987,3140
K-3116,1988,3160
K-3116,1989,3168
K-3116,1990,3156
K-3116,1991,3128
K-3116,1992,3097
K-3116,1993,3127
K-3116,1994,3069
K-3116,1995,3149
K-3116,1996,3150
K-3116,1997,3120
K-3116,1998,3125
K-3116,1999,3141
K-3116,2000,3140
K-3116,2001,3213
K-3116,2002,3258
K-3116,2003,3327
K-3116,2004,3336
K-3116,2005,3355
K-3116,2006,3400
K-3116,2007,3413
K-3116,2008,3525
K-3116,2009,3492
K-3116,2010,3541
K-3116,2011,3576
K-3116,2012,3631
K-3116,2013,3668
K-3116,2014,3727
K-3116,2015,3731
K-3116,2016,3742
K-3116,2017,3783
K-3116,2018,3831
K-3116,2019,3797
K-3116,2020,3805
K-3116,2021,3825
K-3116,2022,3846
K-3116,2023,3886
K-3116,2024,3919
K-3116,2025,3956
K-3116,2026,3940
K-3118,1986,34500
K-3118,1987,34681
K-3118,1988,34880
K-3118,1989,35103
K-3118,1990,35212
K-3118,1991,35266
K-3118,1992,35142
K-3118,1993,35002
K-3118,1994,35030
K-3118,1995,35150
K-3118,1996,35312
K-3118,1997,35455
K-3118,1998,35969
K-3118,1999,36431
K-3118,2000,36944
K-3118,2001,37436
K-3118,2002,37669
K-3118,2003,37976
K-3118,2004,38270
K-3118,2005,38609
K-3118,2006,38884
K-3118,2007,39206
K-3118,2008,39715
K-3118,2009,40260
K-3118,2010,40686
K-3118,2011,41108
K-3118,2012,41623
K-3118,2013,42237
K-3118,2014,42926
K-3118,2015,43247
K-3118,2016,43472
K-3118,2017,43815
K-3118,2018,44035
K-3118,2019,44320
K-3118,2020,44792
K-3118,2021,45201
K-3118,2022,45608
K-3118,2023,46382
K-3118,2024,47006
K-3118,2025,47449
K-3118,2026,47943
K-3120,1986,7159
K-3120,1987,7139
K-3120,1988,7125
K-3120,1989,7238
K-3120,1990,7182
K-3120,1991,7161
K-3120,1992,7126
K-3120,1993,7127
K-3120,1994,7078
K-3120,1995,7048
K-3120,1996,7020
K-3120,1997,7034
K-3120,1998,7049
K-3120,1999,7080
K-3120,2000,7076
K-3120,2001,7158
K-3120,2002,7159
K-3120,2003,7217
K-3120,2004,7232
K-3120,2005,7284
K-3120,2006,7366
K-3120,2007,7428
K-3120,2008,7515
K-3120,2009,7496
K-3120,2010,7517
K-3120,2011,7601
K-3120,2012,7698
K-3120,2013,7860
K-3120,2014,7974
K-3120,2015,8020
K-3120,2016,8084
K-3120,2017,8173
K-3120,2018,8202
K-3120,2019,8230
K-3120,2020,8255
