kode,variabel,aar,verdi
3101,Fodselsoverskudd,2024,-39
3101,Fodselsoverskudd,2025,-86
3101,Nettoinnflytting,2024,142
3101,Nettoinnflytting,2025,129
3101,Folkemengde,2024,31935
3101,Folkemengde,2025,32038
3101,Folkemengde,2026,32082
3103,Fodselsoverskudd,2024,-61
3103,Fodselsoverskudd,2025,-51
3103,Nettoinnflytting,2024,651
3103,Nettoinnflytting,2025,609
3103,Folkemengde,2024,52051
3103,Folkemengde,2025,52646
3103,Folkemengde,2026,53207
3105,Fodselsoverskudd,2024,7
3105,Fodselsoverskudd,2025,-27
3105,Nettoinnflytting,2024,363
3105,Nettoinnflytting,2025,494
3105,Folkemengde,2024,59771
3105,Folkemengde,2025,60139
3105,Folkemengde,2026,60614
3107,Fodselsoverskudd,2024,-104
3107,Fodselsoverskudd,2025,-86
3107,Nettoinnflytting,2024,738
3107,Nettoinnflytting,2025,461
3107,Folkemengde,2024,85230
3107,Folkemengde,2025,85862
3107,Folkemengde,2026,86243
3110,Fodselsoverskudd,2024,-25
3110,Fodselsoverskudd,2025,-25
3110,Nettoinnflytting,2024,15
3110,Nettoinnflytting,2025,-38
3110,Folkemengde,2024,4787
3110,Folkemengde,2025,4777
3110,Folkemengde,2026,4714
3112,Fodselsoverskudd,2024,-31
3112,Fodselsoverskudd,2025,-9
3112,Nettoinnflytting,2024,0
3112,Nettoinnflytting,2025,52
3112,Folkemengde,2024,7883
3112,Folkemengde,2025,7850
3112,Folkemengde,2026,7892
3114,Fodselsoverskudd,2024,20
3114,Fodselsoverskudd,2025,27
3114,Nettoinnflytting,2024,-3
3114,Nettoinnflytting,2025,40
3114,Folkemengde,2024,6145
3114,Folkemengde,2025,6162
3114,Folkemengde,2026,6229
3116,Fodselsoverskudd,2024,-15
3116,Fodselsoverskudd,2025,5
3116,Nettoinnflytting,2024,51
3116,Nettoinnflytting,2025,-20
3116,Folkemengde,2024,3919
3116,Folkemengde,2025,3956
3116,Folkemengde,2026,3940
3118,Fodselsoverskudd,2024,-24
3118,Fodselsoverskudd,2025,-7
3118,Nettoinnflytting,2024,462
3118,Nettoinnflytting,2025,522
3118,Folkemengde,2024,47006
3118,Folkemengde,2025,47449
3118,Folkemengde,2026,47943
3120,Fodselsoverskudd,2024,-1
3120,Fodselsoverskudd,2025,17
3120,Nettoinnflytting,2024,109
3120,Nettoinnflytting,2025,37
3120,Folkemengde,2024,8420
3120,Folkemengde,2025,8527
3120,Folkemengde,2026,8583
3122,Fodselsoverskudd,2024,-27
3122,Fodselsoverskudd,2025,-9
3122,Nettoinnflytting,2024,25
3122,Nettoinnflytting,2025,2
3122,Folkemengde,2024,3658
3122,Folkemengde,2025,3655
3122,Folkemengde,2026,3647
3124,Fodselsoverskudd,2024,-12
3124,Fodselsoverskudd,2025,-7
3124,Nettoinnflytting,2024,11
3124,Nettoinnflytting,2025,15
3124,Folkemengde,2024,1347
3124,Folkemengde,2025,1346
3124,Folkemengde,2026,1354
3201,Fodselsoverskudd,2024,452
3201,Fodselsoverskudd,2025,304
3201,Nettoinnflytting,2024,973
3201,Nettoinnflytting,2025,553
3201,Folkemengde,2024,130921
3201,Folkemengde,2025,132358
3201,Folkemengde,2026,133228
3203,Fodselsoverskudd,2024,235
3203,Fodselsoverskudd,2025,211
3203,Nettoinnflytting,2024,1435
3203,Nettoinnflytting,2025,804
3203,Folkemengde,2024,98815
3203,Folkemengde,2025,100492
3203,Folkemengde,2026,101509
3205,Fodselsoverskudd,2024,291
3205,Fodselsoverskudd,2025,395
3205,Nettoinnflytting,2024,1272
3205,Nettoinnflytting,2025,600
3205,Folkemengde,2024,94201
3205,Folkemengde,2025,95762
3205,Folkemengde,2026,96771
3207,Fodselsoverskudd,2024,230
3207,Fodselsoverskudd,2025,247
3207,Nettoinnflytting,2024,879
3207,Nettoinnflytting,2025,446
3207,Folkemengde,2024,63560
3207,Folkemengde,2025,64668
3207,Folkemengde,2026,65381
3209,Fodselsoverskudd,2024,205
3209,Fodselsoverskudd,2025,146
3209,Nettoinnflytting,2024,1046
3209,Nettoinnflytting,2025,773
3209,Folkemengde,2024,43814
3209,Folkemengde,2025,45066
3209,Folkemengde,2026,45982
3212,Fodselsoverskudd,2024,30
3212,Fodselsoverskudd,2025,49
3212,Nettoinnflytting,2024,145
3212,Nettoinnflytting,2025,256
3212,Folkemengde,2024,20521
3212,Folkemengde,2025,20698
3212,Folkemengde,2026,21005
3214,Fodselsoverskudd,2024,-48
3214,Fodselsoverskudd,2025,-29
3214,Nettoinnflytting,2024,137
