kode,husholdtype,variabel,aar,verdi
3101,0000,InntSkatt,2024,624100
3101,0000,AntallHushold,2024,15359
3103,0000,InntSkatt,2024,646500
3103,0000,AntallHushold,2024,25197
3105,0000,InntSkatt,2024,637700
3105,0000,AntallHushold,2024,27755
3107,0000,InntSkatt,2024,647800
3107,0000,AntallHushold,2024,40096
3110,0000,InntSkatt,2024,719600
3110,0000,AntallHushold,2024,2306
3112,0000,InntSkatt,2024,719500
3112,0000,AntallHushold,2024,3530
3114,0000,InntSkatt,2024,752900
3114,0000,AntallHushold,2024,2600
3116,0000,InntSkatt,2024,673200
3116,0000,AntallHushold,2024,1793
3118,0000,InntSkatt,2024,649400
3118,0000,AntallHushold,2024,22226
3120,0000,InntSkatt,2024,663900
3120,0000,AntallHushold,2024,3960
3122,0000,InntSkatt,2024,616200
3122,0000,AntallHushold,2024,1798
3124,0000,InntSkatt,2024,659400
3124,0000,AntallHushold,2024,646
3201,0000,InntSkatt,2024,837100
3201,0000,AntallHushold,2024,57675
3203,0000,InntSkatt,2024,821700
3203,0000,AntallHushold,2024,43322
3205,0000,InntSkatt,2024,723500
3205,0000,AntallHushold,2024,43121
3207,0000,InntSkatt,2024,806400
3207,0000,AntallHushold,2024,27711
3209,0000,InntSkatt,2024,675500
3209,0000,AntallHushold,2024,20439
3212,0000,InntSkatt,2024,792400
3212,0000,AntallHushold,2024,8925
3214,0000,InntSkatt,2024,748300
3214,0000,AntallHushold,2024,7618
3216,0000,InntSkatt,2024,764200
3216,0000,AntallHushold,2024,8597
3218,0000,InntSkatt,2024,716800
3218,0000,AntallHushold,2024,9695
3220,0000,InntSkatt,2024,739000
3220,0000,AntallHushold,2024,5050
3222,0000,InntSkatt,2024,695900
3222,0000,AntallHushold,2024,22801
3224,0000,InntSkatt,2024,739500
3224,0000,AntallHushold,2024,9031
3226,0000,InntSkatt,2024,672600
3226,0000,AntallHushold,2024,8478
3228,0000,InntSkatt,2024,723300
3228,0000,AntallHushold,2024,11123
3230,0000,InntSkatt,2024,789900
3230,0000,AntallHushold,2024,3277
3232,0000,InntSkatt,2024,825200
3232,0000,AntallHushold,2024,10956
3234,0000,InntSkatt,2024,710800
3234,0000,AntallHushold,2024,4331
3236,0000,InntSkatt,2024,665200
3236,0000,AntallHushold,2024,3324
3238,0000,InntSkatt,2024,719600
3238,0000,AntallHushold,2024,7240
3240,0000,InntSkatt,2024,700400
3240,0000,AntallHushold,2024,12694
3242,0000,InntSkatt,2024,623500
3242,0000,AntallHushold,2024,1442
3001,0000,InntSkatt,2020,498000
3001,0000,InntSkatt,2021,517000
3001,0000,InntSkatt,2022,544000
3001,0000,InntSkatt,2023,588000
3001,0000,AntallHushold,2020,14681
3001,0000,AntallHushold,2021,14876
3001,0000,AntallHushold,2022,15094
3001,0000,AntallHushold,2023,15321
3002,0000,InntSkatt,2020,516000
3002,0000,InntSkatt,2021,537000
3002,0000,InntSkatt,2022,561000
3002,0000,InntSkatt,2023,606000
3002,0000,AntallHushold,2020,23350
3002,0000,AntallHushold,2021,23846
3002,0000,AntallHushold,2022,24458
3002,0000,AntallHushold,2023,24894
3003,0000,InntSkatt,2020,512000
3003,0000,InntSkatt,2021,533000
3003,0000,InntSkatt,2022,557000
3003,0000,InntSkatt,2023,600000
3003,0000,AntallHushold,2020,26083
3003,0000,AntallHushold,2021,26587
3003,0000,AntallHushold,2022,27106
