kode,etikett
0101,Halden (-2019)
0102,Sarpsborg (-1991)
0103,Fredrikstad (-1993)
0104,Moss (-2019)
0105,Sarpsborg (1992-2019)
0106,Fredrikstad (1994-2019)
0111,Hvaler (-2019)
0113,Borge (-1993)
0114,Varteig (-1991)
0115,Skjeberg (-1991)
0116,Berg  (-1966)
0117,Idd (-1966)
0118,Aremark (-2019)
0119,Marker (1964-2019)
0121,Rømskog (-2019)
0122,Trøgstad (-2019)
0123,Spydeberg (-2019)
0124,Askim (-2019)
0125,Eidsberg (-2019)
0127,Skiptvet (-2019)
0128,Rakkestad (-2019)
0130,Tune (-1991)
0131,Rolvsøy (1911-1993)
0133,Kråkerøy (1908-1993)
0134,Onsøy (-1993)
0135,Råde (-2019)
0136,Rygge (-2019)
0137,Våler (Østfold) (-2019)
0138,Hobøl (-2019)
0199,Uoppgitt kommune Østfold
0211,Vestby (-2019)
0213,Ski (1931-2019)
0214,Ås (-2019)
0215,Frogn (-2019)
0216,Nesodden (-2019)
0217,Oppegård (1915-2019)
0219,Bærum (-2019)
0220,Asker (-2019)
0221,Aurskog-Høland (1966-2019)
0226,Sørum (-2019)
0227,Fet (-2019)
0228,Rælingen (1929-2019)
0229,Enebakk (-2019)
0230,Lørenskog (1908-2019)
0231,Skedsmo (-2019)
0233,Nittedal (-2019)
0234,Gjerdrum (-2019)
0235,Ullensaker (-2019)
0236,Nes (Akershus) (-2019)
0237,Eidsvoll (-2019)
0238,Nannestad (-2019)
0239,Hurdal (-2019)
0299,Uoppgitt kommune Akershus
0301,Oslo - Oslove
0399,Uoppgitt komm. Oslo
0401,Hamar (-1991)
0402,Kongsvinger (-2019)
0403,Hamar (1992-2019)
0412,Ringsaker (-2019)
0414,Vang (-1991)
0415,Løten (-2019)
0417,Stange (-2019)
0418,Nord-Odal (-2019)
0419,Sør-Odal (-2019)
0420,Eidskog (-2019)
0423,Grue (-2019)
0425,Åsnes (-2019)
0426,Våler (Hedmark) (-2019)
0427,Elverum (-2019)
0428,Trysil (-2019)
0429,Åmot (-2019)
0430,Stor-Elvdal (-2019)
0432,Rendalen (1965-2019)
0434,Engerdal (1911-2019)
0435,Tolga-Os (1966-1975)
0436,Tolga (-2019)
0437,Tynset (-2019)
0438,Alvdal (-2019)
0439,Folldal (1914-2019)
0441,Os (Hedmark) (1976-2019)
0499,Uoppgitt kommune Hedmark
0501,Lillehammer (-2019)
0502,Gjøvik (-2019)
0511,Dovre (-2019)
0512,Lesja (-2019)
0513,Skjåk (-2019)
0514,Lom (-2019)
0515,Vågå (-2019)
0516,Nord-Fron (1977-2019)
0517,Sel (1908-2019)
0518,Fron (1966-1976)
0519,Sør-Fron (-2019)
0520,Ringebu (-2019)
0521,Øyer (-2019)
0522,Gausdal (1962-2019)
0528,Østre Toten (-2019)
0529,Vestre Toten (-2019)
0532,Jevnaker (-2019)
0533,Lunner (-2019)
0534,Gran (-2019)
0536,Søndre Land (-2019)
0538,Nordre Land (-2019)
0540,Sør-Aurdal (-2019)
0541,Etnedal (-2019)
0542,Nord-Aurdal (-2019)
0543,Vestre Slidre (-2019)
0544,Øystre Slidre (-2019)
0545,Vang (-2019)
0599,Uoppgitt kommune Oppland
0601,Ringerike (1964-1976)
0602,Drammen (-2019)
0604,Kongsberg (-2019)
0605,Ringerike (1977-2019)
0612,Hole (1977-2019)
0615,Flå (-2019)
0616,Nes (Buskerud) (-2019)
0617,Gol (-2019)
0618,Hemsedal (-2019)
0619,Ål (-2019)
0620,Hol (-2019)
0621,Sigdal (-2019)
0622,Krødsherad (-2019)
0623,Modum (-2019)
0624,Øvre Eiker (-2019)
0625,Nedre Eiker (-2019)
0626,Lier (-2019)
0627,Røyken (-2019)
0628,Hurum (-2019)
0631,Flesberg (-2019)
0632,Rollag (-2019)
0633,Nore og Uvdal (1962-2019)
0699,Uoppgitt kommune Buskerud
0701,Horten (2002-2019)
0702,Holmestrand (-2017)
0703,Horten (-1987)
0704,Tønsberg (1988-2019)
0705,Tønsberg (-1987)
0706,Sandefjord (-2016)
0707,Larvik (-1987)
0708,Stavern (1944-1987)
0709,Larvik (1988-2017)
0710,Sandefjord (2017-2019)
0711,Svelvik (1964-2019)
0712,Larvik (2018-2019)
0713,Sande (Vestfold) (-2019)
0714,Hof (-2017)
0715,Holmestrand (2018-2019)
0716,Re (2002-2019)
0716u,Våle (-2001)
0717,Borre (-1987)
0718,Ramnes (-2001)
0719,Andebu (-2016)
0720,Stokke (-2016)
0721,Sem (-1987)
0722,Nøtterøy (-2017)
0723,Tjøme (-2017)
0724,Sandar (-1967)
0725,Tjølling (-1987)
0726,Brunlanes (-1987)
0727,Hedrum (-1987)
0728,Lardal (-2017)
0729,Færder (2018-2019)
0799,Uoppgitt kommune Vestfold
0805,Porsgrunn (-2019)
0806,Skien (-2019)
0807,Notodden (1913-2019)
0811,Siljan (-2019)
0814,Bamble (-2019)
0815,Kragerø (1960-2019)
0817,Drangedal (-2019)
0819,Nome (1964-2019)
0821,Bø (Telemark) (-2019)
0822,Sauherad (-2019)
0826,Tinn (-2019)
0827,Hjartdal (-2019)
0828,Seljord (-2019)
0829,Kviteseid (-2019)
0830,Nissedal (-2019)
0831,Fyresdal (-2019)
0833,Tokke (1964-2019)
0834,Vinje (-2019)
0899,Uoppgitt kommune Telemark
0901,Risør (-2019)
0903,Arendal (-1991)
0904,Grimstad (-2019)
0906,Arendal (1992-2019)
0911,Gjerstad (-2019)
0912,Vegårshei (-2019)
0914,Tvedestrand (-2019)
0918,Moland (1962-1991)
0919,Froland (-2019)
0920,Øyestad (-1991)
0921,Tromøy (-1991)
0922,Hisøy (-1991)
0923,Fjære (-1970)
0924,Landvik (-1970)
0926,Lillesand (1962-2019)
0928,Birkenes (-2019)
0929,Åmli (-2019)
0932,Mykland (-1966)
0933,Herefoss (-1966)
0935,Iveland (-2019)
0937,Evje og Hornnes (1960-2019)
0938,Bygland (-2019)
0940,Valle (-2019)
0941,Bykle (-2019)
0999,Uoppgitt kommune Aust-Agder
1001,Kristiansand (-2019)
1002,Mandal (-2019)
1003,Farsund (-2019)
1004,Flekkefjord (-2019)
1014,Vennesla (-2019)
1017,Songdalen (1964-2019)
1018,Søgne (-2019)
1021,Marnardal (1964-2019)
1026,Åseral (-2019)
1027,Audnedal (1964-2019)
1029,Lindesnes (1964-2019)
1032,Lyngdal (-2019)
1034,Hægebostad (-2019)
1037,Kvinesdal (-2019)
1046,Sirdal (1960-2019)
1099,Uoppgitt kommune Vest-Agder
1101,Eigersund
1102,Sandnes (-2019)
1103,Stavanger
1106,Haugesund
1108,Sandnes
1111,Sokndal
1112,Lund
1114,Bjerkreim
1119,Hå
1120,Klepp
1121,Time
1122,Gjesdal
1124,Sola
1127,Randaberg
1129,Forsand (-2019)
1130,Strand
1133,Hjelmeland
1134,Suldal
1135,Sauda
1141,Finnøy (-2019)
1142,Rennesøy (-2019)
1144,Kvitsøy
1145,Bokn
1146,Tysvær
1149,Karmøy
1151,Utsira
1154,Vindafjord (1965-2005)
1159,Ølen (2002-2005)
1160,Vindafjord
1199,Uoppgitt kommune Rogaland
1201,Bergen (1972-2019)
1211,Etne (-2019)
1214,Ølen (1916-2001)
1216,Sveio (-2019)
1219,Bømlo (1916-2019)
1221,Stord (-2019)
1222,Fitjar (-2019)
1223,Tysnes (-2019)
1224,Kvinnherad (-2019)
1227,Jondal (-2019)
1228,Odda (1913-2019)
1230,Ullensvang (-1976)
1231,Ullensvang (1977-2019)
1232,Eidfjord (-2019)
1233,Ulvik (-2019)
1234,Granvin (-2019)
1235,Voss (-2019)
1238,Kvam (-2019)
1241,Fusa (-2019)
1242,Samnanger (1907-2019)
1243,Os (Hordaland) (-2019)
1244,Austevoll (-2019)
1245,Sund (-2019)
1246,Fjell (-2019)
1247,Askøy (-2019)
1248,Laksevåg (1918-1971)
1249,Fana (-1971)
1250,Arna (1964-1971)
1251,Vaksdal (1964-2019)
1252,Modalen (1910-2019)
1253,Osterøy (1964-2019)
1255,Åsane (-1971)
1256,Meland (1924-2019)
1259,Øygarden (1964-2019)
1260,Radøy (1964-2019)
1263,Lindås (-2019)
