"Region","PolitParti","Godkjente1 1979"
"0101","01",7680
"0101","02",388
"0101","03",3183
"0101","04",1884
"0101","05",965
"0101","06",620
"0101","07",523
"0102","01",3570
"0102","02",78
"0102","03",2156
"0102","04",675
"0102","06",285
"0102","92",340
"0103","01",7715
"0103","02",159
"0103","03",5128
"0103","04",1494
"0103","05",222
"0103","06",571
"0103","07",605
"0103","09",100
"0103","74",125
"0103","11",139
"0104","01",6509
"0104","02",234
"0104","03",5347
"0104","04",805
"0104","05",187
"0104","06",447
"0104","07",422
"0104","09",124
"0104","74",187
"0104","11",314
"0111","01",455
"0111","03",479
"0111","04",145
"0111","05",97
"0111","06",66
"0111","91",187
"0113","01",3421
"0113","03",1137
"0113","04",431
"0113","05",375
"0113","07",239
"0113","92",418
"0114","01",431
"0114","03",166
"0114","04",225
"0114","05",199
"0115","01",3874
"0115","02",149
"0115","03",1153
"0115","04",915
"0115","05",522
"0115","06",285
"0115","07",223
"0118","01",374
"0118","03",104
"0118","04",179
"0118","05",181
"0119","01",870
"0119","03",252
"0119","04",522
"0119","05",417
"0121","01",191
"0121","03",40
"0121","04",143
"0121","05",62
"0122","01",712
"0122","03",496
"0122","04",398
"0122","05",796
"0123","01",692
"0123","03",696
"0123","04",184
"0123","05",546
"0124","01",2324
"0124","02",101
"0124","03",1485
"0124","04",537
"0124","05",910
"0124","06",211
"0124","07",243
"0124","91",355
"0125","01",1759
"0125","02",61
"0125","03",1058
"0125","04",852
"0125","05",924
"0125","06",125
"0125","07",261
"0127","01",532
"0127","03",237
"0127","04",247
"0127","05",357
"0127","07",92
"0128","01",1149
"0128","03",456
"0128","04",887
"0128","05",960
"0128","07",134
"0128","91",470
"0130","01",4822
"0130","03",2191
"0130","04",1161
"0130","05",394
"0130","06",388
"0130","07",482
"0130","74",96
"0131","01",1711
"0131","03",676
"0131","04",373
"0131","05",200
"0131","06",139
"0133","01",1853
"0133","03",1373
"0133","04",410
"0133","06",170
"0133","07",346
"0133","09",132
"0134","01",2588
"0134","03",2271
"0134","04",911
"0134","05",369
"0134","06",174
"0134","07",416
"0135","01",1027
"0135","03",698
"0135","04",495
"0135","05",447
"0135","91",253
"0136","01",2032
"0136","03",2281
"0136","04",427
"0136","05",526
"0136","06",218
"0136","07",249
"0136","74",219
"0137","03",565
"0137","04",185
"0137","05",311
"0137","92",603
"0138","01",680
"0138","03",512
"0138","04",227
"0138","05",523
"0211","01",1544
"0211","02",130
"0211","03",1442
"0211","04",215
"0211","05",534
"0211","06",219
"0211","07",194
"0211","92",446
"0213","01",3166
"0213","02",415
"0213","03",4080
"0213","04",588
"0213","05",566
"0213","06",664
"0213","07",549
"0213","74",73
"0214","01",1624
"0214","02",140
"0214","03",1748
"0214","04",367
"0214","05",1040
"0214","06",342
"0214","07",495
"0214","74",47
"0215","01",1365
"0215","02",229
"0215","03",1852
"0215","04",181
"0215","05",417
"0215","06",218
"0215","07",412
"0216","01",1278
"0216","02",168
"0216","03",1979
"0216","04",397
"0216","05",180
"0216","06",494
"0216","07",617
"0217","01",2217
"0217","02",289
"0217","03",4283
"0217","04",512
"0217","05",159
"0217","06",422
"0217","07",405
"0217","74",176
"0217","91",493
"0219","01",9088
"0219","02",2156
"0219","03",26371
"0219","04",1982
"0219","05",910
"0219","06",1974
"0219","07",2520
