kom2024,parti,aar,stemmer
3101,01,2023,3001
3101,02,2023,1051
3101,03,2023,4043
3101,04,2023,516
3101,08,2023,554
3101,55,2023,821
3101,05,2023,815
3101,06,2023,697
3101,07,2023,194
3101,10,2023,1439
3101,92,2023,1667
3103,01,2023,5745
3103,02,2023,3217
3103,03,2023,6327
3103,04,2023,501
3103,08,2023,879
3103,55,2023,1245
3103,05,2023,591
3103,06,2023,1327
3103,07,2023,913
3103,10,2023,544
3103,91,2023,1812
3103,92,2023,831
3105,01,2023,6988
3105,02,2023,3986
3105,03,2023,6686
3105,04,2023,986
3105,08,2023,595
3105,55,2023,930
3105,05,2023,911
3105,06,2023,852
3105,07,2023,365
3105,10,2023,976
3105,91,2023,566
3105,92,2023,1449
3107,01,2023,9693
3107,02,2023,5725
3107,03,2023,9677
3107,04,2023,1163
3107,08,2023,1797
3107,55,2023,1556
3107,05,2023,967
3107,06,2023,2081
3107,07,2023,1267
3107,10,2023,2318
3107,91,2023,1443
3107,92,2023,1895
3110,01,2023,1110
3110,02,2023,474
3110,03,2023,455
3110,08,2023,117
3110,05,2023,262
3110,06,2023,215
3110,07,2023,68
3110,91,2023,210
3112,01,2023,703
3112,02,2023,470
3112,03,2023,1538
3112,04,2023,327
3112,08,2023,210
3112,05,2023,411
3114,01,2023,255
3114,02,2023,262
3114,03,2023,889
3114,04,2023,114
3114,05,2023,1048
3114,92,2023,29
3116,01,2023,615
3116,02,2023,214
3116,03,2023,410
3116,04,2023,119
3116,05,2023,421
3118,01,2023,3298
3118,02,2023,2401
3118,03,2023,4752
3118,04,2023,822
3118,08,2023,585
3118,55,2023,505
3118,05,2023,4426
3118,06,2023,891
3118,07,2023,559
3118,91,2023,963
3118,92,2023,589
3120,01,2023,776
3120,02,2023,428
3120,03,2023,506
3120,04,2023,359
3120,55,2023,161
3120,05,2023,1588
3122,01,2023,705
3122,05,2023,596
3122,07,2023,125
3122,90,2023,186
3122,91,2023,262
3124,01,2023,115
3124,03,2023,192
3124,04,2023,91
3124,05,2023,426
3201,01,2023,8584
3201,02,2023,4811
3201,03,2023,32455
3201,04,2023,1259
3201,08,2023,4007
3201,55,2023,1591
3201,05,2023,661
3201,06,2023,3132
3201,07,2023,8085
3201,10,2023,1472
3201,92,2023,2168
3203,01,2023,6048
3203,02,2023,3955
3203,03,2023,22419
3203,04,2023,900
3203,08,2023,3538
3203,55,2023,1246
3203,05,2023,1205
3203,06,2023,2596
3203,07,2023,3694
3203,10,2023,1092
3203,92,2023,2267
3205,01,2023,9563
3205,02,2023,5138
3205,03,2023,11286
3205,04,2023,879
3205,08,2023,1378
3205,55,2023,1016
3205,05,2023,2183
3205,06,2023,2350
3205,07,2023,1550
3205,10,2023,663
3205,91,2023,2255
3205,92,2023,1633
3207,01,2023,5729
3207,02,2023,3337
3207,03,2023,11896
3207,04,2023,794
3207,08,2023,1772
3207,55,2023,770
3207,05,2023,842
3207,06,2023,2062
3207,07,2023,2216
3207,10,2023,1305
3207,92,2023,832
3209,01,2023,3839
3209,02,2023,4941
3209,03,2023,3701
3209,04,2023,303
3209,08,2023,432
3209,55,2023,533
3209,05,2023,1504
3209,06,2023,649
3209,07,2023,647
3209,92,2023,242
3212,01,2023,2535
3212,02,2023,618
3212,03,2023,2589
3212,04,2023,283
3212,08,2023,1383
3212,55,2023,1203
3212,05,2023,219
3212,06,2023,997
3212,07,2023,841
3212,10,2023,273
3212,92,2023,130
3214,01,2023,1108
3214,02,2023,793
3214,03,2023,3422
3214,04,2023,104
3214,08,2023,430
3214,55,2023,259
3214,05,2023,534
3214,06,2023,676
3214,07,2023,554
3214,10,2023,542
3214,92,2023,364
3216,01,2023,2399
3216,02,2023,929
3216,03,2023,2481
3216,04,2023,173
3216,08,2023,675
3216,55,2023,289
3216,05,2023,495
3216,06,2023,463
3216,07,2023,476
3216,91,2023,234
3216,92,2023,506
3218,01,2023,1873
3218,02,2023,1126
3218,03,2023,2925
3218,04,2023,193
3218,08,2023,767
3218,55,2023,418
3218,05,2023,640
3218,06,2023,965
3218,07,2023,579
3218,92,2023,571
3220,01,2023,1076
3220,02,2023,878
3220,03,2023,1310
3220,04,2023,146
3220,08,2023,95
3220,55,2023,131
3220,05,2023,722
3220,06,2023,272
3220,07,2023,220
3222,01,2023,4732
3222,02,2023,2568
3222,03,2023,6747
3222,04,2023,381
3222,08,2023,876
3222,55,2023,606
3222,05,2023,847
3222,06,2023,1254
3222,07,2023,1296
3222,92,2023,622
3224,01,2023,3287
3224,02,2023,840
3224,03,2023,2390
3224,04,2023,209
3224,08,2023,297
3224,55,2023,153
3224,05,2023,293
3224,06,2023,400
3224,07,2023,332
3224,92,2023,407
3226,01,2023,2982
3226,02,2023,1565
3226,03,2023,870
3226,04,2023,458
3226,08,2023,92
3226,55,2023,264
3226,05,2023,1508
3226,06,2023,275
3226,07,2023,108
3228,01,2023,2692
3228,02,2023,2264
3228,03,2023,2031
3228,04,2023,228
3228,08,2023,496
3228,05,2023,1216
3228,07,2023,387
3228,90,2023,734
3228,92,2023,650
3230,01,2023,781
3230,02,2023,444
3230,03,2023,1132
3230,04,2023,150
3230,08,2023,209
3230,05,2023,485
3230,06,2023,143
3230,07,2023,180
3232,01,2023,2257
3232,02,2023,1492
3232,03,2023,3893
3232,04,2023,287
3232,08,2023,713
3232,55,2023,343
3232,05,2023,579
3232,06,2023,931
3232,07,2023,1002
3232,92,2023,454
3234,01,2023,1952
3234,02,2023,424
3234,03,2023,937
3234,08,2023,143
3234,55,2023,170
3234,05,2023,550
3234,06,2023,194
3234,07,2023,140
3234,92,2023,98
3236,01,2023,1570
3236,02,2023,471
3236,03,2023,531
3236,08,2023,92
3236,55,2023,112
3236,05,2023,232
3236,06,2023,234
3238,01,2023,1559
3238,02,2023,848
3238,03,2023,1100
3238,04,2023,229
3238,08,2023,149
3238,55,2023,134
3238,05,2023,539
3238,06,2023,195
3238,07,2023,145
3238,91,2023,777
3238,92,2023,420
3240,01,2023,2562
3240,02,2023,1651
3240,03,2023,3823
3240,04,2023,244
3240,08,2023,344
3240,55,2023,377
3240,05,2023,952
3240,06,2023,737
3240,07,2023,309
3240,10,2023,480
3240,92,2023,457
3242,01,2023,189
