"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","validFromInRequestedRange","validToInRequestedRange","notes"
"01","","1","Sentralitet: 1 (925-1000) - høy","","","","","","",""
"0101","03","2","Halden (-2019)","","","","","","","842"
"0102","02","2","Sarpsborg (-1991)","","","","","","","877"
"0103","02","2","Fredrikstad (-1993)","","","","","","","870"
"0104","02","2","Moss (-2019)","","","","","","","900"
"0105","02","2","Sarpsborg (1992-2019)","","","","","","","877"
"0106","02","2","Fredrikstad (1994-2019)","","","","","","","870"
"0111","04","2","Hvaler (-2019)","","","","","","","723"
"0113","02","2","Borge (-1993)","","","","","","","870"
"0114","02","2","Varteig (-1991)","","","","","","","877"
"0115","02","2","Skjeberg (-1991)","","","","","","","877"
"0118","05","2","Aremark (-2019)","","","","","","","662"
"0119","04","2","Marker (-2019)","","","","","","","732"
"0121","03","2","Rømskog (-2019)","","","","","","","797"
"0122","03","2","Trøgstad (-2019)","","","","","","","858"
"0123","03","2","Spydeberg (-2019)","","","","","","","858"
"0124","03","2","Askim (-2019)","","","","","","","858"
"0125","03","2","Eidsberg (-2019)","","","","","","","858"
"0127","03","2","Skiptvet (-2019)","","","","","","","792"
"0128","03","2","Rakkestad (-2019)","","","","","","","785"
"0130","02","2","Tune (-1991)","","","","","","","877"
"0131","02","2","Rolvsøy (-1993)","","","","","","","870"
"0133","02","2","Kråkerøy (-1993)","","","","","","","870"
"0134","02","2","Onsøy (-1993)","","","","","","","870"
"0135","03","2","Råde (-2019)","","","","","","","836"
"0136","02","2","Rygge (-2019)","","","","","","","900"
"0137","03","2","Våler (Østfold) (-2019)","","","","","","","824"
"0138","03","2","Hobøl (-2019)","","","","","","","858"
"02","","1","Sentralitet: 2 (870-924)","","","","","","",""
"0211","02","2","Vestby (-2019)","","","","","","","877"
"0213","02","2","Ski (-2019)","","","","","","","923"
"0214","02","2","Ås (-2019)","","","","","","","895"
"0215","02","2","Frogn (-2019)","","","","","","","891"
"0216","03","2","Nesodden (-2019)","","","","","","","850"
"0217","02","2","Oppegård (-2019)","","","","","","","923"
"0219","01","2","Bærum (-2019)","","","","","","","966"
"0220","02","2","Asker (-2019)","","","","","","","910"
"0221","03","2","Aurskog-Høland (-2019)","","","","","","","797"
"0226","01","2","Sørum (-2019)","","","","","","","940"
"0227","01","2","Fet (-2019)","","","","","","","940"
"0228","01","2","Rælingen (-2019)","","","","","","","948"
"0229","03","2","Enebakk (-2019)","","","","","","","827"
"0230","01","2","Lørenskog (-2019)","","","","","","","978"
"0231","01","2","Skedsmo (-2019)","","","","","","","940"
"0233","02","2","Nittedal (-2019)","","","","","","","886"
"0234","02","2","Gjerdrum (-2019)","","","","","","","880"
