"Region","PolitParti","Godkjente1 2021"
"3001","01",5299
"3001","02",1915
"3001","03",2843
"3001","04",623
"3001","08",598
"3001","55",925
"3001","05",2446
"3001","06",1002
"3001","07",458
"3001","150",17
"3001","122",252
"3001","151",17
"3001","152",21
"3001","123",108
"3001","133",40
"3001","153",19
"3001","10",292
"3001","124",17
"3001","132",29
"3002","01",8326
"3002","02",3017
"3002","03",6329
"3002","04",525
"3002","08",1040
"3002","55",1471
"3002","05",2321
"3002","06",2166
"3002","07",1201
"3002","150",32
"3002","122",329
"3002","151",38
"3002","152",38
"3002","123",63
"3002","133",46
"3002","153",62
"3002","10",249
"3002","124",23
"3002","132",69
"3003","01",10451
"3003","02",4184
"3003","03",4840
"3003","04",1032
"3003","08",642
"3003","55",1170
"3003","05",3679
"3003","06",1558
"3003","07",600
"3003","150",28
"3003","122",486
"3003","151",72
"3003","152",34
"3003","123",178
"3003","133",61
"3003","153",58
"3003","10",357
"3003","124",31
"3003","132",59
"3004","01",14892
"3004","02",5728
"3004","03",8374
"3004","04",1403
"3004","08",1598
"3004","55",2362
"3004","05",4035
"3004","06",3175
"3004","07",1449
"3004","150",52
"3004","122",522
"3004","151",100
"3004","152",67
"3004","123",146
"3004","133",67
"3004","153",71
"3004","10",673
"3004","124",50
"3004","132",104
"3005","01",15523
"3005","02",6420
"3005","03",12703
"3005","04",1346
"3005","08",1765
"3005","55",2086
"3005","05",4343
"3005","06",3357
"3005","07",2273
"3005","150",47
"3005","122",694
"3005","151",63
"3005","152",93
"3005","123",134
"3005","133",84
"3005","153",227
"3005","10",199
"3005","124",40
"3005","132",177
"3006","01",4487
"3006","02",1677
"3006","03",3052
"3006","04",252
"3006","08",559
"3006","55",486
"3006","05",2702
"3006","06",966
"3006","07",701
"3006","150",12
"3006","122",244
"3006","151",10
"3006","152",35
"3006","123",42
"3006","133",35
"3006","153",25
"3006","10",56
"3006","124",15
"3006","132",41
"3007","01",5068
"3007","02",2077
"3007","03",3366
"3007","04",303
"3007","08",452
"3007","55",705
"3007","05",2930
"3007","06",1004
"3007","07",483
"3007","150",21
"3007","122",237
"3007","151",13
"3007","152",30
"3007","123",38
"3007","133",52
"3007","153",45
"3007","10",82
"3007","124",18
"3007","132",48
"3011","01",862
"3011","02",446
"3011","03",705
"3011","04",60
"3011","08",96
"3011","55",158
"3011","05",356
"3011","06",183
"3011","07",85
"3011","150",2
"3011","122",42
"3011","151",3
"3011","152",7
"3011","123",11
"3011","133",1
"3011","153",2
"3011","10",28
"3011","124",3
"3011","132",8
"3012","01",159
"3012","02",73
"3012","03",88
"3012","04",63
"3012","08",8
"3012","55",26
"3012","05",396
"3012","06",24
"3012","07",12
"3012","150",0
"3012","122",8
"3012","151",0
"3012","152",0
"3012","123",5
"3012","133",1
"3012","153",1
"3012","10",4
"3012","124",0
"3012","132",3
"3013","01",623
"3013","02",191
"3013","03",261
"3013","04",133
"3013","08",26
"3013","55",56
"3013","05",717
"3013","06",61
"3013","07",48
"3013","150",0
"3013","122",26
"3013","151",0
"3013","152",1
"3013","123",11
"3013","133",6
"3013","153",3
"3013","10",14
"3013","124",1
"3013","132",4
"3014","01",5731
"3014","02",3132
"3014","03",4454
"3014","04",840
"3014","08",510
"3014","55",831
"3014","05",5004
"3014","06",1164
"3014","07",650
"3014","150",18
"3014","122",453
"3014","151",36
"3014","152",31
"3014","123",91
"3014","133",26
"3014","153",80
"3014","10",171
"3014","124",22
"3014","132",84
"3015","01",469
"3015","02",295
"3015","03",269
"3015","04",92
"3015","08",34
"3015","55",70
"3015","05",638
"3015","06",78
"3015","07",36
"3015","150",3
"3015","122",60
"3015","151",3
"3015","152",5
"3015","123",10
"3015","133",1
"3015","153",5
"3015","10",13
"3015","124",2
"3015","132",2
"3016","01",945
"3016","02",540
"3016","03",554
"3016","04",257
"3016","08",66
"3016","55",114
"3016","05",1677
"3016","06",119
"3016","07",45
"3016","150",10
"3016","122",61
"3016","151",5
"3016","152",10
"3016","123",35
"3016","133",6
"3016","153",20
"3016","10",13
"3016","124",0
"3016","132",12
"3017","01",962
"3017","02",566
"3017","03",936
"3017","04",277
"3017","08",94
"3017","55",126
"3017","05",834
"3017","06",167
"3017","07",99
"3017","150",6
"3017","122",45
"3017","151",6
"3017","152",9
"3017","123",24
"3017","133",4
"3017","153",12
"3017","10",45
"3017","124",4
"3017","132",9
"3018","01",626
"3018","02",440
"3018","03",558
"3018","04",109
"3018","08",70
"3018","55",109
"3018","05",746
"3018","06",143
"3018","07",88
"3018","150",4
"3018","122",64
"3018","151",5
"3018","152",7
"3018","123",6
"3018","133",4
"3018","153",3
"3018","10",10
"3018","124",2
"3018","132",10
"3019","01",2678
"3019","02",1068
"3019","03",2417
"3019","04",179
"3019","08",507
"3019","55",454
"3019","05",955
"3019","06",716
"3019","07",553
"3019","150",12
"3019","122",141
"3019","151",11
"3019","154",1
"3019","152",14
"3019","123",28
"3019","133",14
"3019","153",11
"3019","10",57
"3019","124",9
"3019","132",22
"3020","01",8823
"3020","02",3210
"3020","03",9765
"3020","04",844
"3020","08",1828
"3020","55",1329
"3020","05",1961
"3020","06",2662
"3020","07",2586
"3020","150",34
"3020","122",285
"3020","151",48
"3020","154",10
"3020","152",46
"3020","123",42
"3020","133",62
"3020","153",127
"3020","10",297
"3020","124",29
"3020","132",116
"3021","01",2638
"3021","02",1015
"3021","03",2078
"3021","04",314
"3021","08",842
"3021","55",654
"3021","05",1156
"3021","06",1107
"3021","07",679
"3021","150",9
"3021","122",114
"3021","151",11
"3021","154",7
"3021","152",15
"3021","123",24
"3021","133",22
"3021","153",37
"3021","10",39
"3021","124",14
"3021","132",25
"3022","01",2126
"3022","02",1048
"3022","03",3262
"3022","04",125
"3022","08",533
"3022","55",345
"3022","05",642
"3022","06",650
"3022","07",693
"3022","150",7
"3022","122",107
"3022","151",10
"3022","154",2
"3022","152",4
"3022","123",21
"3022","133",10
"3022","153",24
"3022","10",50
"3022","124",13
"3022","132",19
"3023","01",2605
"3023","02",870
"3023","03",2311
"3023","04",224
"3023","08",1306
"3023","55",1132
"3023","05",550
"3023","06",1507
"3023","07",758
"3023","150",12
"3023","122",123
"3023","151",7
"3023","154",1
"3023","152",24
"3023","123",21
"3023","133",17
"3023","153",27
"3023","10",34
"3023","124",11
"3023","132",31
"3024","01",14151
"3024","02",5079
"3024","03",29154
"3024","04",1209
"3024","08",4244
"3024","55",2042
"3024","05",2156
"3024","06",4236
"3024","07",8511
"3024","150",47
"3024","122",512
"3024","151",61
"3024","154",4
"3024","152",41
"3024","123",100
"3024","133",109
"3024","153",161
"3024","10",367
"3024","124",66
"3024","132",138
"3025","01",11658
"3025","02",4869
"3025","03",17547
"3025","04",1106
"3025","08",2966
"3025","55",1810
"3025","05",3044
"3025","06",3541
"3025","07",4907
"3025","150",19
"3025","122",519
"3025","151",46
"3025","154",9
"3025","152",84
"3025","123",92
"3025","133",91
"3025","153",154
"3025","10",255
"3025","124",38
"3025","132",104
"3026","01",2969
"3026","02",1232
"3026","03",1229
"3026","04",318
"3026","08",163
"3026","55",304
"3026","05",2517
"3026","06",326
"3026","07",145
"3026","150",6
"3026","122",209
"3026","151",14
"3026","154",4
"3026","152",17
"3026","123",39
"3026","133",12
"3026","153",18
"3026","10",50
"3026","124",8
"3026","132",27
"3027","01",3268
"3027","02",1160
"3027","03",2130
"3027","04",206
"3027","08",280
"3027","55",345
"3027","05",759
"3027","06",670
"3027","07",442
"3027","150",8
"3027","122",112
"3027","151",30
"3027","154",2
"3027","152",9
"3027","123",22
"3027","133",16
"3027","153",21
"3027","10",78
"3027","124",9
"3027","132",55
"3028","01",1462
"3028","02",941
"3028","03",1181
"3028","04",163
"3028","08",118
"3028","55",205
"3028","05",917
"3028","06",326
"3028","07",177
"3028","150",3
"3028","122",97
"3028","151",18
"3028","154",2
"3028","152",16
"3028","123",11
"3028","133",9
"3028","153",15
"3028","10",32
"3028","124",10
"3028","132",23
"3029","01",7067
"3029","02",2522
"3029","03",5475
"3029","04",411
"3029","08",862
"3029","55",959
"3029","05",1380
"3029","06",1760
"3029","07",1168
"3029","150",14
"3029","122",234
"3029","151",85
"3029","154",10
"3029","152",20
"3029","123",47
"3029","133",45
"3029","153",89
"3029","10",188
"3029","124",19
"3029","132",80
"3030","01",14124
"3030","02",5231
"3030","03",10233
"3030","04",932
"3030","08",1476
"3030","55",1838
"3030","05",4705
"3030","06",3117
"3030","07",1979
"3030","150",59
"3030","122",485
"3030","151",123
"3030","154",41
"3030","152",83
"3030","123",94
"3030","133",79
"3030","153",95
"3030","10",325
"3030","124",32
"3030","132",190
"3031","01",3802
"3031","02",1453
"3031","03",3219
"3031","04",243
"3031","08",620
"3031","55",533
"3031","05",1238
"3031","06",1061
"3031","07",779
"3031","150",13
"3031","122",132
"3031","151",42
"3031","154",1
"3031","152",22
"3031","123",18
"3031","133",16
"3031","153",32
"3031","10",62
"3031","124",13
"3031","132",44
"3032","01",1071
"3032","02",448
"3032","03",925
"3032","04",126
"3032","08",126
"3032","55",93
"3032","05",570
"3032","06",184
"3032","07",180
"3032","150",1
"3032","122",54
"3032","151",7
"3032","154",1
"3032","152",3
"3032","123",9
"3032","133",2
"3032","153",7
"3032","10",16
"3032","124",2
"3032","132",15
"3033","01",5571
"3033","02",3172
"3033","03",4235
"3033","04",270
"3033","08",473
"3033","55",747
"3033","05",2222
"3033","06",1103
"3033","07",699
"3033","150",20
"3033","122",249
"3033","151",40
"3033","154",4
"3033","152",24
"3033","123",37
"3033","133",58
"3033","153",49
"3033","10",129
"3033","124",21
"3033","132",78
"3034","01",3754
"3034","02",1774
"3034","03",1694
"3034","04",225
"3034","08",328
"3034","55",565
"3034","05",2764
"3034","06",694
"3034","07",345
"3034","150",4
"3034","122",225
"3034","151",24
"3034","154",1
"3034","152",18
"3034","123",24
"3034","133",26
"3034","153",20
"3034","10",66
"3034","124",14
"3034","132",60
"3035","01",3853
"3035","02",1786
"3035","03",2283
"3035","04",290
"3035","08",389
"3035","55",680
"3035","05",2319
"3035","06",869
"3035","07",362
"3035","150",21
"3035","122",184
"3035","151",18
"3035","154",9
"3035","152",31
"3035","123",42
"3035","133",23
"3035","153",47
"3035","10",160
"3035","124",17
"3035","132",78
"3036","01",2036
"3036","02",1061
"3036","03",1207
"3036","04",191
"3036","08",155
"3036","55",235
"3036","05",1267
"3036","06",362
"3036","07",237
"3036","150",12
"3036","122",133
"3036","151",20
"3036","154",2
"3036","152",11
"3036","123",21
"3036","133",19
"3036","153",14
"3036","10",49
"3036","124",12
"3036","132",28
"3037","01",365
"3037","02",189
"3037","03",200
"3037","04",84
"3037","08",69
"3037","55",68
"3037","05",442
"3037","06",69
"3037","07",35
"3037","150",0
"3037","122",33
"3037","151",5
"3037","154",0
"3037","152",1
"3037","123",6
"3037","133",1
"3037","153",2
"3037","10",13
"3037","124",0
"3037","132",9
"3038","01",846
"3038","02",379
"3038","03",1199
"3038","04",109
"3038","08",135
"3038","55",127
"3038","05",490
"3038","06",199
"3038","07",177
"3038","150",5
"3038","122",73
"3038","151",1
"3038","152",4
"3038","123",5
"3038","133",6
"3038","153",15
"3038","10",11
"3038","124",2
"3038","132",8
"3039","01",131
"3039","02",61
"3039","03",105
"3039","04",7
"3039","08",9
"3039","55",11
"3039","05",228
"3039","06",13
"3039","07",12
"3039","150",0
"3039","122",7
"3039","151",0
"3039","152",2
"3039","123",0
"3039","133",2
"3039","153",0
"3039","10",1
"3039","124",0
"3039","132",2
"3040","01",509
"3040","02",150
"3040","03",284
"3040","04",50
"3040","08",31
"3040","55",55
"3040","05",678
"3040","06",65
"3040","07",26
"3040","150",2
"3040","122",18
"3040","151",2
"3040","152",2
"3040","123",2
"3040","133",2
"3040","153",1
"3040","10",5
"3040","124",2
"3040","132",3
"3041","01",626
"3041","02",274
"3041","03",494
"3041","04",42
"3041","08",48
"3041","55",47
"3041","05",709
"3041","06",121
"3041","07",51
"3041","150",1
"3041","122",26
"3041","151",0
"3041","152",4
"3041","123",6
"3041","133",2
"3041","153",1
"3041","10",5
"3041","124",0
"3041","132",4
"3042","01",231
"3042","02",117
"3042","03",266
"3042","04",86
"3042","08",48
"3042","55",45
"3042","05",364
"3042","06",56
"3042","07",41
"3042","150",0
"3042","122",16
"3042","151",3
"3042","152",3
"3042","123",4
"3042","133",2
"3042","153",13
"3042","10",3
"3042","124",0
"3042","132",1
"3043","01",609
"3043","02",265
"3043","03",387
"3043","04",142
"3043","08",75
"3043","55",75
"3043","05",982
"3043","06",156
"3043","07",74
"3043","150",2
"3043","122",12
"3043","151",0
"3043","152",1
"3043","123",4
"3043","133",4
"3043","153",7
"3043","10",4
"3043","124",0
"3043","132",4
"3044","01",505
"3044","02",256
"3044","03",572
"3044","04",47
"3044","08",56
"3044","55",62
"3044","05",742
"3044","06",117
"3044","07",84
"3044","150",1
"3044","122",9
"3044","151",2
"3044","152",9
"3044","123",9
"3044","133",1
"3044","153",1
"3044","10",4
"3044","124",1
"3044","132",11
"3045","01",382
"3045","02",239
"3045","03",286
"3045","04",11
"3045","08",21
"3045","55",35
"3045","05",948
"3045","06",50
"3045","07",18
"3045","150",3
"3045","122",22
"3045","151",1
"3045","152",1
"3045","123",1
"3045","133",0
"3045","153",2
"3045","10",4
"3045","124",1
"3045","132",3
"3046","01",339
"3046","02",114
"3046","03",209
"3046","04",13
"3046","08",10
"3046","55",33
"3046","05",391
"3046","06",35
"3046","07",26
"3046","150",1
"3046","122",19
"3046","151",2
"3046","152",5
"3046","123",0
"3046","133",2
"3046","153",2
"3046","10",2
"3046","124",0
"3046","132",3
"3047","01",2466
"3047","02",1315
"3047","03",1119
"3047","04",141
"3047","08",150
"3047","55",243
"3047","05",1654
"3047","06",316
"3047","07",138
"3047","150",8
"3047","122",140
"3047","151",6
"3047","152",11
"3047","123",14
"3047","133",10
"3047","153",28
"3047","10",23
"3047","124",4
"3047","132",24
"3048","01",2695
"3048","02",1577
"3048","03",2063
"3048","04",387
"3048","08",228
"3048","55",273
"3048","05",2103
"3048","06",471
"3048","07",258
"3048","150",5
"3048","122",189
"3048","151",7
"3048","152",26
"3048","123",33
"3048","133",23
"3048","153",18
"3048","10",33
"3048","124",11
"3048","132",29
"3049","01",4002
"3049","02",1616
"3049","03",4336
"3049","04",277
"3049","08",537
"3049","55",421
"3049","05",1499
"3049","06",799
"3049","07",726
"3049","150",24
"3049","122",155
"3049","151",11
"3049","152",33
"3049","123",19
"3049","133",17
"3049","153",40
"3049","10",66
"3049","124",15
"3049","132",43
"3050","01",289
"3050","02",279
"3050","03",200
"3050","04",9
"3050","08",24
"3050","55",40
"3050","05",571
"3050","06",44
"3050","07",22
"3050","150",1
"3050","122",21
"3050","151",1
"3050","152",3
"3050","123",6
"3050","133",1
"3050","153",2
"3050","10",4
"3050","124",1
"3050","132",2
"3051","01",241
"3051","02",55
"3051","03",64
"3051","04",25
"3051","08",12
"3051","55",21
"3051","05",377
"3051","06",33
"3051","07",11
"3051","150",2
"3051","122",6
"3051","151",0
"3051","152",2
"3051","123",2
"3051","133",0
"3051","153",4
"3051","10",3
"3051","124",1
"3051","132",0
"3052","01",304
"3052","02",151
"3052","03",162
"3052","04",26
"3052","08",15
"3052","55",36
"3052","05",619
"3052","06",51
"3052","07",9
"3052","150",2
"3052","122",25
"3052","151",0
"3052","152",3
"3052","123",7
"3052","133",0
