kom2024,parti,aar,stemmer
3101,01,2025,5692
3101,02,2025,4979
3101,03,2025,2049
3101,04,2025,783
3101,08,2025,747
3101,55,2025,1064
3101,05,2025,818
3101,06,2025,682
3101,07,2025,400
3101,122,2025,160
3101,158,2025,34
3101,154,2025,103
3101,152,2025,262
3101,123,2025,112
3101,159,2025,17
3101,153,2025,19
3101,10,2025,375
3101,132,2025,27
3103,01,2025,9376
3103,02,2025,7478
3103,03,2025,4750
3103,04,2025,701
3103,08,2025,1398
3103,55,2025,1896
3103,05,2025,652
3103,06,2025,1597
3103,07,2025,1089
3103,122,2025,233
3103,158,2025,94
3103,154,2025,218
3103,152,2025,130
3103,123,2025,90
3103,159,2025,35
3103,153,2025,66
3103,10,2025,390
3103,132,2025,30
3105,01,2025,10198
3105,02,2025,10418
3105,03,2025,3583
3105,04,2025,1242
3105,08,2025,785
3105,55,2025,1561
3105,05,2025,1160
3105,06,2025,1268
3105,07,2025,615
3105,122,2025,405
3105,158,2025,104
3105,154,2025,203
3105,152,2025,156
3105,123,2025,166
3105,159,2025,38
3105,153,2025,25
3105,10,2025,432
3105,132,2025,37
3107,01,2025,15789
3107,02,2025,13816
3107,03,2025,6359
3107,04,2025,1780
3107,08,2025,1960
3107,55,2025,2665
3107,05,2025,1231
3107,06,2025,2543
3107,07,2025,1327
3107,122,2025,419
3107,158,2025,145
3107,154,2025,298
3107,152,2025,284
3107,123,2025,171
3107,159,2025,75
3107,153,2025,52
3107,10,2025,764
3107,132,2025,64
3110,01,2025,1002
3110,02,2025,925
3110,03,2025,474
3110,04,2025,94
3110,08,2025,126
3110,55,2025,158
3110,05,2025,139
3110,06,2025,110
3110,07,2025,126
3110,122,2025,22
3110,158,2025,12
3110,154,2025,13
3110,152,2025,12
3110,123,2025,15
3110,159,2025,5
3110,153,2025,1
3110,10,2025,31
3110,132,2025,3
3112,01,2025,1118
3112,02,2025,1407
3112,03,2025,612
3112,04,2025,317
3112,08,2025,141
3112,55,2025,160
3112,05,2025,359
3112,06,2025,155
3112,07,2025,86
3112,122,2025,45
3112,158,2025,4
3112,154,2025,34
3112,152,2025,35
3112,123,2025,40
3112,159,2025,4
3112,153,2025,7
3112,10,2025,52
3112,132,2025,8
3114,01,2025,713
3114,02,2025,1146
3114,03,2025,389
3114,04,2025,143
3114,08,2025,82
3114,55,2025,148
3114,05,2025,363
3114,06,2025,96
3114,07,2025,69
3114,122,2025,30
3114,158,2025,11
3114,154,2025,32
3114,152,2025,21
3114,123,2025,12
3114,159,2025,4
3114,153,2025,6
3114,10,2025,27
3114,132,2025,3
3116,01,2025,506
3116,02,2025,817
3116,03,2025,191
3116,04,2025,130
3116,08,2025,54
3116,55,2025,91
3116,05,2025,294
3116,06,2025,64
3116,07,2025,29
3116,122,2025,32
3116,158,2025,9
3116,154,2025,23
3116,152,2025,22
3116,123,2025,9
3116,153,2025,4
3116,10,2025,21
3116,132,2025,1
3118,01,2025,6495
3118,02,2025,7981
3118,03,2025,3210
3118,04,2025,1067
3118,08,2025,685
3118,55,2025,1181
3118,05,2025,2172
3118,06,2025,1026
3118,07,2025,585
3118,122,2025,287
3118,158,2025,85
3118,154,2025,215
3118,152,2025,133
3118,123,2025,116
3118,159,2025,34
3118,153,2025,47
3118,10,2025,275
3118,132,2025,47
3120,01,2025,1225
3120,02,2025,1417
3120,03,2025,443
3120,04,2025,332
3120,08,2025,74
3120,55,2025,177
3120,05,2025,779
3120,06,2025,112
3120,07,2025,56
