kode,naering,kjonn,alder,variabel,aar,verdi
3101,00-99,0,15-74,Sysselsatte,2024,14295
3101,00-99,0,15-74,Sysselsatte,2025,14261
3101,01-03,0,15-74,Sysselsatte,2024,219
3101,01-03,0,15-74,Sysselsatte,2025,221
3101,10-33,0,15-74,Sysselsatte,2024,2283
3101,10-33,0,15-74,Sysselsatte,2025,2285
3101,84,0,15-74,Sysselsatte,2024,892
3101,84,0,15-74,Sysselsatte,2025,1027
3101,85,0,15-74,Sysselsatte,2024,1420
3101,85,0,15-74,Sysselsatte,2025,1394
3101,86-88,0,15-74,Sysselsatte,2024,3132
3101,86-88,0,15-74,Sysselsatte,2025,3192
3103,00-99,0,15-74,Sysselsatte,2024,25152
3103,00-99,0,15-74,Sysselsatte,2025,25062
3103,01-03,0,15-74,Sysselsatte,2024,262
3103,01-03,0,15-74,Sysselsatte,2025,268
3103,10-33,0,15-74,Sysselsatte,2024,1455
3103,10-33,0,15-74,Sysselsatte,2025,1578
3103,84,0,15-74,Sysselsatte,2024,1999
3103,84,0,15-74,Sysselsatte,2025,2041
3103,85,0,15-74,Sysselsatte,2024,1906
3103,85,0,15-74,Sysselsatte,2025,1853
3103,86-88,0,15-74,Sysselsatte,2024,5546
3103,86-88,0,15-74,Sysselsatte,2025,5464
3105,00-99,0,15-74,Sysselsatte,2024,27612
3105,00-99,0,15-74,Sysselsatte,2025,27659
3105,01-03,0,15-74,Sysselsatte,2024,274
3105,01-03,0,15-74,Sysselsatte,2025,264
3105,10-33,0,15-74,Sysselsatte,2024,2972
3105,10-33,0,15-74,Sysselsatte,2025,3034
3105,84,0,15-74,Sysselsatte,2024,1516
3105,84,0,15-74,Sysselsatte,2025,1559
3105,85,0,15-74,Sysselsatte,2024,2056
3105,85,0,15-74,Sysselsatte,2025,2096
3105,86-88,0,15-74,Sysselsatte,2024,6624
3105,86-88,0,15-74,Sysselsatte,2025,6669
3107,00-99,0,15-74,Sysselsatte,2024,40283
3107,00-99,0,15-74,Sysselsatte,2025,40006
3107,01-03,0,15-74,Sysselsatte,2024,228
3107,01-03,0,15-74,Sysselsatte,2025,234
3107,10-33,0,15-74,Sysselsatte,2024,3634
3107,10-33,0,15-74,Sysselsatte,2025,3655
3107,84,0,15-74,Sysselsatte,2024,2201
3107,84,0,15-74,Sysselsatte,2025,2352
3107,85,0,15-74,Sysselsatte,2024,3289
3107,85,0,15-74,Sysselsatte,2025,3314
3107,86-88,0,15-74,Sysselsatte,2024,10241
3107,86-88,0,15-74,Sysselsatte,2025,10062
3110,00-99,0,15-74,Sysselsatte,2024,2146
3110,00-99,0,15-74,Sysselsatte,2025,2061
3110,01-03,0,15-74,Sysselsatte,2024,54
3110,01-03,0,15-74,Sysselsatte,2025,52
3110,10-33,0,15-74,Sysselsatte,2024,158
3110,10-33,0,15-74,Sysselsatte,2025,154
3110,84,0,15-74,Sysselsatte,2024,171
3110,84,0,15-74,Sysselsatte,2025,176
3110,85,0,15-74,Sysselsatte,2024,189
3110,85,0,15-74,Sysselsatte,2025,174
3110,86-88,0,15-74,Sysselsatte,2024,467
3110,86-88,0,15-74,Sysselsatte,2025,432
3112,00-99,0,15-74,Sysselsatte,2024,3831
3112,00-99,0,15-74,Sysselsatte,2025,3827
3112,01-03,0,15-74,Sysselsatte,2024,130
3112,01-03,0,15-74,Sysselsatte,2025,131
3112,10-33,0,15-74,Sysselsatte,2024,294
3112,10-33,0,15-74,Sysselsatte,2025,310
3112,84,0,15-74,Sysselsatte,2024,207
3112,84,0,15-74,Sysselsatte,2025,212
3112,85,0,15-74,Sysselsatte,2024,297
3112,85,0,15-74,Sysselsatte,2025,287
3112,86-88,0,15-74,Sysselsatte,2024,815
3112,86-88,0,15-74,Sysselsatte,2025,809
3114,00-99,0,15-74,Sysselsatte,2024,3094
3114,00-99,0,15-74,Sysselsatte,2025,3161
3114,01-03,0,15-74,Sysselsatte,2024,82
3114,01-03,0,15-74,Sysselsatte,2025,88
3114,10-33,0,15-74,Sysselsatte,2024,204
3114,10-33,0,15-74,Sysselsatte,2025,211
3114,84,0,15-74,Sysselsatte,2024,161
3114,84,0,15-74,Sysselsatte,2025,177
3114,85,0,15-74,Sysselsatte,2024,214
3114,85,0,15-74,Sysselsatte,2025,213
3114,86-88,0,15-74,Sysselsatte,2024,632
3114,86-88,0,15-74,Sysselsatte,2025,623
3116,00-99,0,15-74,Sysselsatte,2024,1964
3116,00-99,0,15-74,Sysselsatte,2025,1969
3116,01-03,0,15-74,Sysselsatte,2024,79
3116,01-03,0,15-74,Sysselsatte,2025,77
3116,10-33,0,15-74,Sysselsatte,2024,141
3116,10-33,0,15-74,Sysselsatte,2025,154
3116,84,0,15-74,Sysselsatte,2024,86
3116,84,0,15-74,Sysselsatte,2025,91
3116,85,0,15-74,Sysselsatte,2024,147
3116,85,0,15-74,Sysselsatte,2025,143
3116,86-88,0,15-74,Sysselsatte,2024,375
3116,86-88,0,15-74,Sysselsatte,2025,377
3118,00-99,0,15-74,Sysselsatte,2024,22818
3118,00-99,0,15-74,Sysselsatte,2025,22818
3118,01-03,0,15-74,Sysselsatte,2024,576
3118,01-03,0,15-74,Sysselsatte,2025,569
3118,10-33,0,15-74,Sysselsatte,2024,1747
3118,10-33,0,15-74,Sysselsatte,2025,1729
3118,84,0,15-74,Sysselsatte,2024,1196
3118,84,0,15-74,Sysselsatte,2025,1181
3118,85,0,15-74,Sysselsatte,2024,1711
3118,85,0,15-74,Sysselsatte,2025,1702
3118,86-88,0,15-74,Sysselsatte,2024,4272
3118,86-88,0,15-74,Sysselsatte,2025,4308
3120,00-99,0,15-74,Sysselsatte,2024,4117
3120,00-99,0,15-74,Sysselsatte,2025,4161
3120,01-03,0,15-74,Sysselsatte,2024,230
3120,01-03,0,15-74,Sysselsatte,2025,229
3120,10-33,0,15-74,Sysselsatte,2024,544
3120,10-33,0,15-74,Sysselsatte,2025,549
3120,84,0,15-74,Sysselsatte,2024,185
3120,84,0,15-74,Sysselsatte,2025,201
3120,85,0,15-74,Sysselsatte,2024,288
3120,85,0,15-74,Sysselsatte,2025,280
3120,86-88,0,15-74,Sysselsatte,2024,830
3120,86-88,0,15-74,Sysselsatte,2025,829
3122,00-99,0,15-74,Sysselsatte,2024,1675
3122,00-99,0,15-74,Sysselsatte,2025,1664
3122,01-03,0,15-74,Sysselsatte,2024,127
3122,01-03,0,15-74,Sysselsatte,2025,138
3122,10-33,0,15-74,Sysselsatte,2024,140
3122,10-33,0,15-74,Sysselsatte,2025,135
3122,84,0,15-74,Sysselsatte,2024,100
3122,84,0,15-74,Sysselsatte,2025,89
3122,85,0,15-74,Sysselsatte,2024,141
3122,85,0,15-74,Sysselsatte,2025,138
3122,86-88,0,15-74,Sysselsatte,2024,308
3122,86-88,0,15-74,Sysselsatte,2025,291
3124,00-99,0,15-74,Sysselsatte,2024,642
3124,00-99,0,15-74,Sysselsatte,2025,648
3124,01-03,0,15-74,Sysselsatte,2024,48
3124,01-03,0,15-74,Sysselsatte,2025,56
3124,10-33,0,15-74,Sysselsatte,2024,96
3124,10-33,0,15-74,Sysselsatte,2025,93
3124,84,0,15-74,Sysselsatte,2024,37
3124,84,0,15-74,Sysselsatte,2025,40
3124,85,0,15-74,Sysselsatte,2024,47
3124,85,0,15-74,Sysselsatte,2025,51
3124,86-88,0,15-74,Sysselsatte,2024,133
3124,86-88,0,15-74,Sysselsatte,2025,124
