kode,nivaa,kjonn,variabel,aar,verdi
3101,00,0,Personer,2024,26993
3101,00,0,Personer,2025,27136
3101,03a,0,Personer,2024,6274
3101,03a,0,Personer,2025,6429
3101,04a,0,Personer,2024,1920
3101,04a,0,Personer,2025,1978
3103,00,0,Personer,2024,44123
3103,00,0,Personer,2025,44618
3103,03a,0,Personer,2024,10542
3103,03a,0,Personer,2025,10718
3103,04a,0,Personer,2024,4493
3103,04a,0,Personer,2025,4799
3105,00,0,Personer,2024,49484
3105,00,0,Personer,2025,50087
3105,03a,0,Personer,2024,10854
3105,03a,0,Personer,2025,11101
3105,04a,0,Personer,2024,2754
3105,04a,0,Personer,2025,2904
3107,00,0,Personer,2024,71790
3107,00,0,Personer,2025,72474
3107,03a,0,Personer,2024,17746
3107,03a,0,Personer,2025,18086
3107,04a,0,Personer,2024,5906
3107,04a,0,Personer,2025,6180
3110,00,0,Personer,2024,4200
3110,00,0,Personer,2025,4171
3110,03a,0,Personer,2024,1005
3110,03a,0,Personer,2025,981
3110,04a,0,Personer,2024,366
3110,04a,0,Personer,2025,376
3112,00,0,Personer,2024,6551
3112,00,0,Personer,2025,6618
3112,03a,0,Personer,2024,1430
3112,03a,0,Personer,2025,1464
3112,04a,0,Personer,2024,502
3112,04a,0,Personer,2025,517
3114,00,0,Personer,2024,4840
3114,00,0,Personer,2025,4943
3114,03a,0,Personer,2024,1033
3114,03a,0,Personer,2025,1074
3114,04a,0,Personer,2024,310
3114,04a,0,Personer,2025,328
3116,00,0,Personer,2024,3257
3116,00,0,Personer,2025,3283
3116,03a,0,Personer,2024,556
3116,03a,0,Personer,2025,566
3116,04a,0,Personer,2024,141
3116,04a,0,Personer,2025,146
3118,00,0,Personer,2024,39239
3118,00,0,Personer,2025,39850
3118,03a,0,Personer,2024,7549
3118,03a,0,Personer,2025,7763
3118,04a,0,Personer,2024,2359
3118,04a,0,Personer,2025,2497
3120,00,0,Personer,2024,7111
3120,00,0,Personer,2025,7132
3120,03a,0,Personer,2024,1255
3120,03a,0,Personer,2025,1281
3120,04a,0,Personer,2024,309
3120,04a,0,Personer,2025,328
3122,00,0,Personer,2024,3095
3122,00,0,Personer,2025,3108
3122,03a,0,Personer,2024,557
3122,03a,0,Personer,2025,561
3122,04a,0,Personer,2024,163
3122,04a,0,Personer,2025,162
3124,00,0,Personer,2024,1153
3124,00,0,Personer,2025,1157
3124,03a,0,Personer,2024,217
3124,03a,0,Personer,2025,217
3124,04a,0,Personer,2024,58
3124,04a,0,Personer,2025,60
3201,00,0,Personer,2024,106491
3201,00,0,Personer,2025,107962
3201,03a,0,Personer,2024,33897
3201,03a,0,Personer,2025,34146
3201,04a,0,Personer,2024,25698
3201,04a,0,Personer,2025,26826
3203,00,0,Personer,2024,81144
3203,00,0,Personer,2025,82338
3203,03a,0,Personer,2024,24050
3203,03a,0,Personer,2025,24336
3203,04a,0,Personer,2024,15045
3203,04a,0,Personer,2025,15743
3205,00,0,Personer,2024,78153
3205,00,0,Personer,2025,79364
3205,03a,0,Personer,2024,19396
3205,03a,0,Personer,2025,19803
3205,04a,0,Personer,2024,8617
3205,04a,0,Personer,2025,9107
3207,00,0,Personer,2024,51941
3207,00,0,Personer,2025,52874
3207,03a,0,Personer,2024,15163
3207,03a,0,Personer,2025,15398
3207,04a,0,Personer,2024,7867
3207,04a,0,Personer,2025,8343
3209,00,0,Personer,2024,36132
3209,00,0,Personer,2025,37145
3209,03a,0,Personer,2024,8031
3209,03a,0,Personer,2025,8338
3209,04a,0,Personer,2024,2925
3209,04a,0,Personer,2025,3127
3212,00,0,Personer,2024,16629
3212,00,0,Personer,2025,16859
3212,03a,0,Personer,2024,5046
3212,03a,0,Personer,2025,5144
3212,04a,0,Personer,2024,3332
3212,04a,0,Personer,2025,3458
3214,00,0,Personer,2024,13808
3214,00,0,Personer,2025,13957
3214,03a,0,Personer,2024,3931
3214,03a,0,Personer,2025,3966
3214,04a,0,Personer,2024,1720
3214,04a,0,Personer,2025,1807
3216,00,0,Personer,2024,15864
3216,00,0,Personer,2025,16256
3216,03a,0,Personer,2024,4044
3216,03a,0,Personer,2025,4199
3216,04a,0,Personer,2024,1828
3216,04a,0,Personer,2025,1928
3218,00,0,Personer,2024,18266
3218,00,0,Personer,2025,18497
3218,03a,0,Personer,2024,5187
3218,03a,0,Personer,2025,5203
3218,04a,0,Personer,2024,3564
3218,04a,0,Personer,2025,3756
3220,00,0,Personer,2024,9460
3220,00,0,Personer,2025,9586
3220,03a,0,Personer,2024,1910
3220,03a,0,Personer,2025,1936
3220,04a,0,Personer,2024,602
3220,04a,0,Personer,2025,640
