Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Antall stemmeberettigede;Godkjente stemmegivninger — Forhånd;Godkjente stemmegivninger - Valgting;Godkjente stemmegivninger - Totalt;Forkastede stemmegivninger - Forhånd;Forkastede stemmegivninger - Totalt;Godkjente stemmesedler - Forhånd;Godkjente stemmesedler - Valgting;Godkjente stemmesedler - Totalt;Forkastede stemmesedler - Forhånd;Forkastede stemmesedler - Totalt;Blanke stemmesedler - Forhånd;Blanke stemmesedler - Totalt;
01;Østfold;0101;Halden;0000;Uoppgitt krets;129;52;19;71;3;3;3412;15;3427;26;26;29;30;
01;Østfold;0101;Halden;0001;Halden;5254;1025;2626;3651;0;1;0;2614;2614;0;0;0;29;
01;Østfold;0101;Halden;0002;Hjortsberg;5735;807;3752;4559;0;0;0;3768;3768;0;1;0;40;
01;Østfold;0101;Halden;0003;Låby;3464;503;2032;2535;0;0;0;2042;2042;0;0;0;19;
01;Østfold;0101;Halden;0004;Berg;1566;184;1007;1191;0;1;0;1006;1006;0;1;0;15;
01;Østfold;0101;Halden;0005;Tistedal;2723;306;1639;1945;0;0;0;1631;1631;0;2;0;27;
01;Østfold;0101;Halden;0006;Idd;3787;488;2390;2878;0;0;0;2408;2408;0;2;0;27;
01;Østfold;0101;Halden;0007;Prestebakke;606;58;390;448;0;0;0;391;391;0;0;0;4;
01;Østfold;0104;Moss;0000;Uoppgitt krets;123;49;10;59;4;4;4738;0;4738;27;27;36;36;
01;Østfold;0104;Moss;0001;Sentrum;3082;835;1379;2214;2;2;0;1649;1649;0;0;0;12;
01;Østfold;0104;Moss;0002;Jeløy Nord;3957;843;2236;3079;0;1;0;2048;2048;0;0;0;23;
01;Østfold;0104;Moss;0003;Jeløy Syd;2743;672;1629;2301;1;1;0;1612;1612;0;0;0;5;
01;Østfold;0104;Moss;0004;Refsnes;2100;416;1356;1772;0;3;0;1363;1363;0;5;0;11;
01;Østfold;0104;Moss;0005;Krapfoss;3614;588;2072;2660;0;2;0;1972;1972;0;0;0;28;
01;Østfold;0104;Moss;0006;Åvangen;3233;512;1815;2327;1;1;0;1781;1781;0;0;0;18;
01;Østfold;0104;Moss;0007;Melløs;2789;455;1611;2066;0;0;0;1661;1661;0;4;0;14;
01;Østfold;0104;Moss;0008;Verket;1942;380;1123;1503;0;0;0;1151;1151;0;0;0;11;
01;Østfold;0105;Sarpsborg;0000;Uoppgitt krets;183;51;12;63;3;3;6873;8;6881;30;31;50;51;
01;Østfold;0105;Sarpsborg;0002;Gamle Sarpsborg;6981;1618;3192;4810;0;0;0;3314;3314;0;22;0;28;
01;Østfold;0105;Sarpsborg;0003;Kurland;3308;573;1983;2556;0;1;0;2012;2012;0;6;0;27;
01;Østfold;0105;Sarpsborg;0004;Alvim;1128;155;517;672;0;0;0;535;535;0;0;0;9;
01;Østfold;0105;Sarpsborg;0006;Sandbakken;1715;244;1002;1246;0;0;0;1009;1009;0;0;0;7;
01;Østfold;0105;Sarpsborg;0008;Borgen;5051;829;2901;3730;0;0;0;2872;2872;0;1;0;27;
01;Østfold;0105;Sarpsborg;0009;Hafslund;2785;380;1517;1897;0;0;0;1487;1487;0;0;0;15;
01;Østfold;0105;Sarpsborg;0011;Skjeberg;2552;334;1670;2004;0;0;0;1649;1649;0;7;0;13;
01;Østfold;0105;Sarpsborg;0014;Ullerøy;565;81;363;444;0;0;0;368;368;0;0;0;6;
01;Østfold;0105;Sarpsborg;0018;Greåker;5177;776;3030;3806;0;0;0;2970;2970;0;4;0;26;
01;Østfold;0105;Sarpsborg;0021;Grålum;3932;796;2256;3052;0;0;0;2280;2280;0;3;0;11;
01;Østfold;0105;Sarpsborg;0024;Lande;3720;638;2020;2658;1;1;0;1956;1956;0;16;0;18;
01;Østfold;0105;Sarpsborg;0025;Hafslundsøy;2498;290;1576;1866;0;0;0;1568;1568;0;1;0;17;
01;Østfold;0105;Sarpsborg;0027;Jelsnes;394;40;267;307;0;0;0;267;267;0;0;0;1;
01;Østfold;0105;Sarpsborg;0034;Varteig;580;68;394;462;0;0;0;415;415;0;1;0;4;
01;Østfold;0106;Fredrikstad;0000;Uoppgitt krets;185;70;9;79;0;0;11565;5;11570;31;31;81;81;
01;Østfold;0106;Fredrikstad;0001;Nordre Borge;1141;127;717;844;0;0;0;717;717;0;2;0;6;
01;Østfold;0106;Fredrikstad;0002;Borge;959;129;640;769;0;0;0;677;677;0;0;0;6;
01;Østfold;0106;Fredrikstad;0003;Sellebakk;3954;503;2155;2658;0;0;0;2331;2331;0;3;0;27;
01;Østfold;0106;Fredrikstad;0004;Begby;3336;531;2120;2651;0;0;0;1961;1961;0;2;0;20;
01;Østfold;0106;Fredrikstad;0005;Torsnes;1166;115;784;899;0;0;0;797;797;0;0;0;9;
01;Østfold;0106;Fredrikstad;0006;Nabbetorp;5313;1029;2852;3881;1;1;0;2738;2738;0;9;0;34;
01;Østfold;0106;Fredrikstad;0007;Gressvik Sør;4343;801;2539;3340;0;0;0;2447;2447;0;2;0;26;
01;Østfold;0106;Fredrikstad;0008;Gressvik Nord;3584;654;1975;2629;0;0;0;2036;2036;0;5;0;18;
01;Østfold;0106;Fredrikstad;0009;Manstad;2683;388;1715;2103;0;0;0;1744;1744;0;2;0;20;
