Tid,GodkjenteProsent,PolitParti,Region
2021 2021,,01 Arbeiderpartiet,3101 Halden
2025 2025,31.1,01 Arbeiderpartiet,3101 Halden
2021 2021,,02 Fremskrittspartiet,3101 Halden
2025 2025,27.2,02 Fremskrittspartiet,3101 Halden
2021 2021,,03 Høyre,3101 Halden
2025 2025,11.2,03 Høyre,3101 Halden
2021 2021,,04 Kristelig Folkeparti,3101 Halden
2025 2025,4.3,04 Kristelig Folkeparti,3101 Halden
2021 2021,,05 Senterpartiet,3101 Halden
2025 2025,4.5,05 Senterpartiet,3101 Halden
2021 2021,,06 Sosialistisk Venstreparti,3101 Halden
2025 2025,3.7,06 Sosialistisk Venstreparti,3101 Halden
2021 2021,,07 Venstre,3101 Halden
2025 2025,2.2,07 Venstre,3101 Halden
2021 2021,,08 Miljøpartiet de Grønne,3101 Halden
2025 2025,4.1,08 Miljøpartiet de Grønne,3101 Halden
2021 2021,,55 Rødt,3101 Halden
2025 2025,5.8,55 Rødt,3101 Halden
2021 2021,,01 Arbeiderpartiet,3103 Moss
2025 2025,31.0,01 Arbeiderpartiet,3103 Moss
2021 2021,,02 Fremskrittspartiet,3103 Moss
2025 2025,24.7,02 Fremskrittspartiet,3103 Moss
2021 2021,,03 Høyre,3103 Moss
2025 2025,15.7,03 Høyre,3103 Moss
2021 2021,,04 Kristelig Folkeparti,3103 Moss
2025 2025,2.3,04 Kristelig Folkeparti,3103 Moss
2021 2021,,05 Senterpartiet,3103 Moss
2025 2025,2.2,05 Senterpartiet,3103 Moss
2021 2021,,06 Sosialistisk Venstreparti,3103 Moss
2025 2025,5.3,06 Sosialistisk Venstreparti,3103 Moss
2021 2021,,07 Venstre,3103 Moss
2025 2025,3.6,07 Venstre,3103 Moss
2021 2021,,08 Miljøpartiet de Grønne,3103 Moss
2025 2025,4.6,08 Miljøpartiet de Grønne,3103 Moss
2021 2021,,55 Rødt,3103 Moss
2025 2025,6.3,55 Rødt,3103 Moss
2021 2021,,01 Arbeiderpartiet,3105 Sarpsborg
2025 2025,31.5,01 Arbeiderpartiet,3105 Sarpsborg
2021 2021,,02 Fremskrittspartiet,3105 Sarpsborg
2025 2025,32.2,02 Fremskrittspartiet,3105 Sarpsborg
2021 2021,,03 Høyre,3105 Sarpsborg
2025 2025,11.1,03 Høyre,3105 Sarpsborg
2021 2021,,04 Kristelig Folkeparti,3105 Sarpsborg
2025 2025,3.8,04 Kristelig Folkeparti,3105 Sarpsborg
2021 2021,,05 Senterpartiet,3105 Sarpsborg
2025 2025,3.6,05 Senterpartiet,3105 Sarpsborg
2021 2021,,06 Sosialistisk Venstreparti,3105 Sarpsborg
2025 2025,3.9,06 Sosialistisk Venstreparti,3105 Sarpsborg
2021 2021,,07 Venstre,3105 Sarpsborg
2025 2025,1.9,07 Venstre,3105 Sarpsborg
2021 2021,,08 Miljøpartiet de Grønne,3105 Sarpsborg
2025 2025,2.4,08 Miljøpartiet de Grønne,3105 Sarpsborg
2021 2021,,55 Rødt,3105 Sarpsborg
2025 2025,4.8,55 Rødt,3105 Sarpsborg
2021 2021,,01 Arbeiderpartiet,3107 Fredrikstad
2025 2025,31.7,01 Arbeiderpartiet,3107 Fredrikstad
2021 2021,,02 Fremskrittspartiet,3107 Fredrikstad
2025 2025,27.8,02 Fremskrittspartiet,3107 Fredrikstad
2021 2021,,03 Høyre,3107 Fredrikstad
2025 2025,12.8,03 Høyre,3107 Fredrikstad
2021 2021,,04 Kristelig Folkeparti,3107 Fredrikstad
2025 2025,3.6,04 Kristelig Folkeparti,3107 Fredrikstad
2021 2021,,05 Senterpartiet,3107 Fredrikstad
2025 2025,2.5,05 Senterpartiet,3107 Fredrikstad
2021 2021,,06 Sosialistisk Venstreparti,3107 Fredrikstad
2025 2025,5.1,06 Sosialistisk Venstreparti,3107 Fredrikstad
2021 2021,,07 Venstre,3107 Fredrikstad
2025 2025,2.7,07 Venstre,3107 Fredrikstad
2021 2021,,08 Miljøpartiet de Grønne,3107 Fredrikstad
2025 2025,3.9,08 Miljøpartiet de Grønne,3107 Fredrikstad
2021 2021,,55 Rødt,3107 Fredrikstad
2025 2025,5.4,55 Rødt,3107 Fredrikstad
2021 2021,,01 Arbeiderpartiet,3110 Hvaler
2025 2025,30.7,01 Arbeiderpartiet,3110 Hvaler
2021 2021,,02 Fremskrittspartiet,3110 Hvaler
2025 2025,28.3,02 Fremskrittspartiet,3110 Hvaler
2021 2021,,03 Høyre,3110 Hvaler
2025 2025,14.5,03 Høyre,3110 Hvaler
2021 2021,,04 Kristelig Folkeparti,3110 Hvaler
2025 2025,2.9,04 Kristelig Folkeparti,3110 Hvaler
2021 2021,,05 Senterpartiet,3110 Hvaler
2025 2025,4.3,05 Senterpartiet,3110 Hvaler
2021 2021,,06 Sosialistisk Venstreparti,3110 Hvaler
2025 2025,3.4,06 Sosialistisk Venstreparti,3110 Hvaler
2021 2021,,07 Venstre,3110 Hvaler
