kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,reform_2017_20,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst
0301,Oslo - Oslove,1987-1991,1987,1991,Oslo,Oslo/Akershus,1,1000,False,False,276431.0,30.87,30.29,-0.58,18.39,8.78,-9.61,32.12,31.43,-0.69,3.73,3.54,-0.19,0.68,2.18,1.5,6.83,14.42,7.59,0.0,1.54,1.54,0.0,0.57,0.57,2.97,4.08,1.11,4.41,3.18,-1.23,451345.0,13.02,2.2818,
1101,Eigersund,1987-1991,1987,1991,Rogaland,Vestlandet,4,747,False,False,5926.0,28.16,33.34,5.18,7.63,5.67,-1.96,25.85,19.13,-6.72,19.27,16.28,-2.99,9.11,13.64,4.53,3.71,5.52,1.81,6.26,6.41,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12159.0,9.4058,1.9656,
1103,Stavanger,1987-1991,1987,1991,Rogaland,Vestlandet,2,890,False,True,52761.0,29.01,24.33,-4.68,14.63,8.56,-6.07,29.09,24.07,-5.02,9.91,9.5,-0.41,3.11,6.93,3.82,5.07,10.94,5.87,6.85,3.72,-3.13,0.0,0.0,0.0,1.01,0.65,-0.36,1.32,11.31,9.99,100761.0,11.5205,2.754,
1106,Haugesund,1987-1991,1987,1991,Rogaland,Vestlandet,3,836,False,False,14236.0,31.13,21.08,-10.05,16.09,9.93,-6.16,24.7,17.45,-7.25,14.38,15.69,1.31,1.34,3.93,2.59,3.47,7.89,4.42,8.36,6.04,-2.32,0.0,0.0,0.0,0.53,0.45,-0.08,0.0,17.54,17.54,26884.0,10.1993,3.3626,
1108,Sandnes,1987-1991,1987,1991,Rogaland,Vestlandet,2,882,False,True,21823.0,26.77,21.31,-5.46,14.79,8.77,-6.02,25.03,22.25,-2.78,13.81,13.58,-0.23,5.8,11.78,5.98,4.3,9.08,4.78,7.85,5.2,-2.65,0.0,0.7,0.7,0.93,0.76,-0.17,0.72,6.58,5.86,42887.0,10.6663,7.219,
1111,Sokndal,1987-1991,1987,1991,Rogaland,Vestlandet,5,652,False,False,1920.0,31.87,26.34,-5.53,11.04,8.15,-2.89,20.68,15.64,-5.04,23.96,20.64,-3.32,7.24,14.34,7.1,0.0,0.0,0.0,5.21,7.71,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,7.17,3487.0,8.1568,-0.9751,
1112,Lund,1987-1991,1987,1991,Rogaland,Vestlandet,5,625,False,False,1647.0,25.26,23.55,-1.71,8.74,0.0,-8.74,17.12,21.94,4.82,28.23,26.52,-1.71,13.11,21.35,8.24,0.0,0.0,0.0,7.53,6.65,-0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3109.0,8.0421,-0.7398,
1114,Bjerkreim,1987-1991,1987,1991,Rogaland,Vestlandet,4,687,False,False,1228.0,13.68,11.72,-1.96,0.0,0.0,0.0,16.04,12.41,-3.63,27.77,26.67,-1.1,31.43,42.53,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07,6.67,-4.4,2305.0,7.7428,2.9501,
1119,Hå,1987-1991,1987,1991,Rogaland,Vestlandet,4,773,False,False,6402.0,9.18,7.06,-2.12,3.89,3.6,-0.29,5.94,8.34,2.4,16.87,19.36,2.49,7.0,18.33,11.33,2.45,5.22,2.77,0.0,1.93,1.93,0.0,0.0,0.0,0.0,0.0,0.0,54.67,36.15,-18.52,12802.0,9.4574,1.7185,
1120,Klepp,1987-1991,1987,1991,Rogaland,Vestlandet,3,851,False,False,5527.0,18.65,13.09,-5.56,13.14,10.23,-2.91,26.51,22.35,-4.16,16.65,16.03,-0.62,17.12,28.77,11.65,0.0,5.79,5.79,0.0,3.75,3.75,0.0,0.0,0.0,0.4,0.0,-0.4,7.54,0.0,-7.54,11565.0,9.3557,2.6459,
