kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,reform_2017_20,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,d_ap_forrige,d_sp_forrige,d_h_forrige,h_resid_forrige,par
0301,Oslo - Oslove,1999-2003,1999,2003,Oslo,Oslo/Akershus,1,1000,False,0,259142.0,26.68,25.19,-1.49,16.56,16.47,-0.09,28.64,25.0,-3.64,5.2,2.96,-2.24,0.57,0.0,-0.57,12.83,20.31,7.48,3.18,4.16,0.98,0.51,0.0,-0.51,4.26,3.12,-1.14,1.58,2.8,1.22,502867.0,13.1281,2.8902,9.2822,-4.27,-0.91,2.74,1.663762278246184,1995-1999→1999-2003
1101,Eigersund,1999-2003,1999,2003,Rogaland,Vestlandet,4,747,False,0,5787.0,37.52,24.07,-13.45,9.31,17.65,8.34,20.1,28.54,8.44,17.54,10.7,-6.84,7.55,8.26,0.71,0.0,3.51,3.51,7.98,7.26,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13109.0,9.4811,1.8384,5.567,2.08,-3.65,2.95,1.3456264582021362,1995-1999→1999-2003
1103,Stavanger,1999-2003,1999,2003,Rogaland,Vestlandet,2,890,False,1,52657.0,21.93,19.62,-2.31,17.18,21.1,3.92,28.79,26.3,-2.49,11.7,7.97,-3.73,2.55,2.88,0.33,5.57,11.28,5.71,4.3,4.54,0.24,0.0,0.26,0.26,3.89,1.48,-2.41,4.08,4.58,0.5,113893.0,11.643,2.793,9.6229,-3.22,-2.6,6.03,4.599913571298539,1995-1999→1999-2003
1106,Haugesund,1999-2003,1999,2003,Rogaland,Vestlandet,3,836,False,0,12534.0,23.22,23.93,0.71,20.1,25.0,4.9,28.24,30.0,1.76,13.17,6.1,-7.07,1.82,1.61,-0.21,6.33,7.58,1.25,6.37,3.46,-2.91,0.0,0.0,0.0,0.74,0.58,-0.16,0.0,1.74,1.74,29888.0,10.3052,3.7641,9.0625,-0.32,-1.29,7.08,5.667384510470303,1995-1999→1999-2003
1108,Sandnes,1999-2003,1999,2003,Rogaland,Vestlandet,2,882,False,1,24121.0,19.32,16.67,-2.65,18.6,23.98,5.38,26.72,22.54,-4.18,15.55,11.52,-4.03,4.94,5.59,0.65,5.14,9.52,4.38,4.72,3.62,-1.1,0.0,0.0,0.0,1.4,1.25,-0.15,3.62,5.31,1.69,53092.0,10.8798,6.9935,18.7197,-3.07,-4.62,3.27,1.2780046517986674,1995-1999→1999-2003
1111,Sokndal,1999-2003,1999,2003,Rogaland,Vestlandet,5,652,False,0,1593.0,32.02,27.79,-4.23,19.96,28.92,8.96,10.11,9.39,-0.72,20.34,14.87,-5.47,9.17,8.0,-1.17,0.0,4.35,4.35,8.41,6.68,-1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3394.0,8.1298,-2.9464,-5.9126,5.53,-3.47,-2.93,-4.165232230803271,1995-1999→1999-2003
1112,Lund,1999-2003,1999,2003,Rogaland,Vestlandet,5,625,False,0,1472.0,22.01,17.76,-4.25,15.08,24.07,8.99,12.77,10.01,-2.76,25.75,25.79,0.04,18.61,16.67,-1.94,0.0,0.0,0.0,5.77,5.69,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3092.0,8.0366,0.1617,0.4541,-1.32,-3.79,-2.54,-3.288872498138012,1995-1999→1999-2003
1114,Bjerkreim,1999-2003,1999,2003,Rogaland,Vestlandet,4,687,False,0,1263.0,15.76,13.1,-2.66,0.0,0.0,0.0,21.69,29.59,7.9,28.19,22.88,-5.31,34.36,34.44,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2454.0,7.8055,1.0595,1.9737,2.19,-12.04,7.37,5.373564815294369,1995-1999→1999-2003
1119,Hå,1999-2003,1999,2003,Rogaland,Vestlandet,4,773,False,0,6185.0,8.63,8.39,-0.24,12.3,16.21,3.91,15.21,13.01,-2.2,21.58,19.26,-2.32,19.32,18.19,-1.13,4.8,4.84,0.04,1.52,1.15,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,16.62,18.95,2.33,13723.0,9.5268,5.0572,10.5513,-0.92,-5.49,5.47,2.1268295605820025,1995-1999→1999-2003
1120,Klepp,1999-2003,1999,2003,Rogaland,Vestlandet,3,851,False,0,5926.0,13.01,12.42,-0.59,18.9,24.55,5.65,21.57,22.31,0.74,18.8,13.77,-5.03,18.19,16.18,-2.01,3.54,6.41,2.87,5.99,4.36,-1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13548.0,9.514,4.3327,15.8417,-2.29,-10.54,3.22,0.6053373324472107,1995-1999→1999-2003
