kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,d_sp_frp,kv_sp_t0,kv_d_sp,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,nettoinnfl_per1000,fodselsovsk_per1000,andel_67p_t0,andel_19_34_t0,d_andel_67p,andel_hoyutd_t0,inntekt_median_t0,andel_primaer_t0,andel_industri_t0,andel_offentlig_t0,reform_2017_20,d_ap_forrige,d_sp_forrige,d_h_forrige,h_resid_forrige,par
0301,Oslo - Oslove,1997-2001,1997,2001,Oslo,Oslo/Akershus,1,1000,False,294668.0,33.37,22.41,-10.96,17.93,13.0,-4.93,21.71,29.06,7.35,6.82,6.07,-0.75,1.28,0.69,-0.59,8.81,16.89,8.08,4.23,5.93,1.7,0.44,0.23,-0.21,3.99,2.97,-1.02,1.42,2.75,1.33,-5.52,1.48,-0.91,494793.0,13.1119,2.8159,10.1988,10.8995,19.0585,14.7247,28.1223,-1.4154,30.7893,,,,,0,-3.23,-3.11,-5.71,-0.4460960491341872,1993-1997→1997-2001
1101,Eigersund,1997-2001,1997,2001,Rogaland,Vestlandet,4,747,False,7324.0,31.17,22.01,-9.16,15.51,14.4,-1.11,11.16,22.01,10.85,19.65,18.95,-0.7,6.8,4.21,-2.59,2.38,5.47,3.09,11.84,9.98,-1.86,0.03,0.03,0.0,0.45,0.21,-0.24,1.02,2.73,1.71,-3.7,11.2,-3.65,12904.0,9.4653,2.9991,7.2028,9.4544,20.3038,12.8797,22.4659,-0.3901,11.8025,,,,,0,-0.34,-11.69,-4.08,-1.6955668208205261,1993-1997→1997-2001
1103,Stavanger,1997-2001,1997,2001,Rogaland,Vestlandet,2,890,False,64585.0,30.54,19.82,-10.72,18.55,15.8,-2.75,18.0,27.42,9.42,14.48,14.05,-0.43,3.88,2.52,-1.36,5.74,11.63,5.89,5.89,5.12,-0.77,0.2,0.18,-0.02,1.4,0.96,-0.44,1.32,2.52,1.2,-4.11,5.15,-2.6,111324.0,11.6202,3.1853,10.9469,2.1559,29.9935,12.3459,25.768,-0.5004,24.6671,,,,,1,-2.93,-6.39,-2.47,1.1113447827185245,1993-1997→1997-2001
1106,Haugesund,1997-2001,1997,2001,Rogaland,Vestlandet,3,836,False,17302.0,31.43,21.12,-10.31,21.95,23.35,1.4,15.4,23.86,8.46,15.69,12.33,-3.36,2.53,1.22,-1.31,4.05,9.61,5.56,6.35,4.5,-1.85,0.14,0.15,0.01,0.84,0.51,-0.33,1.62,3.35,1.73,0.09,3.11,-1.29,29385.0,10.2882,4.1654,10.1519,26.0337,15.7904,15.6542,24.2505,-0.9756,19.1526,,,,,0,-2.41,-7.27,-2.23,0.6799860181837936,1993-1997→1997-2001
1108,Sandnes,1997-2001,1997,2001,Rogaland,Vestlandet,2,882,False,29439.0,28.38,17.88,-10.5,19.38,18.16,-1.22,15.09,24.17,9.08,18.83,18.93,0.1,6.18,4.19,-1.99,3.73,8.59,4.86,5.54,4.43,-1.11,0.19,0.18,-0.01,0.95,0.59,-0.36,1.73,2.89,1.16,-3.21,9.56,-4.62,50974.0,10.8391,7.6882,19.3767,38.0194,39.1965,10.2994,24.6949,-0.2325,18.6838,,,,,1,-1.91,-9.71,-2.69,0.1619569124147615,1993-1997→1997-2001
1111,Sokndal,1997-2001,1997,2001,Rogaland,Vestlandet,5,652,False,2074.0,24.98,17.64,-7.34,20.64,21.99,1.35,8.73,16.54,7.81,26.62,24.14,-2.48,9.06,5.13,-3.93,2.75,4.97,2.22,5.21,6.18,0.97,0.05,0.05,0.0,0.48,0.16,-0.32,1.49,3.19,1.7,-2.58,12.64,-3.47,3484.0,8.1559,-3.7313,-2.8671,-39.6096,2.2962,17.4225,20.8955,-0.0701,9.0469,,,,,0,0.12,-16.13,-2.83,-1.2673708293873416,1993-1997→1997-2001
1112,Lund,1997-2001,1997,2001,Rogaland,Vestlandet,5,625,False,1806.0,22.37,16.76,-5.61,14.23,16.36,2.13,9.69,14.79,5.1,28.96,25.99,-2.97,14.01,11.31,-2.7,1.77,4.76,2.99,6.31,5.45,-0.86,0.0,0.12,0.12,1.16,0.46,-0.7,1.5,4.0,2.5,-0.57,22.4,-3.79,3091.0,8.0362,0.7441,0.9073,-5.8234,13.2643,15.2054,21.1582,-1.0757,12.8935,,,,,0,-1.56,-14.72,-3.22,-1.3023326216271318,1993-1997→1997-2001
1114,Bjerkreim,1997-2001,1997,2001,Rogaland,Vestlandet,4,687,False,1476.0,12.53,7.2,-5.33,9.49,9.86,0.37,6.1,12.8,6.7,32.86,34.9,2.04,31.1,23.22,-7.88,2.24,4.13,1.89,4.34,5.17,0.83,0.07,0.07,0.0,0.47,0.21,-0.26,0.81,2.45,1.64,-7.51,46.4,-12.04,2449.0,7.8034,1.3883,4.6355,-7.7583,22.0498,14.0057,22.5398,-0.7959,10.5753,,,,,0,0.63,-19.83,-0.41,-0.1736289396723674,1993-1997→1997-2001
1119,Hå,1997-2001,1997,2001,Rogaland,Vestlandet,4,773,False,7766.0,19.82,11.88,-7.94,14.78,16.87,2.09,9.22,14.38,5.16,30.16,31.52,1.36,19.5,13.06,-6.44,2.21,5.34,3.13,2.97,3.3,0.33,0.1,0.05,-0.05,0.39,0.25,-0.14,0.85,3.36,2.51,-4.35,24.81,-5.49,13356.0,9.4997,4.9491,7.6409,10.1078,39.7574,10.7517,23.8245,-0.1717,11.1044,,,,,0,0.55,-16.82,-0.45,0.5435707904688625,1993-1997→1997-2001
1120,Klepp,1997-2001,1997,2001,Rogaland,Vestlandet,3,851,False,7510.0,20.87,13.12,-7.75,18.71,20.01,1.3,13.56,20.15,6.59,23.02,23.29,0.27,14.57,9.86,-4.71,2.53,5.83,3.3,5.3,5.0,-0.3,0.07,0.07,0.0,0.45,0.2,-0.25,0.93,2.46,1.53,-3.41,28.73,-10.54,12950.0,9.4689,7.2124,16.9573,18.8417,52.7413,8.1853,26.4788,0.04,12.9988,,,,,0,-1.4,-17.57,-0.99,1.1233190810246254,1993-1997→1997-2001
