fra,til,statsminister,regjering,partier
1981-10-14,1983-06-08,Kåre Willoch,Willoch I,H
1983-06-08,1986-05-09,Kåre Willoch,Willoch II,H;KrF;Sp
1986-05-09,1989-10-16,Gro Harlem Brundtland,Brundtland II,Ap
1989-10-16,1990-11-03,Jan P. Syse,Syse,H;KrF;Sp
1990-11-03,1996-10-25,Gro Harlem Brundtland,Brundtland III,Ap
1996-10-25,1997-10-17,Thorbjørn Jagland,Jagland,Ap
1997-10-17,2000-03-17,Kjell Magne Bondevik,Bondevik I,KrF;Sp;V
2000-03-17,2001-10-19,Jens Stoltenberg,Stoltenberg I,Ap
2001-10-19,2005-10-17,Kjell Magne Bondevik,Bondevik II,KrF;H;V
2005-10-17,2013-10-16,Jens Stoltenberg,Stoltenberg II,Ap;SV;Sp
2013-10-16,2018-01-17,Erna Solberg,Solberg (H+FrP),H;FrP
2018-01-17,2019-01-22,Erna Solberg,Solberg (H+FrP+V),H;FrP;V
2019-01-22,2020-01-24,Erna Solberg,Solberg (H+FrP+V+KrF),H;FrP;V;KrF
2020-01-24,2021-10-14,Erna Solberg,Solberg (H+V+KrF),H;V;KrF
2021-10-14,2025-02-04,Jonas Gahr Støre,Støre (Ap+Sp),Ap;Sp
2025-02-04,2026-09-26,Jonas Gahr Støre,Støre (Ap),Ap
