kom2024,navn,periode,t0,t1,fylke,landsdel,sent_klasse,sent_indeks,estimert,vekt_stemmer_t0,ap_t0,ap_t1,d_ap,frp_t0,frp_t1,d_frp,h_t0,h_t1,d_h,krf_t0,krf_t1,d_krf,sp_t0,sp_t1,d_sp,sv_t0,sv_t1,d_sv,v_t0,v_t1,d_v,mdg_t0,mdg_t1,d_mdg,rodt_t0,rodt_t1,d_rodt,andre_t0,andre_t1,d_andre,d_sp_frp,kv_sp_t0,kv_d_sp,bef_t0,ln_bef_t0,vekst4_pst,vekst10_pst,nettoinnfl_per1000,fodselsovsk_per1000,andel_67p_t0,andel_19_34_t0,d_andel_67p,andel_hoyutd_t0,inntekt_median_t0,andel_primaer_t0,andel_industri_t0,andel_offentlig_t0
0301,Oslo - Oslove,1989-1993,1989,1993,Oslo,Oslo/Akershus,1,1000,False,300299.0,29.77,36.6,6.83,14.96,8.33,-6.63,31.86,27.42,-4.44,3.8,3.55,-0.25,0.73,4.39,3.66,11.62,7.16,-4.46,2.65,3.43,0.78,0.58,0.24,-0.34,2.51,5.14,2.63,1.52,3.75,2.23,-2.97,0.68,1.5,456124.0,13.0305,3.7994,,28.5799,9.1379,17.495,28.3107,-1.0563,22.9116,,,,
1101,Eigersund,1989-1993,1989,1993,Rogaland,Vestlandet,4,747,False,7195.0,28.19,31.51,3.32,13.45,6.04,-7.41,23.34,15.24,-8.1,16.05,15.81,-0.24,8.66,18.49,9.83,5.59,5.02,-0.57,4.16,5.02,0.86,0.14,0.1,-0.04,0.11,0.16,0.05,0.32,2.61,2.29,2.42,9.11,4.53,12337.0,9.4204,2.5047,,-3.8097,27.073,12.9286,23.3363,0.3879,8.5252,,,,
1103,Stavanger,1989-1993,1989,1993,Rogaland,Vestlandet,2,890,False,62566.0,29.1,33.47,4.37,15.42,8.6,-6.82,25.59,20.47,-5.12,10.26,10.46,0.2,3.27,10.27,7.0,9.48,8.1,-1.38,5.54,5.4,-0.14,0.36,0.13,-0.23,0.43,0.31,-0.12,0.55,2.77,2.22,0.18,3.11,3.82,102308.0,11.5357,4.3877,,13.8699,31.239,13.1378,27.0419,-0.1599,17.4212,,,,
1106,Haugesund,1989-1993,1989,1993,Rogaland,Vestlandet,3,836,False,17433.0,31.62,33.84,2.22,16.46,9.43,-7.03,24.38,17.63,-6.75,10.75,12.48,1.73,1.45,9.8,8.35,7.68,6.29,-1.39,6.1,5.13,-0.97,0.32,0.1,-0.22,0.24,0.36,0.12,1.0,4.93,3.93,1.32,1.34,2.59,27229.0,10.212,4.4328,,28.2787,15.4615,16.4898,24.0516,-0.2392,13.5234,,,,
1108,Sandnes,1989-1993,1989,1993,Rogaland,Vestlandet,2,882,False,27550.0,28.53,30.29,1.76,15.31,8.7,-6.61,22.51,17.78,-4.73,13.47,13.38,-0.09,6.16,15.89,9.73,7.55,6.04,-1.51,5.34,5.02,-0.32,0.32,0.15,-0.17,0.31,0.24,-0.07,0.5,2.51,2.01,3.12,5.8,5.98,44613.0,10.7058,7.2512,,28.9153,43.0592,10.1652,26.7254,0.3243,13.7451,,,,
1111,Sokndal,1989-1993,1989,1993,Rogaland,Vestlandet,5,652,False,2236.0,24.02,24.86,0.84,15.97,6.94,-9.03,20.75,11.56,-9.19,21.29,19.94,-1.35,8.63,25.19,16.56,5.32,5.11,-0.21,2.59,3.71,1.12,0.22,0.1,-0.12,0.54,0.05,-0.49,0.67,2.55,1.88,7.53,7.24,7.1,3497.0,8.1597,0.1144,,-8.8647,10.0086,16.4999,21.304,1.0094,7.0278,,,,
1112,Lund,1989-1993,1989,1993,Rogaland,Vestlandet,5,625,False,1867.0,24.48,23.93,-0.55,14.09,5.09,-9.0,17.3,12.91,-4.39,22.82,20.91,-1.91,12.59,28.73,16.14,4.77,3.14,-1.63,3.37,2.67,-0.7,0.11,0.06,-0.05,0.16,0.12,-0.04,0.32,2.43,2.11,7.14,13.11,8.24,3138.0,8.0513,-1.7527,,-30.9114,13.3843,15.5832,21.7973,0.0509,9.9658,,,,
1114,Bjerkreim,1989-1993,1989,1993,Rogaland,Vestlandet,4,687,False,1400.0,13.21,11.9,-1.31,5.79,2.08,-3.71,14.14,6.51,-7.63,25.21,23.46,-1.75,36.21,50.93,14.72,2.79,2.08,-0.71,2.43,1.8,-0.63,0.07,0.0,-0.07,0.0,0.21,0.21,0.14,1.04,0.9,11.01,31.43,11.1,2309.0,7.7446,5.327,,9.0948,44.175,13.599,23.8198,0.6691,7.9672,,,,
1119,Hå,1989-1993,1989,1993,Rogaland,Vestlandet,4,773,False,7630.0,16.7,19.27,2.57,14.1,5.88,-8.22,16.03,9.67,-6.36,24.51,21.57,-2.94,21.36,36.32,14.96,3.96,3.15,-0.81,2.78,1.96,-0.82,0.16,0.07,-0.09,0.14,0.2,0.06,0.26,1.91,1.65,6.74,7.0,11.33,12988.0,9.4718,0.4081,,-31.9526,35.8793,10.6714,25.231,0.1177,8.1712,,,,
1120,Klepp,1989-1993,1989,1993,Rogaland,Vestlandet,3,851,False,7110.0,19.28,22.27,2.99,16.51,7.77,-8.74,21.55,14.55,-7.0,15.56,14.27,-1.29,18.06,32.14,14.08,4.49,3.61,-0.88,3.81,3.31,-0.5,0.14,0.09,-0.05,0.2,0.13,-0.07,0.41,1.87,1.46,5.34,17.12,11.65,11796.0,9.3755,3.4418,,-15.6833,50.4408,7.9179,27.238,0.2365,9.1954,,,,
1121,Time,1989-1993,1989,1993,Rogaland,Vestlandet,3,836,False,7225.0,21.72,24.83,3.11,12.9,6.29,-6.61,21.22,15.46,-5.76,16.94,15.83,-1.11,15.5,26.5,11.0,6.33,5.52,-0.81,4.71,3.68,-1.03,0.19,0.07,-0.12,0.18,0.17,-0.01,0.32,1.66,1.34,4.39,13.88,9.19,11676.0,9.3653,5.6098,,4.3679,49.2463,8.89,26.8414,0.4847,12.71,,,,
1122,Gjesdal,1989-1993,1989,1993,Rogaland,Vestlandet,3,792,False,4158.0,29.0,31.14,2.14,11.57,5.77,-5.8,16.09,10.46,-5.63,18.88,18.31,-0.57,13.37,24.03,10.66,5.05,4.88,-0.17,5.36,3.45,-1.91,0.22,0.05,-0.17,0.17,0.12,-0.05,0.29,1.79,1.5,4.86,12.69,8.59,7057.0,8.8618,11.3079,,44.6365,68.301,9.6217,27.1787,-0.8884,9.7289,,,,
1124,Sola,1989-1993,1989,1993,Rogaland,Vestlandet,2,878,False,9087.0,21.39,25.28,3.89,21.02,11.07,-9.95,25.18,20.04,-5.14,12.23,12.63,0.4,9.44,18.12,8.68,5.44,4.65,-0.79,4.66,4.5,-0.16,0.25,0.18,-0.07,0.15,0.11,-0.04,0.24,3.41,3.17,-1.27,10.42,3.43,15705.0,9.6617,7.0614,,20.1847,51.3212,6.4756,27.5199,0.6851,13.0087,,,,
1127,Randaberg,1989-1993,1989,1993,Rogaland,Vestlandet,3,867,False,4452.0,22.84,26.5,3.66,13.95,8.06,-5.89,24.1,16.16,-7.94,18.8,17.89,-0.91,9.93,19.06,9.13,5.19,4.98,-0.21,4.56,5.51,0.95,0.2,0.09,-0.11,0.04,0.2,0.16,0.38,1.56,1.18,3.24,15.09,3.76,7451.0,8.9161,6.7642,,12.6158,54.7578,6.0931,27.6741,0.1545,13.3774,,,,
1130,Strand,1989-1993,1989,1993,Rogaland,Vestlandet,3,787,False,5578.0,25.08,27.72,2.64,13.28,5.73,-7.55,17.55,11.22,-6.33,23.75,20.87,-2.88,7.15,21.13,13.98,7.22,6.46,-0.76,5.13,3.89,-1.24,0.38,0.17,-0.21,0.14,0.09,-0.05,0.3,2.72,2.42,6.43,5.32,2.92,9525.0,9.1617,0.6194,,-28.5564,34.7507,10.9186,23.895,1.0597,9.1731,,,,
1133,Hjelmeland,1989-1993,1989,1993,Rogaland,Vestlandet,5,593,False,1660.0,13.55,10.28,-3.27,7.89,3.55,-4.34,15.24,9.36,-5.88,21.93,19.46,-2.47,32.11,46.94,14.83,4.7,5.94,1.24,4.1,3.43,-0.67,0.18,0.06,-0.12,0.18,0.24,0.06,0.12,0.73,0.61,10.49,33.53,3.63,2833.0,7.9491,-1.5531,,-18.0021,3.1768,19.0611,19.767,-0.5598,9.3545,,,,
1134,Suldal,1989-1993,1989,1993,Rogaland,Vestlandet,6,518,False,2477.0,25.31,20.81,-4.5,8.52,2.75,-5.77,11.22,6.56,-4.66,18.89,15.4,-3.49,22.65,41.29,18.64,5.97,7.36,1.39,6.78,4.27,-2.51,0.16,0.08,-0.08,0.12,0.21,0.09,0.36,1.27,0.91,12.87,27.93,8.07,4150.0,8.3309,-0.8675,,-10.6024,2.8916,17.5904,20.7229,-0.551,10.3655,,,,
1135,Sauda,1989-1993,1989,1993,Rogaland,Vestlandet,5,604,False,3522.0,37.88,37.76,-0.12,10.56,3.11,-7.45,11.87,6.73,-5.14,11.24,9.72,-1.52,6.5,20.04,13.54,13.26,16.48,3.22,7.3,3.94,-3.36,0.4,0.1,-0.3,0.74,0.41,-0.33,0.26,1.71,1.45,6.09,8.41,8.64,5403.0,8.5947,-2.221,,-28.6878,7.0331,15.1953,23.0613,0.7427,10.3272,,,,
1144,Kvitsøy,1989-1993,1989,1993,Rogaland,Vestlandet,6,525,False,329.0,27.05,26.62,-0.43,6.99,3.57,-3.42,17.63,14.29,-3.34,34.95,32.47,-2.48,6.69,16.23,9.54,2.13,2.92,0.79,4.26,2.27,-1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.62,1.32,6.12,0.0,0.0,499.0,6.2126,-3.4068,,-24.0481,-10.02,16.8337,21.2425,0.5937,4.6569,,,,
1145,Bokn,1989-1993,1989,1993,Rogaland,Vestlandet,5,624,False,466.0,18.24,14.85,-3.39,13.3,5.46,-7.84,18.24,10.92,-7.32,22.1,15.5,-6.6,18.67,45.63,26.96,4.72,2.84,-1.88,3.43,2.84,-0.59,0.43,0.0,-0.43,0.43,0.0,-0.43,0.43,1.97,1.54,19.12,39.2,5.55,738.0,6.6039,2.981,,18.9702,10.8401,13.8211,21.1382,2.0999,6.7257,,,,
1146,Tysvær,1989-1993,1989,1993,Rogaland,Vestlandet,4,724,False,4686.0,23.05,22.43,-0.62,15.56,5.66,-9.9,17.61,10.28,-7.33,18.89,16.32,-2.57,12.04,31.52,19.48,4.65,4.01,-0.64,7.21,5.91,-1.3,0.28,0.13,-0.15,0.09,0.2,0.11,0.64,3.54,2.9,9.58,11.85,8.59,7957.0,8.9818,0.8295,,-23.627,32.6756,10.6573,23.4636,0.037,8.3735,,,,
1149,Karmøy,1989-1993,1989,1993,Rogaland,Vestlandet,4,758,False,20113.0,25.51,27.39,1.88,19.24,9.75,-9.49,19.89,12.31,-7.58,19.91,21.15,1.24,3.76,16.23,12.47,5.29,4.54,-0.75,5.26,3.76,-1.5,0.2,0.08,-0.12,0.19,0.24,0.05,0.76,4.55,3.79,2.98,3.27,4.64,35015.0,10.4635,1.3537,,-20.1913,33.4143,10.1414,24.5809,0.5831,8.505,,,,
1151,Utsira,1989-1993,1989,1993,Rogaland,Vestlandet,6,293,False,150.0,32.67,34.13,1.46,14.0,5.56,-8.44,23.33,19.05,-4.28,8.67,7.94,-0.73,13.33,28.57,15.24,3.33,3.17,-0.16,4.67,1.59,-3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,218.0,5.3845,1.8349,,18.3486,-9.1743,26.1468,17.8899,-2.7234,7.7348,,,,
1160,Vindafjord,1989-1993,1989,1993,Rogaland,Vestlandet,5,643,False,4762.0,21.4,18.85,-2.55,11.32,3.53,-7.79,15.52,10.14,-5.38,18.94,14.49,-4.45,20.87,43.46,22.59,4.85,5.02,0.17,6.24,2.81,-3.43,0.27,0.04,-0.23,0.17,0.2,0.03,0.42,1.46,1.04,14.8,3.37,21.12,8020.0,8.9897,0.9975,,-6.1097,15.8354,15.5237,22.581,0.5133,8.3007,,,,
1505,Kristiansund,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,4,749,False,13884.0,39.65,46.71,7.06,11.2,5.76,-5.44,26.27,16.04,-10.23,6.3,5.66,-0.64,1.93,11.0,9.07,9.67,6.97,-2.7,3.26,4.99,1.73,0.22,0.0,-0.22,0.75,0.53,-0.22,0.76,2.34,1.58,3.63,1.73,-0.67,22171.0,10.0065,-0.0361,,-2.9318,2.7513,14.528,23.7247,-0.0038,10.641,,,,
1506,Molde,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,4,740,False,17332.0,29.95,31.37,1.42,11.22,5.85,-5.37,20.17,13.4,-6.77,15.93,14.03,-1.9,6.48,20.5,14.02,10.5,8.13,-2.37,4.43,3.96,-0.47,0.19,0.0,-0.19,0.63,0.45,-0.18,0.5,2.3,1.8,8.65,8.87,6.84,27452.0,10.2202,1.6939,,-1.8214,19.27,14.5927,23.8598,0.5916,15.7267,,,,
1508,Ålesund,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,3,800,False,26393.0,26.92,31.62,4.7,18.21,9.24,-8.97,24.17,19.15,-5.02,13.95,12.51,-1.44,3.02,13.89,10.87,6.86,5.53,-1.33,5.44,4.33,-1.11,0.23,0.0,-0.23,0.44,0.44,0.0,0.75,3.28,2.53,1.9,4.09,4.47,42443.0,10.6559,1.2534,,-6.8091,18.8724,13.5311,24.8168,0.5887,13.7835,,,,
1511,Vanylven,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,6,535,False,2302.0,22.89,20.82,-2.07,11.99,4.66,-7.33,13.9,8.99,-4.91,20.2,17.42,-2.78,15.9,36.28,20.38,6.91,4.8,-2.11,6.82,5.36,-1.46,0.0,0.0,0.0,0.74,0.19,-0.55,0.65,1.49,0.84,13.05,20.29,5.99,3908.0,8.2708,-1.0747,,-21.4944,10.4913,17.042,21.0594,0.3145,7.0764,,,,
1514,Sande,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,6,560,False,2040.0,19.26,19.12,-0.14,12.06,4.77,-7.29,16.23,10.63,-5.6,29.51,21.79,-7.72,8.53,32.43,23.9,5.2,4.5,-0.7,8.38,5.03,-3.35,0.29,0.0,-0.29,0.05,0.1,0.05,0.49,1.62,1.13,16.61,5.64,-0.38,3371.0,8.123,-3.0851,,-41.8274,10.3827,14.6247,22.2783,1.5369,6.0319,,,,
1515,Herøy (Møre og Romsdal),1989-1993,1989,1993,Møre og Romsdal,Vestlandet,5,664,False,4975.0,21.41,23.7,2.29,14.89,6.72,-8.17,15.42,12.65,-2.77,35.22,22.94,-12.28,3.58,22.94,19.36,4.36,4.03,-0.33,4.62,4.03,-0.59,0.08,0.0,-0.08,0.08,0.04,-0.04,0.34,2.95,2.61,11.19,6.11,3.87,8097.0,8.9992,1.5561,,-1.729,17.5374,13.6717,23.6507,0.1918,7.1055,,,,
1516,Ulstein,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,4,719,False,3482.0,22.34,26.19,3.85,12.26,6.42,-5.84,22.09,15.28,-6.81,23.41,18.22,-5.19,5.34,21.94,16.6,6.58,5.38,-1.2,7.5,4.46,-3.04,0.17,0.0,-0.17,0.11,0.03,-0.08,0.2,2.08,1.88,10.76,8.96,2.45,5605.0,8.6314,6.6905,,29.9732,36.7529,11.1686,25.0491,0.002,12.16,,,,
1517,Hareid,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,4,683,False,2726.0,18.82,22.97,4.15,16.32,8.24,-8.08,17.5,13.96,-3.54,18.23,17.69,-0.54,5.58,23.82,18.24,5.72,5.03,-0.69,16.98,5.44,-11.54,0.04,0.0,-0.04,0.26,0.12,-0.14,0.55,2.72,2.17,10.16,8.73,-0.42,4488.0,8.4092,2.852,,-9.5811,32.0856,12.8565,25.0446,0.3801,9.3349,,,,
1520,Ørsta,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,4,718,False,6370.0,25.09,22.74,-2.35,11.19,3.9,-7.29,15.4,9.09,-6.31,18.46,13.7,-4.76,13.2,32.8,19.6,9.11,6.34,-2.77,6.75,9.11,2.36,0.14,0.0,-0.14,0.14,0.27,0.13,0.52,2.04,1.52,12.31,15.0,12.66,10209.0,9.231,0.3918,,-10.383,14.497,15.1827,23.2736,0.4384,10.4689,,,,
1525,Stranda,1989-1993,1989,1993,Møre og Romsdal,Vestlandet,5,628,False,2932.0,23.19,25.03,1.84,11.43,4.64,-6.79,17.56,12.21,-5.35,19.75,15.18,-4.57,14.8,33.36,18.56,6.0,3.96,-2.04,6.51,4.37,-2.14,0.1,0.0,-0.1,0.17,0.04,-0.13,0.48,1.22,0.74,11.77,11.46,4.98,4655.0,8.4457,-2.4275,,-30.9345,6.8743,16.1976,23.3083,0.6672,9.3676,,,,
