runde,par,a,b,utfall,dom_1,dom_2
1,R1-00,H19,H27,H19,H19,H19
1,R1-01,H02,H32,H32,H32,H32
1,R1-02,H18,H25,H25,H25,H25
1,R1-03,H01,H22,H01,H01,H01
1,R1-04,H16,H31,H31,H31,H31
1,R1-05,H06,H29,H29,H29,H29
1,R1-06,H04,H15,H04,H04,H04
1,R1-07,H23,H26,H23,H23,H23
1,R1-08,H14,H24,H14,H14,H14
1,R1-09,H10,H30,H10,H10,H10
1,R1-10,H20,H28,H28,H28,H28
1,R1-11,H07,H17,H07,H07,H07
2,R2-00,H01,H10,H01,H01,H01
2,R2-01,H07,H29,H29,H29,H29
2,R2-02,H04,H31,H31,H31,H31
2,R2-03,H14,H32,H14,H14,H14
2,R2-04,H23,H25,H25,H25,H25
2,R2-05,H19,H28,H19,H19,H19
2,R2-06,H02,H17,H02,H02,H02
2,R2-07,H24,H27,H24,H24,H24
2,R2-08,H26,H30,H26,H26,H26
2,R2-09,H06,H22,H06,H06,H06
2,R2-10,H18,H20,H18,H18,H18
2,R2-11,H15,H16,H16,H16,H16
3,R3-00,H19,H25,H25,H25,H25
3,R3-01,H14,H31,H14,H14,H14
3,R3-02,H01,H29,H29,H29,H29
3,R3-03,H06,H26,H06,H06,H06
3,R3-04,H16,H18,H16,H16,H16
3,R3-05,H07,H32,H32,H32,H32
3,R3-06,H02,H28,H02,H02,H02
3,R3-07,H23,H24,H24,H24,H24
3,R3-08,H04,H10,H04,H04,H04
3,R3-09,H15,H30,H15,H15,H15
3,R3-10,H20,H27,H20,H20,H20
3,R3-11,H17,H22,H22,H22,H22
4,R4-00,H25,H29,H29,H29,H29
4,R4-01,H14,H19,H14,H14,H14
4,R4-02,H31,H32,H31,H31,H31
4,R4-03,H01,H24,H24,H24,H24
4,R4-04,H04,H06,H04,H04,H04
4,R4-05,H02,H16,H16,H16,H16
4,R4-06,H20,H22,H20,H20,H20
4,R4-07,H07,H23,H23,H23,H23
4,R4-08,H18,H26,H18,H18,H18
4,R4-09,H10,H28,H10,H10,H10
4,R4-10,H15,H17,H15,H15,H15
4,R4-11,H27,H30,H27,H27,H27
5,R5-00,H14,H29,H14,H14,H14
5,R5-01,H04,H16,H04,H04,H04
5,R5-02,H25,H31,H31,H31,H31
5,R5-03,H19,H24,H24,H24,H24
5,R5-04,H06,H32,H06,H06,H06
5,R5-05,H10,H18,H18,H18,H18
5,R5-06,H01,H23,H01,H01,H01
5,R5-07,H02,H20,H20,H20,H20
5,R5-08,H15,H26,H26,H26,H26
5,R5-09,H07,H27,H07,H07,H07
5,R5-10,H22,H28,H28,H28,H28
5,R5-11,H17,H30,H30,H30,H30
6,R6-00,H04,H14,H14,H14,H14
6,R6-01,H29,H31,H31,H31,H31
6,R6-02,H16,H24,H24,H24,H24
6,R6-03,H01,H06,H06,H06,H06
6,R6-04,H20,H25,H25,H25,H25
6,R6-05,E1-05,H18,E1-05,E1-05,E1-05
6,R6-06,E1-04,E1-06,E1-06,E1-06,E1-06
6,R6-07,E1-03,E1-08,E1-08,E1-08,E1-08
6,R6-08,E1-01,E1-07,E1-07,E1-07,E1-07
6,R6-09,H19,H26,H19,H19,H19
6,R6-10,H23,H28,H23,H23,H23
6,R6-11,H02,H07,H02,H02,H02
6,R6-12,H10,H32,H32,H32,H32
6,R6-13,H15,H27,H27,H27,H27
6,R6-14,H22,H30,H30,H30,H30
7,R7-00,H06,H14,H14,H14,H14
7,R7-01,H24,H31,H31,H31,H31
7,R7-02,H04,H25,H04,H04,H04
7,R7-03,E1-05,H29,E1-05,E1-05,E1-05
7,R7-04,E1-06,E1-08,E1-06,E1-06,E1-06
7,R7-05,E1-07,H19,E1-07,E1-07,E1-07
7,R7-06,H01,H16,H16,H16,H16
7,R7-07,H23,H32,H32,H32,H32
7,R7-08,E1-01,H20,E1-01,E1-01,E1-01
7,R7-09,H02,H18,H02,H02,H02
7,R7-10,E1-03,E1-04,E1-04,E1-04,E1-04
7,R7-11,H26,H27,H26,H26,H26
7,R7-12,H07,H30,H07,H07,H07
7,R7-13,H10,H15,H10,H10,H10
7,R7-14,H17,H28,H28,H28,H28
8,R8-00,E1-05,H14,H14,H14,H14
8,R8-01,E1-06,H31,H31,H31,H31
8,R8-02,H04,H24,H24,H24,H24
8,R8-03,E1-07,H06,E1-07,E1-07,E1-07
8,R8-04,H16,H25,H16,H16,H16
8,R8-05,H29,H32,H32,H32,H32
8,R8-06,E1-01,H02,H02,H02,H02
8,R8-07,E1-04,E1-08,E1-08,E1-08,E1-08
8,R8-08,H01,H19,H19,H19,H19
8,R8-09,H07,H26,H26,H26,H26
8,R8-10,H10,H23,H23,H23,H23
8,R8-11,E1-03,H20,H20,H20,H20
8,R8-12,H18,H28,H18,H18,H18
8,R8-13,H22,H27,H27,H27,H27
